"","method","Nt","p0","p1","miss0","miss1","ENS","ENS_se","scenario"
"1","RPW",200,0.1,0.1,0,0,20.001,4.25090649398479,1
"2","RPW",200,0.1,0.1,0,0.1,24.0888,4.63373086250924,1
"3","RPW",200,0.1,0.1,0,0.2,28.3569,5.02659418044718,1
"4","RPW",200,0.1,0.1,0,0.3,32.8297,5.33750379903195,1
"5","RPW",200,0.1,0.1,0,0.4,37.538,5.6968413529025,1
"6","RPW",200,0.1,0.1,0,0.5,42.4487,6.0600693687511,1
"7","RPW",200,0.1,0.1,0.1,0,20.0556,4.48452001132487,1
"8","RPW",200,0.1,0.1,0.1,0.1,24.1159,4.78367594487279,1
"9","RPW",200,0.1,0.1,0.1,0.2,28.3969,5.10875526209984,1
"10","RPW",200,0.1,0.1,0.1,0.3,32.9529,5.49145674659466,1
"11","RPW",200,0.1,0.1,0.1,0.4,37.4928,5.80037176319407,1
"12","RPW",200,0.1,0.1,0.1,0.5,42.5223,6.22276264913734,1
"13","RPW",200,0.1,0.1,0.2,0,20.1147,4.75579705943883,1
"14","RPW",200,0.1,0.1,0.2,0.1,24.182,5.0433738273061,1
"15","RPW",200,0.1,0.1,0.2,0.2,28.4396,5.37500147945007,1
"16","RPW",200,0.1,0.1,0.2,0.3,32.9207,5.65156664390973,1
"17","RPW",200,0.1,0.1,0.2,0.4,37.6536,6.01187336045348,1
"18","RPW",200,0.1,0.1,0.2,0.5,42.5817,6.35644283751177,1
"19","RPW",200,0.1,0.1,0.3,0,20.2009,5.05676737448224,1
"20","RPW",200,0.1,0.1,0.3,0.1,24.2243,5.38223804366138,1
"21","RPW",200,0.1,0.1,0.3,0.2,28.5214,5.62134343286363,1
"22","RPW",200,0.1,0.1,0.3,0.3,32.987,5.8643900029765,1
"23","RPW",200,0.1,0.1,0.3,0.4,37.7207,6.16964326033491,1
"24","RPW",200,0.1,0.1,0.3,0.5,42.64,6.52379153449883,1
"25","RPW",200,0.1,0.1,0.4,0,20.3392,5.49337428873253,1
"26","RPW",200,0.1,0.1,0.4,0.1,24.3417,5.72603002541771,1
"27","RPW",200,0.1,0.1,0.4,0.2,28.6404,5.90636744180683,1
"28","RPW",200,0.1,0.1,0.4,0.3,33.0692,6.14112226700217,1
"29","RPW",200,0.1,0.1,0.4,0.4,37.7159,6.35449645153062,1
"30","RPW",200,0.1,0.1,0.4,0.5,42.7159,6.63059451847018,1
"31","RPW",200,0.1,0.1,0.5,0,20.5177,6.05558863574571,1
