"","method","Nt","p0","p1","miss0","miss1","ENS","ENS_se","scenario"
"1","RandUCB",200,0.1,0.1,0,0,19.9569,4.23686647107852,1
"2","RandUCB",200,0.1,0.1,0,0.1,20.1703,4.4953218685507,1
"3","RandUCB",200,0.1,0.1,0,0.2,20.399,4.78571721990872,1
"4","RandUCB",200,0.1,0.1,0,0.3,20.6305,5.1223425880508,1
"5","RandUCB",200,0.1,0.1,0,0.4,20.8372,5.58823934722737,1
"6","RandUCB",200,0.1,0.1,0,0.5,21.1599,6.06743878183679,1
"7","RandUCB",200,0.1,0.1,0.1,0,20.1157,4.46500919827877,1
"8","RandUCB",200,0.1,0.1,0.1,0.1,20.2913,4.74968422740144,1
"9","RandUCB",200,0.1,0.1,0.1,0.2,20.5717,4.97878880289116,1
"10","RandUCB",200,0.1,0.1,0.1,0.3,20.7796,5.43151672899916,1
"11","RandUCB",200,0.1,0.1,0.1,0.4,20.8927,5.73577166714835,1
"12","RandUCB",200,0.1,0.1,0.1,0.5,21.2505,6.37200203946916,1
"13","RandUCB",200,0.1,0.1,0.2,0,20.3736,4.72707706365748,1
"14","RandUCB",200,0.1,0.1,0.2,0.1,20.5084,5.01314697612791,1
"15","RandUCB",200,0.1,0.1,0.2,0.2,20.6277,5.25785671312195,1
"16","RandUCB",200,0.1,0.1,0.2,0.3,20.8761,5.60352467103286,1
"17","RandUCB",200,0.1,0.1,0.2,0.4,21.1586,6.0015371268358,1
"18","RandUCB",200,0.1,0.1,0.2,0.5,21.4035,6.48054685182893,1
"19","RandUCB",200,0.1,0.1,0.3,0,20.5805,5.19322796646471,1
"20","RandUCB",200,0.1,0.1,0.3,0.1,20.7359,5.35169274636775,1
"21","RandUCB",200,0.1,0.1,0.3,0.2,20.8795,5.6042591412293,1
"22","RandUCB",200,0.1,0.1,0.3,0.3,21.0535,5.85397853228602,1
"23","RandUCB",200,0.1,0.1,0.3,0.4,21.3207,6.31956052226098,1
"24","RandUCB",200,0.1,0.1,0.3,0.5,21.6719,6.99352138226033,1
"25","RandUCB",200,0.1,0.1,0.4,0,20.891,5.62891530125893,1
"26","RandUCB",200,0.1,0.1,0.4,0.1,20.9278,5.70394956710404,1
"27","RandUCB",200,0.1,0.1,0.4,0.2,21.1658,6.03249114835202,1
"28","RandUCB",200,0.1,0.1,0.4,0.3,21.2443,6.29806192954681,1
"29","RandUCB",200,0.1,0.1,0.4,0.4,21.6403,6.74013789591026,1
"30","RandUCB",200,0.1,0.1,0.4,0.5,21.893,7.22621427977899,1
"31","RandUCB",200,0.1,0.1,0.5,0,21.288,6.18744571276749,1
"32","RandUCB",200,0.1,0.1,0.5,0.1,21.3102,6.28287540958288,1
"33","RandUCB",200,0.1,0.1,0.5,0.2,21.6276,6.55926982537418,1
"34","RandUCB",200,0.1,0.1,0.5,0.3,21.6826,6.75375588556887,1
"35","RandUCB",200,0.1,0.1,0.5,0.4,21.9981,7.144676411854,1
"36","RandUCB",200,0.1,0.1,0.5,0.5,22.2932,7.6372551696701,1
"37","RandUCB",200,0.3,0.3,0,0,60.0584,6.53331905433881,2
"38","RandUCB",200,0.3,0.3,0,0.1,60.1824,6.78960529883817,2
"39","RandUCB",200,0.3,0.3,0,0.2,60.383,7.30899809449384,2
"40","RandUCB",200,0.3,0.3,0,0.3,60.8062,7.71454424961695,2
"41","RandUCB",200,0.3,0.3,0,0.4,61.0968,8.11015457440375,2
"42","RandUCB",200,0.3,0.3,0,0.5,61.4797,8.80876537005808,2
"43","RandUCB",200,0.3,0.3,0.1,0,60.2035,6.84103557414904,2
"44","RandUCB",200,0.3,0.3,0.1,0.1,60.4245,7.16128676655357,2
"45","RandUCB",200,0.3,0.3,0.1,0.2,60.7559,7.55728962344604,2
"46","RandUCB",200,0.3,0.3,0.1,0.3,60.9858,8.0937475396088,2
"47","RandUCB",200,0.3,0.3,0.1,0.4,61.3601,8.65419652548694,2
"48","RandUCB",200,0.3,0.3,0.1,0.5,61.6494,9.14290101137983,2
"49","RandUCB",200,0.3,0.3,0.2,0,60.4935,7.25306958823953,2
"50","RandUCB",200,0.3,0.3,0.2,0.1,60.7744,7.56834411369239,2
"51","RandUCB",200,0.3,0.3,0.2,0.2,61.0088,7.99871992959194,2
"52","RandUCB",200,0.3,0.3,0.2,0.3,61.2823,8.44543304063944,2
"53","RandUCB",200,0.3,0.3,0.2,0.4,61.4416,8.84943052868761,2
"54","RandUCB",200,0.3,0.3,0.2,0.5,61.8224,9.58792214534028,2
"55","RandUCB",200,0.3,0.3,0.3,0,60.8264,7.78662482675384,2
"56","RandUCB",200,0.3,0.3,0.3,0.1,61.0019,8.00169351449492,2
"57","RandUCB",200,0.3,0.3,0.3,0.2,61.3242,8.36315063769982,2
"58","RandUCB",200,0.3,0.3,0.3,0.3,61.2276,8.9459265143483,2
"59","RandUCB",200,0.3,0.3,0.3,0.4,61.7072,9.43747713944123,2
"60","RandUCB",200,0.3,0.3,0.3,0.5,62.1704,10.0885153344863,2
"61","RandUCB",200,0.3,0.3,0.4,0,61.2719,8.19554068251191,2
"62","RandUCB",200,0.3,0.3,0.4,0.1,61.2645,8.57537716134666,2
"63","RandUCB",200,0.3,0.3,0.4,0.2,61.4105,9.05806792917016,2
"64","RandUCB",200,0.3,0.3,0.4,0.3,61.7889,9.39002417704047,2
"65","RandUCB",200,0.3,0.3,0.4,0.4,62.0018,9.88267997540898,2
"66","RandUCB",200,0.3,0.3,0.4,0.5,62.3797,10.5041021285093,2
"67","RandUCB",200,0.3,0.3,0.5,0,61.7209,8.98996580296687,2
"68","RandUCB",200,0.3,0.3,0.5,0.1,61.7459,9.28596554514449,2
"69","RandUCB",200,0.3,0.3,0.5,0.2,61.8803,9.63509498736476,2
"70","RandUCB",200,0.3,0.3,0.5,0.3,62.0793,10.1690585840209,2
"71","RandUCB",200,0.3,0.3,0.5,0.4,62.4284,10.5124271484969,2
"72","RandUCB",200,0.3,0.3,0.5,0.5,62.6477,11.1834025036728,2
"73","RandUCB",200,0.5,0.5,0,0,100.0408,7.16464015613183,3
"74","RandUCB",200,0.5,0.5,0,0.1,100.3264,7.37526287600985,3
"75","RandUCB",200,0.5,0.5,0,0.2,100.4524,7.78070614911127,3
"76","RandUCB",200,0.5,0.5,0,0.3,100.8073,8.39931077840052,3
"77","RandUCB",200,0.5,0.5,0,0.4,100.9623,8.8399939626295,3
"78","RandUCB",200,0.5,0.5,0,0.5,101.5021,9.63649738225357,3
"79","RandUCB",200,0.5,0.5,0.1,0,100.2251,7.42119514658794,3
"80","RandUCB",200,0.5,0.5,0.1,0.1,100.4774,7.85153831458464,3
"81","RandUCB",200,0.5,0.5,0.1,0.2,100.7135,8.17029333128939,3
"82","RandUCB",200,0.5,0.5,0.1,0.3,100.9368,8.70052732181031,3
"83","RandUCB",200,0.5,0.5,0.1,0.4,101.1395,9.23152001818685,3
"84","RandUCB",200,0.5,0.5,0.1,0.5,101.6278,9.86115568273516,3
"85","RandUCB",200,0.5,0.5,0.2,0,100.5626,7.81347466103448,3
"86","RandUCB",200,0.5,0.5,0.2,0.1,100.7507,8.24996701239287,3
"87","RandUCB",200,0.5,0.5,0.2,0.2,100.8366,8.66492980588153,3
"88","RandUCB",200,0.5,0.5,0.2,0.3,101.2972,9.06901851744096,3
"89","RandUCB",200,0.5,0.5,0.2,0.4,101.3651,9.55249323489424,3
"90","RandUCB",200,0.5,0.5,0.2,0.5,101.8499,10.2860463864901,3
"91","RandUCB",200,0.5,0.5,0.3,0,100.8967,8.22116706245451,3
"92","RandUCB",200,0.5,0.5,0.3,0.1,100.9333,8.70765372723005,3
"93","RandUCB",200,0.5,0.5,0.3,0.2,101.1626,9.0318280891447,3
"94","RandUCB",200,0.5,0.5,0.3,0.3,101.4421,9.48560199747625,3
"95","RandUCB",200,0.5,0.5,0.3,0.4,101.5947,10.1043080720137,3
"96","RandUCB",200,0.5,0.5,0.3,0.5,101.8104,10.6885956256023,3
"97","RandUCB",200,0.5,0.5,0.4,0,101.135,8.97033007654502,3
"98","RandUCB",200,0.5,0.5,0.4,0.1,101.1785,9.24846966633491,3
"99","RandUCB",200,0.5,0.5,0.4,0.2,101.4724,9.67041829183174,3
"100","RandUCB",200,0.5,0.5,0.4,0.3,101.5271,10.0103289785414,3
"101","RandUCB",200,0.5,0.5,0.4,0.4,101.9451,10.5908027316276,3
"102","RandUCB",200,0.5,0.5,0.4,0.5,102.3391,11.2773768719907,3
"103","RandUCB",200,0.5,0.5,0.5,0,101.4745,9.47361201878504,3
"104","RandUCB",200,0.5,0.5,0.5,0.1,101.5245,9.97657019948712,3
"105","RandUCB",200,0.5,0.5,0.5,0.2,101.933,10.2766177260414,3
"106","RandUCB",200,0.5,0.5,0.5,0.3,101.9689,10.7906152061712,3
"107","RandUCB",200,0.5,0.5,0.5,0.4,102.1587,11.2368741669605,3
"108","RandUCB",200,0.5,0.5,0.5,0.5,102.4767,12.0163262405625,3
"109","RandUCB",200,0.7,0.7,0,0,139.9758,6.48672661071917,4
"110","RandUCB",200,0.7,0.7,0,0.1,140.1164,6.85829094275429,4
"111","RandUCB",200,0.7,0.7,0,0.2,140.3285,7.1987616967779,4
"112","RandUCB",200,0.7,0.7,0,0.3,140.6167,7.56089266024733,4
"113","RandUCB",200,0.7,0.7,0,0.4,140.7675,8.05634744927392,4
"114","RandUCB",200,0.7,0.7,0,0.5,140.88,8.66307710288262,4
"115","RandUCB",200,0.7,0.7,0.1,0,140.1586,6.82636843208723,4
"116","RandUCB",200,0.7,0.7,0.1,0.1,140.3957,7.0738338560177,4
"117","RandUCB",200,0.7,0.7,0.1,0.2,140.477,7.55430855590211,4
"118","RandUCB",200,0.7,0.7,0.1,0.3,140.5585,7.83403567527594,4
"119","RandUCB",200,0.7,0.7,0.1,0.4,140.7603,8.47352488474526,4
