"","method","Nt","p0","p1","miss0","miss1","ENS","ENS_se","scenario"
"1","TS",200,0.1,0.1,0,0,20.067,4.35194789151369,1
"2","TS",200,0.1,0.1,0,0.1,19.927,4.55438397737975,1
"3","TS",200,0.1,0.1,0,0.2,20.2,4.72528605783061,1
"4","TS",200,0.1,0.1,0,0.3,20.5,5.27995055638572,1
"5","TS",200,0.1,0.1,0,0.4,20.548,5.46054150368931,1
"6","TS",200,0.1,0.1,0,0.5,20.968,6.17698398339603,1
"7","TS",200,0.1,0.1,0.1,0,20.073,4.45348228968124,1
"8","TS",200,0.1,0.1,0.1,0.1,20.403,4.81994012647697,1
"9","TS",200,0.1,0.1,0.1,0.2,20.23,4.83243752700979,1
"10","TS",200,0.1,0.1,0.1,0.3,20.354,5.27375544526825,1
"11","TS",200,0.1,0.1,0.1,0.4,20.579,5.62382311122837,1
"12","TS",200,0.1,0.1,0.1,0.5,20.772,6.21019988265938,1
"13","TS",200,0.1,0.1,0.2,0,20.326,4.8013307297849,1
"14","TS",200,0.1,0.1,0.2,0.1,20.056,4.8691449529227,1
"15","TS",200,0.1,0.1,0.2,0.2,20.243,5.39973222559305,1
"16","TS",200,0.1,0.1,0.2,0.3,20.588,5.78287970631395,1
"17","TS",200,0.1,0.1,0.2,0.4,20.702,6.25942300666574,1
"18","TS",200,0.1,0.1,0.2,0.5,20.801,6.30628005786043,1
"19","TS",200,0.1,0.1,0.3,0,20.125,4.89789387026346,1
"20","TS",200,0.1,0.1,0.3,0.1,20.706,5.59596987830339,1
"21","TS",200,0.1,0.1,0.3,0.2,20.524,5.58073190258846,1
"22","TS",200,0.1,0.1,0.3,0.3,20.515,5.91343755727105,1
"23","TS",200,0.1,0.1,0.3,0.4,20.884,6.1109645628074,1
"24","TS",200,0.1,0.1,0.3,0.5,20.885,6.8211658316818,1
"25","TS",200,0.1,0.1,0.4,0,20.277,5.35583382452779,1
"26","TS",200,0.1,0.1,0.4,0.1,20.734,5.89457292685314,1
"27","TS",200,0.1,0.1,0.4,0.2,20.784,6.00494824319106,1
"28","TS",200,0.1,0.1,0.4,0.3,20.413,6.30810773712872,1
"29","TS",200,0.1,0.1,0.4,0.4,21.149,6.5997238847815,1
"30","TS",200,0.1,0.1,0.4,0.5,21.033,7.13083163170747,1
"31","TS",200,0.1,0.1,0.5,0,20.505,5.92005253541065,1
"32","TS",200,0.1,0.1,0.5,0.1,20.754,5.97923366621804,1
"33","TS",200,0.1,0.1,0.5,0.2,20.798,6.62170997877762,1
"34","TS",200,0.1,0.1,0.5,0.3,21.214,6.65134906950796,1
"35","TS",200,0.1,0.1,0.5,0.4,21.403,6.87516246054294,1
"36","TS",200,0.1,0.1,0.5,0.5,21.614,7.4809737981742,1
"37","TS",200,0.3,0.3,0,0,59.655,6.61117861524575,2
"38","TS",200,0.3,0.3,0,0.1,60.103,6.77305435274701,2
"39","TS",200,0.3,0.3,0,0.2,60.03,7.35371859518551,2
"40","TS",200,0.3,0.3,0,0.3,60.484,7.72822550586287,2
"41","TS",200,0.3,0.3,0,0.4,60.521,8.30629601889757,2
