"","method","Nt","p0","p1","miss0","miss1","ENS","ENS_se","scenario"
"1","CB",200,0.1,0.1,0,0,19.9493,4.19152554550725,1
"2","CB",200,0.1,0.1,0,0.1,20.1901,4.47224351821417,1
"3","CB",200,0.1,0.1,0,0.2,20.2981,4.76645657704233,1
"4","CB",200,0.1,0.1,0,0.3,20.5905,5.13932398425138,1
"5","CB",200,0.1,0.1,0,0.4,20.8411,5.53930674199563,1
"6","CB",200,0.1,0.1,0,0.5,21.261,6.09416055575236,1
"7","CB",200,0.1,0.1,0.1,0,20.1386,4.51781264586197,1
"8","CB",200,0.1,0.1,0.1,0.1,20.329,4.72273113981115,1
"9","CB",200,0.1,0.1,0.1,0.2,20.5704,5.0241783484275,1
"10","CB",200,0.1,0.1,0.1,0.3,20.7927,5.38806364411031,1
"11","CB",200,0.1,0.1,0.1,0.4,20.9399,5.72878432889463,1
"12","CB",200,0.1,0.1,0.1,0.5,21.3746,6.2849204340617,1
"13","CB",200,0.1,0.1,0.2,0,20.3502,4.79708882199575,1
"14","CB",200,0.1,0.1,0.2,0.1,20.4536,4.97134976358003,1
"15","CB",200,0.1,0.1,0.2,0.2,20.6471,5.35888359206797,1
"16","CB",200,0.1,0.1,0.2,0.3,20.9711,5.59286981873179,1
"17","CB",200,0.1,0.1,0.2,0.4,21.1171,5.99256027653179,1
"18","CB",200,0.1,0.1,0.2,0.5,21.4494,6.59401150581146,1
"19","CB",200,0.1,0.1,0.3,0,20.5547,5.11843997256735,1
"20","CB",200,0.1,0.1,0.3,0.1,20.7183,5.37462871028105,1
"21","CB",200,0.1,0.1,0.3,0.2,20.9651,5.59993017026027,1
"22","CB",200,0.1,0.1,0.3,0.3,21.0722,5.93446787428284,1
"23","CB",200,0.1,0.1,0.3,0.4,21.3989,6.29947197189673,1
"24","CB",200,0.1,0.1,0.3,0.5,21.6926,6.749241473384,1
"25","CB",200,0.1,0.1,0.4,0,20.8656,5.54310465722271,1
"26","CB",200,0.1,0.1,0.4,0.1,21.016,5.7654373664799,1
"27","CB",200,0.1,0.1,0.4,0.2,21.0702,5.99768865371642,1
"28","CB",200,0.1,0.1,0.4,0.3,21.2985,6.29847321392118,1
"29","CB",200,0.1,0.1,0.4,0.4,21.5544,6.62210131775302,1
"30","CB",200,0.1,0.1,0.4,0.5,21.7876,7.15046845737508,1
"31","CB",200,0.1,0.1,0.5,0,21.1694,6.01662061396273,1
"32","CB",200,0.1,0.1,0.5,0.1,21.3335,6.22663270520147,1
"33","CB",200,0.1,0.1,0.5,0.2,21.4554,6.4421549947279,1
"34","CB",200,0.1,0.1,0.5,0.3,21.6004,6.71021777159685,1
"35","CB",200,0.1,0.1,0.5,0.4,21.9128,7.19154837269414,1
"36","CB",200,0.1,0.1,0.5,0.5,22.2866,7.63039204289484,1
"37","CB",200,0.3,0.3,0,0,60.0334,6.44116707618505,2
"38","CB",200,0.3,0.3,0,0.1,60.217,6.83545048539844,2
"39","CB",200,0.3,0.3,0,0.2,60.4692,7.13071778109381,2
"40","CB",200,0.3,0.3,0,0.3,60.7131,7.67360911290651,2
"41","CB",200,0.3,0.3,0,0.4,61.0112,8.16471314952837,2
"42","CB",200,0.3,0.3,0,0.5,61.4213,8.91840569306031,2
"43","CB",200,0.3,0.3,0.1,0,60.2338,6.80379061381754,2
"44","CB",200,0.3,0.3,0.1,0.1,60.4555,7.22342284057588,2
"45","CB",200,0.3,0.3,0.1,0.2,60.7183,7.54729363905549,2
"46","CB",200,0.3,0.3,0.1,0.3,60.9316,8.07392347400113,2
"47","CB",200,0.3,0.3,0.1,0.4,61.1616,8.61667628212962,2
"48","CB",200,0.3,0.3,0.1,0.5,61.5153,9.30613917436405,2
"49","CB",200,0.3,0.3,0.2,0,60.5248,7.20188667483512,2
"50","CB",200,0.3,0.3,0.2,0.1,60.5704,7.50175122669012,2
"51","CB",200,0.3,0.3,0.2,0.2,60.8265,7.87765215596303,2
"52","CB",200,0.3,0.3,0.2,0.3,61.1353,8.46304650971638,2
"53","CB",200,0.3,0.3,0.2,0.4,61.4302,8.98249388976402,2
"54","CB",200,0.3,0.3,0.2,0.5,61.5404,9.63474185772855,2
"55","CB",200,0.3,0.3,0.3,0,60.7549,7.68857187023314,2
"56","CB",200,0.3,0.3,0.3,0.1,60.9641,8.03670766278118,2
