"","method","Nt","p0","p1","miss0","miss1","pstar1","pstar1_se","scenario"
"1","CB",200,0.1,0.1,0,0,0.5000225,0.387871539851653,1
"2","CB",200,0.1,0.1,0,0.1,0.495642,0.390349209153174,1
"3","CB",200,0.1,0.1,0,0.2,0.4863135,0.392673638631877,1
"4","CB",200,0.1,0.1,0,0.3,0.488585,0.393952767033391,1
"5","CB",200,0.1,0.1,0,0.4,0.4928625,0.395015268439057,1
"6","CB",200,0.1,0.1,0,0.5,0.48206,0.397389963736287,1
"7","CB",200,0.1,0.1,0.1,0,0.5001825,0.389551414095973,1
"8","CB",200,0.1,0.1,0.1,0.1,0.499129,0.391139834836647,1
"9","CB",200,0.1,0.1,0.1,0.2,0.49816,0.39089184443194,1
"10","CB",200,0.1,0.1,0.1,0.3,0.4946275,0.395770706582699,1
"11","CB",200,0.1,0.1,0.1,0.4,0.483082,0.396444085675782,1
"12","CB",200,0.1,0.1,0.1,0.5,0.480534,0.397630149532932,1
"13","CB",200,0.1,0.1,0.2,0,0.510924,0.391865368552398,1
"14","CB",200,0.1,0.1,0.2,0.1,0.5063275,0.393449482771676,1
"15","CB",200,0.1,0.1,0.2,0.2,0.499306,0.394766928017971,1
"16","CB",200,0.1,0.1,0.2,0.3,0.4976445,0.39620701296098,1
"17","CB",200,0.1,0.1,0.2,0.4,0.4916355,0.396989146801292,1
"18","CB",200,0.1,0.1,0.2,0.5,0.494562,0.398142015947182,1
"19","CB",200,0.1,0.1,0.3,0,0.51402,0.39430616573322,1
"20","CB",200,0.1,0.1,0.3,0.1,0.509172,0.395215490516749,1
"21","CB",200,0.1,0.1,0.3,0.2,0.498084,0.395974334409885,1
"22","CB",200,0.1,0.1,0.3,0.3,0.498218,0.396277886201475,1
"23","CB",200,0.1,0.1,0.3,0.4,0.4991665,0.399153203802451,1
"24","CB",200,0.1,0.1,0.3,0.5,0.497494,0.398449992098909,1
"25","CB",200,0.1,0.1,0.4,0,0.507143,0.395883625495541,1
"26","CB",200,0.1,0.1,0.4,0.1,0.514413,0.395394472786243,1
"27","CB",200,0.1,0.1,0.4,0.2,0.507901,0.395380331781534,1
"28","CB",200,0.1,0.1,0.4,0.3,0.500428,0.397162914499913,1
"29","CB",200,0.1,0.1,0.4,0.4,0.501955,0.398520852480753,1
"30","CB",200,0.1,0.1,0.4,0.5,0.4965545,0.39868967427736,1
"31","CB",200,0.1,0.1,0.5,0,0.5145035,0.396882744118471,1
"32","CB",200,0.1,0.1,0.5,0.1,0.513054,0.397623544992438,1
"33","CB",200,0.1,0.1,0.5,0.2,0.508289,0.398176922944056,1
"34","CB",200,0.1,0.1,0.5,0.3,0.506579,0.397488800463169,1
"35","CB",200,0.1,0.1,0.5,0.4,0.497832,0.398804048679203,1
"36","CB",200,0.1,0.1,0.5,0.5,0.500054,0.398167553705827,1
