"","method","Nt","p0","p1","miss0","miss1","pstar1","pstar1_se","scenario"
"1","RPW",200,0.1,0.1,0,0,0.5000065,0.0259581363012452,1
"2","RPW",200,0.1,0.1,0,0.1,0.5231815,0.028167000119636,1
"3","RPW",200,0.1,0.1,0,0.2,0.5485585,0.030426011108346,1
"4","RPW",200,0.1,0.1,0,0.3,0.574932,0.0322760677663039,1
"5","RPW",200,0.1,0.1,0,0.4,0.6065125,0.0349196475057838,1
"6","RPW",200,0.1,0.1,0,0.5,0.6402235,0.0367236628141999,1
"7","RPW",200,0.1,0.1,0.1,0,0.4990715,0.0265196288967565,1
"8","RPW",200,0.1,0.1,0.1,0.1,0.5222335,0.0287017657450842,1
"9","RPW",200,0.1,0.1,0.1,0.2,0.5472765,0.0307678357009617,1
"10","RPW",200,0.1,0.1,0.1,0.3,0.5748295,0.0334945610258118,1
"11","RPW",200,0.1,0.1,0.1,0.4,0.6055075,0.0354386869650017,1
"12","RPW",200,0.1,0.1,0.1,0.5,0.639047,0.0378971029241155,1
"13","RPW",200,0.1,0.1,0.2,0,0.498714,0.027177933475649,1
"14","RPW",200,0.1,0.1,0.2,0.1,0.5219365,0.0293965794547319,1
"15","RPW",200,0.1,0.1,0.2,0.2,0.546141,0.0316504864785588,1
"16","RPW",200,0.1,0.1,0.2,0.3,0.5735255,0.0335991999960421,1
"17","RPW",200,0.1,0.1,0.2,0.4,0.603952,0.0358918586667207,1
"18","RPW",200,0.1,0.1,0.2,0.5,0.63802,0.0377477428359488,1
"19","RPW",200,0.1,0.1,0.3,0,0.497414,0.0284003215092045,1
"20","RPW",200,0.1,0.1,0.3,0.1,0.5207475,0.0302090218684787,1
"21","RPW",200,0.1,0.1,0.3,0.2,0.545111,0.0326251301746352,1
"22","RPW",200,0.1,0.1,0.3,0.3,0.573067,0.034915976623064,1
"23","RPW",200,0.1,0.1,0.3,0.4,0.6026425,0.0367415253863904,1
"24","RPW",200,0.1,0.1,0.3,0.5,0.6361535,0.0392583247140773,1
"25","RPW",200,0.1,0.1,0.4,0,0.495948,0.0291472340390167,1
"26","RPW",200,0.1,0.1,0.4,0.1,0.5194365,0.0311094318081308,1
"27","RPW",200,0.1,0.1,0.4,0.2,0.544241,0.0337581527973322,1
"28","RPW",200,0.1,0.1,0.4,0.3,0.570666,0.0357944767870246,1
"29","RPW",200,0.1,0.1,0.4,0.4,0.6004215,0.0387414497372359,1
"30","RPW",200,0.1,0.1,0.4,0.5,0.6344555,0.0402044482553355,1
"31","RPW",200,0.1,0.1,0.5,0,0.4952625,0.0311230695513124,1
"32","RPW",200,0.1,0.1,0.5,0.1,0.5173595,0.033179592346574,1
"33","RPW",200,0.1,0.1,0.5,0.2,0.5417605,0.0353903007487745,1
"34","RPW",200,0.1,0.1,0.5,0.3,0.569019,0.0377792981212814,1
"35","RPW",200,0.1,0.1,0.5,0.4,0.59845,0.0401281513012086,1
"36","RPW",200,0.1,0.1,0.5,0.5,0.63147,0.0422156051209926,1
"37","RPW",200,0.3,0.3,0,0,0.500036,0.0383783271339354,2
"38","RPW",200,0.3,0.3,0,0.1,0.5220065,0.04062119478667,2
"39","RPW",200,0.3,0.3,0,0.2,0.545382,0.0425755251703881,2
"40","RPW",200,0.3,0.3,0,0.3,0.571587,0.0460659162273343,2
"41","RPW",200,0.3,0.3,0,0.4,0.5998705,0.0476205050477218,2
"42","RPW",200,0.3,0.3,0,0.5,0.6314355,0.0502635004918894,2
"43","RPW",200,0.3,0.3,0.1,0,0.499256,0.0400805078399822,2
"44","RPW",200,0.3,0.3,0.1,0.1,0.520962,0.041981314880312,2
"45","RPW",200,0.3,0.3,0.1,0.2,0.5443125,0.0445404111854937,2
"46","RPW",200,0.3,0.3,0.1,0.3,0.57135,0.0472510927553708,2
"47","RPW",200,0.3,0.3,0.1,0.4,0.599213,0.0493139312708056,2
"48","RPW",200,0.3,0.3,0.1,0.5,0.6297055,0.0518667984960381,2
"49","RPW",200,0.3,0.3,0.2,0,0.497848,0.0421642820248118,2
"50","RPW",200,0.3,0.3,0.2,0.1,0.5204215,0.0438751904951317,2
"51","RPW",200,0.3,0.3,0.2,0.2,0.5434705,0.0460592040180622,2
"52","RPW",200,0.3,0.3,0.2,0.3,0.569288,0.0484966313090387,2
"53","RPW",200,0.3,0.3,0.2,0.4,0.597694,0.0513224196923363,2
"54","RPW",200,0.3,0.3,0.2,0.5,0.6274105,0.0535157769595879,2
"55","RPW",200,0.3,0.3,0.3,0,0.4967845,0.0440548764947116,2
"56","RPW",200,0.3,0.3,0.3,0.1,0.519722,0.0463718961362928,2
"57","RPW",200,0.3,0.3,0.3,0.2,0.5421075,0.0482731703293596,2
