"","method","Nt","p0","p1","miss0","miss1","pstar1","pstar1_se","scenario"
"1","RandUCB",200,0.1,0.1,0,0,0.502024,0.298804805609256,1
"2","RandUCB",200,0.1,0.1,0,0.1,0.502609,0.303788416268932,1
"3","RandUCB",200,0.1,0.1,0,0.2,0.5030245,0.307789389567904,1
"4","RandUCB",200,0.1,0.1,0,0.3,0.5076055,0.313229796092687,1
"5","RandUCB",200,0.1,0.1,0,0.4,0.513447,0.317278662638975,1
"6","RandUCB",200,0.1,0.1,0,0.5,0.5169325,0.323934331753951,1
"7","RandUCB",200,0.1,0.1,0.1,0,0.5002915,0.303601687950253,1
"8","RandUCB",200,0.1,0.1,0.1,0.1,0.505008,0.306674004164818,1
"9","RandUCB",200,0.1,0.1,0.1,0.2,0.501527,0.310946212431833,1
"10","RandUCB",200,0.1,0.1,0.1,0.3,0.5121095,0.315504646285808,1
"11","RandUCB",200,0.1,0.1,0.1,0.4,0.5029985,0.318003269017255,1
"12","RandUCB",200,0.1,0.1,0.1,0.5,0.520835,0.322514401738795,1
"13","RandUCB",200,0.1,0.1,0.2,0,0.4971525,0.306765243688433,1
"14","RandUCB",200,0.1,0.1,0.2,0.1,0.5021465,0.31049293168092,1
"15","RandUCB",200,0.1,0.1,0.2,0.2,0.4993355,0.313941167809248,1
"16","RandUCB",200,0.1,0.1,0.2,0.3,0.499079,0.318375663431278,1
"17","RandUCB",200,0.1,0.1,0.2,0.4,0.510108,0.319982292014293,1
"18","RandUCB",200,0.1,0.1,0.2,0.5,0.517996,0.324067756765615,1
"19","RandUCB",200,0.1,0.1,0.3,0,0.4962195,0.311875635407683,1
"20","RandUCB",200,0.1,0.1,0.3,0.1,0.494651,0.315322035382242,1
"21","RandUCB",200,0.1,0.1,0.3,0.2,0.494106,0.317442676320111,1
"22","RandUCB",200,0.1,0.1,0.3,0.3,0.5039775,0.32005667563935,1
"23","RandUCB",200,0.1,0.1,0.3,0.4,0.509479,0.324109376982254,1
"24","RandUCB",200,0.1,0.1,0.3,0.5,0.5133665,0.325098812827054,1
"25","RandUCB",200,0.1,0.1,0.4,0,0.486762,0.317789961140909,1
"26","RandUCB",200,0.1,0.1,0.4,0.1,0.4861015,0.317736730424319,1
"27","RandUCB",200,0.1,0.1,0.4,0.2,0.494018,0.320631612819313,1
"28","RandUCB",200,0.1,0.1,0.4,0.3,0.500179,0.323218532855092,1
"29","RandUCB",200,0.1,0.1,0.4,0.4,0.501093,0.325259111632511,1
"30","RandUCB",200,0.1,0.1,0.4,0.5,0.509017,0.327762721417728,1
"31","RandUCB",200,0.1,0.1,0.5,0,0.4822785,0.320771040375818,1
"32","RandUCB",200,0.1,0.1,0.5,0.1,0.484784,0.322178744268342,1
