"","method","Nt","p0","p1","miss0","miss1","pstar1","pstar1_se","scenario"
"1","TS",200,0.1,0.1,0,0,0.501885,0.091873350257229,1
"2","TS",200,0.1,0.1,0,0.1,0.498515,0.100189608905978,1
"3","TS",200,0.1,0.1,0,0.2,0.502345,0.107960323297063,1
"4","TS",200,0.1,0.1,0,0.3,0.50879,0.114646106037796,1
"5","TS",200,0.1,0.1,0,0.4,0.510405,0.114308474761946,1
"6","TS",200,0.1,0.1,0,0.5,0.50197,0.123306218511166,1
"7","TS",200,0.1,0.1,0.1,0,0.49428,0.0989270851090245,1
"8","TS",200,0.1,0.1,0.1,0.1,0.496205,0.104715511331003,1
"9","TS",200,0.1,0.1,0.1,0.2,0.502375,0.110087254387502,1
"10","TS",200,0.1,0.1,0.1,0.3,0.50498,0.114580662977347,1
"11","TS",200,0.1,0.1,0.1,0.4,0.504585,0.122576211814131,1
"12","TS",200,0.1,0.1,0.1,0.5,0.51026,0.131566683443006,1
"13","TS",200,0.1,0.1,0.2,0,0.496505,0.110352107195842,1
"14","TS",200,0.1,0.1,0.2,0.1,0.49388,0.109097882417341,1
"15","TS",200,0.1,0.1,0.2,0.2,0.494855,0.114640291221592,1
"16","TS",200,0.1,0.1,0.2,0.3,0.50254,0.117082905698513,1
"17","TS",200,0.1,0.1,0.2,0.4,0.507105,0.128508592838897,1
"18","TS",200,0.1,0.1,0.2,0.5,0.50643,0.135593660400259,1
"19","TS",200,0.1,0.1,0.3,0,0.499215,0.105888484483187,1
"20","TS",200,0.1,0.1,0.3,0.1,0.488855,0.115624967494517,1
"21","TS",200,0.1,0.1,0.3,0.2,0.494805,0.118956873331106,1
"22","TS",200,0.1,0.1,0.3,0.3,0.504575,0.120794186990147,1
"23","TS",200,0.1,0.1,0.3,0.4,0.50727,0.132356016921088,1
"24","TS",200,0.1,0.1,0.3,0.5,0.51139,0.133413143906314,1
"25","TS",200,0.1,0.1,0.4,0,0.494665,0.119655673727806,1
"26","TS",200,0.1,0.1,0.4,0.1,0.4966,0.122083145004928,1
"27","TS",200,0.1,0.1,0.4,0.2,0.50391,0.126951875443723,1
"28","TS",200,0.1,0.1,0.4,0.3,0.49537,0.131578782773197,1
"29","TS",200,0.1,0.1,0.4,0.4,0.502355,0.137304156551819,1
"30","TS",200,0.1,0.1,0.4,0.5,0.50013,0.143589348494242,1
"31","TS",200,0.1,0.1,0.5,0,0.483325,0.129415291572104,1
"32","TS",200,0.1,0.1,0.5,0.1,0.49431,0.133007762799639,1
"33","TS",200,0.1,0.1,0.5,0.2,0.494275,0.132590646935048,1
"34","TS",200,0.1,0.1,0.5,0.3,0.49868,0.143623066340979,1
"35","TS",200,0.1,0.1,0.5,0.4,0.49316,0.142960491402702,1
"36","TS",200,0.1,0.1,0.5,0.5,0.493325,0.151496767772932,1
"37","TS",200,0.3,0.3,0,0,0.495755,0.103801154399432,2
"38","TS",200,0.3,0.3,0,0.1,0.496745,0.107936927672393,2
"39","TS",200,0.3,0.3,0,0.2,0.49502,0.117248867358695,2
"40","TS",200,0.3,0.3,0,0.3,0.50446,0.125878329166516,2
"41","TS",200,0.3,0.3,0,0.4,0.502425,0.135921738857675,2
"42","TS",200,0.3,0.3,0,0.5,0.499025,0.150956988534441,2
"43","TS",200,0.3,0.3,0.1,0,0.502695,0.108414093136412,2
"44","TS",200,0.3,0.3,0.1,0.1,0.498815,0.114813121322555,2
"45","TS",200,0.3,0.3,0.1,0.2,0.504315,0.119989387981722,2
"46","TS",200,0.3,0.3,0.1,0.3,0.50543,0.129698831478494,2
"47","TS",200,0.3,0.3,0.1,0.4,0.49907,0.139755023403692,2
"48","TS",200,0.3,0.3,0.1,0.5,0.50813,0.15383959087218,2
"49","TS",200,0.3,0.3,0.2,0,0.498495,0.110213915101869,2
"50","TS",200,0.3,0.3,0.2,0.1,0.50161,0.121604669300137,2
"51","TS",200,0.3,0.3,0.2,0.2,0.50039,0.132617628297807,2
"52","TS",200,0.3,0.3,0.2,0.3,0.502855,0.141591037841373,2
"53","TS",200,0.3,0.3,0.2,0.4,0.49539,0.148023845913282,2
"54","TS",200,0.3,0.3,0.2,0.5,0.507655,0.160854593267259,2
"55","TS",200,0.3,0.3,0.3,0,0.49596,0.121177813408489,2
"56","TS",200,0.3,0.3,0.3,0.1,0.50286,0.135243155505597,2
