"","method","Nt","p0","p1","miss0","miss1","pstar1","pstar1_se","scenario"
"1","RPW",200,0.1,0.1,0,0,0.5000065,0.0259581363012452,1
"2","RPW",200,0.1,0.1,0,0.1,0.500256,0.0265901328976888,1
"3","RPW",200,0.1,0.1,0,0.2,0.5004035,0.0271891267349884,1
"4","RPW",200,0.1,0.1,0,0.3,0.5017195,0.0283051397778528,1
"5","RPW",200,0.1,0.1,0,0.4,0.501778,0.0288800471210172,1
"6","RPW",200,0.1,0.1,0,0.5,0.502692,0.0302621003149409,1
"7","RPW",200,0.1,0.1,0.1,0,0.4999535,0.026680733196492,1
"8","RPW",200,0.1,0.1,0.1,0.1,0.500222,0.0270450339135661,1
"9","RPW",200,0.1,0.1,0.1,0.2,0.500334,0.0274742411613631,1
"10","RPW",200,0.1,0.1,0.1,0.3,0.500737,0.0285784622373281,1
"11","RPW",200,0.1,0.1,0.1,0.4,0.501826,0.0293901701630021,1
"12","RPW",200,0.1,0.1,0.1,0.5,0.5023855,0.0308067654165371,1
"13","RPW",200,0.1,0.1,0.2,0,0.4995105,0.0272073871208059,1
"14","RPW",200,0.1,0.1,0.2,0.1,0.4999535,0.027406485533445,1
"15","RPW",200,0.1,0.1,0.2,0.2,0.5000355,0.0283034688401411,1
"16","RPW",200,0.1,0.1,0.2,0.3,0.500554,0.0288979513661318,1
"17","RPW",200,0.1,0.1,0.2,0.4,0.5013325,0.0299591671933632,1
"18","RPW",200,0.1,0.1,0.2,0.5,0.5023965,0.0315344847765587,1
"19","RPW",200,0.1,0.1,0.3,0,0.498735,0.0278308683070269,1
"20","RPW",200,0.1,0.1,0.3,0.1,0.4991865,0.0283837326893088,1
"21","RPW",200,0.1,0.1,0.3,0.2,0.5000575,0.0286610596347019,1
"22","RPW",200,0.1,0.1,0.3,0.3,0.499814,0.0295753761478604,1
"23","RPW",200,0.1,0.1,0.3,0.4,0.500488,0.0306934205426254,1
"24","RPW",200,0.1,0.1,0.3,0.5,0.5015475,0.03177528458757,1
"25","RPW",200,0.1,0.1,0.4,0,0.4984055,0.0288319822084748,1
"26","RPW",200,0.1,0.1,0.4,0.1,0.4985665,0.0294433229897182,1
"27","RPW",200,0.1,0.1,0.4,0.2,0.4988455,0.0299610479821654,1
"28","RPW",200,0.1,0.1,0.4,0.3,0.4993865,0.0307082304487206,1
"29","RPW",200,0.1,0.1,0.4,0.4,0.5002935,0.031232417519949,1
"30","RPW",200,0.1,0.1,0.4,0.5,0.5006455,0.0327405409859459,1
"31","RPW",200,0.1,0.1,0.5,0,0.4971675,0.0299909884746897,1
"32","RPW",200,0.1,0.1,0.5,0.1,0.4980675,0.0305254995759682,1
"33","RPW",200,0.1,0.1,0.5,0.2,0.4976025,0.0314052244469333,1
"34","RPW",200,0.1,0.1,0.5,0.3,0.49774,0.0318186838644261,1
"35","RPW",200,0.1,0.1,0.5,0.4,0.499037,0.0328889920730319,1
"36","RPW",200,0.1,0.1,0.5,0.5,0.499829,0.0342600077906206,1
"37","RPW",200,0.3,0.3,0,0,0.500036,0.0383783271339354,2
"38","RPW",200,0.3,0.3,0,0.1,0.5005435,0.0397553160755342,2
"39","RPW",200,0.3,0.3,0,0.2,0.5004685,0.0413180193816519,2
"40","RPW",200,0.3,0.3,0,0.3,0.501746,0.0437477756095905,2
"41","RPW",200,0.3,0.3,0,0.4,0.5024415,0.0466567708181387,2
"42","RPW",200,0.3,0.3,0,0.5,0.5036015,0.0493724666367418,2
"43","RPW",200,0.3,0.3,0.1,0,0.499981,0.0402474424611362,2
"44","RPW",200,0.3,0.3,0.1,0.1,0.4993455,0.0413601885424816,2
"45","RPW",200,0.3,0.3,0.1,0.2,0.499933,0.0426013732020444,2
"46","RPW",200,0.3,0.3,0.1,0.3,0.501351,0.0449475452853959,2
"47","RPW",200,0.3,0.3,0.1,0.4,0.5017545,0.0480375373041648,2
"48","RPW",200,0.3,0.3,0.1,0.5,0.5028855,0.0512475757587821,2
"49","RPW",200,0.3,0.3,0.2,0,0.499119,0.0413192396706026,2
"50","RPW",200,0.3,0.3,0.2,0.1,0.4991995,0.0431592744615477,2
"51","RPW",200,0.3,0.3,0.2,0.2,0.50081,0.0442041774149242,2
"52","RPW",200,0.3,0.3,0.2,0.3,0.500112,0.0467145125262809,2
"53","RPW",200,0.3,0.3,0.2,0.4,0.5018775,0.0488505489361495,2
"54","RPW",200,0.3,0.3,0.2,0.5,0.502853,0.0529887834557203,2
"55","RPW",200,0.3,0.3,0.3,0,0.4985255,0.0442084696481213,2
"56","RPW",200,0.3,0.3,0.3,0.1,0.499344,0.0449958567727371,2
"57","RPW",200,0.3,0.3,0.3,0.2,0.499,0.0465490782042799,2
"58","RPW",200,0.3,0.3,0.3,0.3,0.500292,0.0489912211521105,2
"59","RPW",200,0.3,0.3,0.3,0.4,0.501202,0.0504639956551773,2
"60","RPW",200,0.3,0.3,0.3,0.5,0.5024145,0.0536665696669722,2
"61","RPW",200,0.3,0.3,0.4,0,0.498288,0.0461798907992583,2
"62","RPW",200,0.3,0.3,0.4,0.1,0.498152,0.0477726712547235,2
"63","RPW",200,0.3,0.3,0.4,0.2,0.4983385,0.0493115613295511,2
"64","RPW",200,0.3,0.3,0.4,0.3,0.4985905,0.0498829092998195,2
"65","RPW",200,0.3,0.3,0.4,0.4,0.4995115,0.0528047128722442,2
"66","RPW",200,0.3,0.3,0.4,0.5,0.5006885,0.0568498606719123,2
"67","RPW",200,0.3,0.3,0.5,0,0.4959545,0.0506730027240394,2
"68","RPW",200,0.3,0.3,0.5,0.1,0.4959645,0.0514368235258695,2
"69","RPW",200,0.3,0.3,0.5,0.2,0.496796,0.0533236225782953,2
"70","RPW",200,0.3,0.3,0.5,0.3,0.498048,0.0545849122676287,2
"71","RPW",200,0.3,0.3,0.5,0.4,0.4986755,0.0557249381033543,2
"72","RPW",200,0.3,0.3,0.5,0.5,0.4989685,0.0591538538524123,2
"73","RPW",200,0.5,0.5,0,0,0.5005755,0.0576680055111668,3
"74","RPW",200,0.5,0.5,0,0.1,0.501524,0.0604445429983371,3
"75","RPW",200,0.5,0.5,0,0.2,0.499928,0.0623970684841487,3
"76","RPW",200,0.5,0.5,0,0.3,0.501505,0.0675480291986736,3
"77","RPW",200,0.5,0.5,0,0.4,0.5024485,0.0717530988771206,3
"78","RPW",200,0.5,0.5,0,0.5,0.5030745,0.0777606560010406,3
"79","RPW",200,0.5,0.5,0.1,0,0.499705,0.0603883900328952,3
"80","RPW",200,0.5,0.5,0.1,0.1,0.499088,0.062481706541717,3
"81","RPW",200,0.5,0.5,0.1,0.2,0.5002285,0.0659397080085985,3
"82","RPW",200,0.5,0.5,0.1,0.3,0.5019875,0.0692823740101683,3
"83","RPW",200,0.5,0.5,0.1,0.4,0.502343,0.0739889369249128,3
"84","RPW",200,0.5,0.5,0.1,0.5,0.502542,0.0788131295339723,3
"85","RPW",200,0.5,0.5,0.2,0,0.499006,0.0627856764566315,3
"86","RPW",200,0.5,0.5,0.2,0.1,0.4998055,0.0656369217003588,3
"87","RPW",200,0.5,0.5,0.2,0.2,0.500006,0.0684115339529657,3
"88","RPW",200,0.5,0.5,0.2,0.3,0.50054,0.071988343724267,3
"89","RPW",200,0.5,0.5,0.2,0.4,0.5017245,0.076561836258198,3
"90","RPW",200,0.5,0.5,0.2,0.5,0.5025945,0.0815102782616783,3
"91","RPW",200,0.5,0.5,0.3,0,0.4994455,0.0671127070031759,3
"92","RPW",200,0.5,0.5,0.3,0.1,0.498571,0.0690069500479154,3
"93","RPW",200,0.5,0.5,0.3,0.2,0.4999295,0.0725686512942404,3
"94","RPW",200,0.5,0.5,0.3,0.3,0.50048,0.0744689476387054,3
"95","RPW",200,0.5,0.5,0.3,0.4,0.5016065,0.0802279895721006,3
"96","RPW",200,0.5,0.5,0.3,0.5,0.501992,0.0842385989327637,3
"97","RPW",200,0.5,0.5,0.4,0,0.49833,0.0711920847516993,3
"98","RPW",200,0.5,0.5,0.4,0.1,0.4980515,0.0732605457153156,3
"99","RPW",200,0.5,0.5,0.4,0.2,0.498304,0.0760799737134551,3
"100","RPW",200,0.5,0.5,0.4,0.3,0.498265,0.0791867844383327,3
"101","RPW",200,0.5,0.5,0.4,0.4,0.4996735,0.0833612068460545,3
"102","RPW",200,0.5,0.5,0.4,0.5,0.500027,0.0874850251983926,3
"103","RPW",200,0.5,0.5,0.5,0,0.4968015,0.0769407504880123,3
"104","RPW",200,0.5,0.5,0.5,0.1,0.4960195,0.0786970929767695,3
"105","RPW",200,0.5,0.5,0.5,0.2,0.498229,0.0812700377808703,3
"106","RPW",200,0.5,0.5,0.5,0.3,0.4980295,0.0854357042208091,3
"107","RPW",200,0.5,0.5,0.5,0.4,0.500868,0.0887699250081839,3
"108","RPW",200,0.5,0.5,0.5,0.5,0.499877,0.0921921081735359,3
"109","RPW",200,0.7,0.7,0,0,0.4986465,0.094906460588182,4
"110","RPW",200,0.7,0.7,0,0.1,0.50016,0.0989052709680456,4
"111","RPW",200,0.7,0.7,0,0.2,0.5002125,0.103351828739507,4
"112","RPW",200,0.7,0.7,0,0.3,0.4976815,0.107977534573388,4
"113","RPW",200,0.7,0.7,0,0.4,0.4982675,0.116723298345222,4
"114","RPW",200,0.7,0.7,0,0.5,0.497534,0.121819919772118,4
"115","RPW",200,0.7,0.7,0.1,0,0.5021545,0.0988466372494257,4
"116","RPW",200,0.7,0.7,0.1,0.1,0.50246,0.104102627900133,4
"117","RPW",200,0.7,0.7,0.1,0.2,0.500408,0.107808584097374,4
"118","RPW",200,0.7,0.7,0.1,0.3,0.498576,0.112146510904222,4
"119","RPW",200,0.7,0.7,0.1,0.4,0.499247,0.119211824652229,4
"120","RPW",200,0.7,0.7,0.1,0.5,0.494788,0.126469559621875,4
"121","RPW",200,0.7,0.7,0.2,0,0.501562,0.103426253219313,4
"122","RPW",200,0.7,0.7,0.2,0.1,0.498896,0.108025613339216,4
"123","RPW",200,0.7,0.7,0.2,0.2,0.500194,0.111886032248986,4
"124","RPW",200,0.7,0.7,0.2,0.3,0.499636,0.117577591202556,4
"125","RPW",200,0.7,0.7,0.2,0.4,0.4954045,0.122444408378106,4
"126","RPW",200,0.7,0.7,0.2,0.5,0.4964525,0.130088566166496,4
"127","RPW",200,0.7,0.7,0.3,0,0.5026435,0.109274669997673,4
"128","RPW",200,0.7,0.7,0.3,0.1,0.5011445,0.112858811489768,4
"129","RPW",200,0.7,0.7,0.3,0.2,0.4983845,0.117889471338603,4
"130","RPW",200,0.7,0.7,0.3,0.3,0.5014765,0.120919392976105,4
"131","RPW",200,0.7,0.7,0.3,0.4,0.5008205,0.12866677812757,4
"132","RPW",200,0.7,0.7,0.3,0.5,0.4980895,0.135216385238009,4
"133","RPW",200,0.7,0.7,0.4,0,0.5019955,0.115758608687642,4
"134","RPW",200,0.7,0.7,0.4,0.1,0.502821,0.118910432377032,4
"135","RPW",200,0.7,0.7,0.4,0.2,0.500449,0.122990186834584,4
"136","RPW",200,0.7,0.7,0.4,0.3,0.501157,0.128311954808485,4
"137","RPW",200,0.7,0.7,0.4,0.4,0.49921,0.134366016249021,4
"138","RPW",200,0.7,0.7,0.4,0.5,0.498734,0.142360015037187,4
"139","RPW",200,0.7,0.7,0.5,0,0.50469,0.122093302754319,4
"140","RPW",200,0.7,0.7,0.5,0.1,0.505446,0.125005654773584,4
"141","RPW",200,0.7,0.7,0.5,0.2,0.502467,0.129640154149695,4
"142","RPW",200,0.7,0.7,0.5,0.3,0.500316,0.134573460034342,4
"143","RPW",200,0.7,0.7,0.5,0.4,0.5042605,0.141393192351097,4
"144","RPW",200,0.7,0.7,0.5,0.5,0.499371,0.148699480538942,4
"145","RPW",200,0.9,0.9,0,0,0.495122,0.190640065252423,5
"146","RPW",200,0.9,0.9,0,0.1,0.4959705,0.194722603513259,5
"147","RPW",200,0.9,0.9,0,0.2,0.48752,0.198793715932243,5
"148","RPW",200,0.9,0.9,0,0.3,0.4802435,0.207006867982899,5
"149","RPW",200,0.9,0.9,0,0.4,0.469,0.210725889581831,5
"150","RPW",200,0.9,0.9,0,0.5,0.4476755,0.216923292366742,5
"151","RPW",200,0.9,0.9,0.1,0,0.509608,0.194179638245597,5
"152","RPW",200,0.9,0.9,0.1,0.1,0.499224,0.200478881686327,5
"153","RPW",200,0.9,0.9,0.1,0.2,0.4913605,0.205223520116655,5
"154","RPW",200,0.9,0.9,0.1,0.3,0.4825035,0.211165963389367,5
"155","RPW",200,0.9,0.9,0.1,0.4,0.472568,0.215208554309964,5
"156","RPW",200,0.9,0.9,0.1,0.5,0.4560095,0.221759511944502,5
"157","RPW",200,0.9,0.9,0.2,0,0.513388,0.198522058111323,5
"158","RPW",200,0.9,0.9,0.2,0.1,0.5078555,0.204348487760969,5
"159","RPW",200,0.9,0.9,0.2,0.2,0.501404,0.210369364002773,5
"160","RPW",200,0.9,0.9,0.2,0.3,0.4882435,0.216941590233656,5
"161","RPW",200,0.9,0.9,0.2,0.4,0.4818475,0.222258586182094,5
"162","RPW",200,0.9,0.9,0.2,0.5,0.4653905,0.229118068948527,5
"163","RPW",200,0.9,0.9,0.3,0,0.520154,0.205451630125517,5
"164","RPW",200,0.9,0.9,0.3,0.1,0.5146955,0.210762643437913,5
"165","RPW",200,0.9,0.9,0.3,0.2,0.5049405,0.219419822408087,5
"166","RPW",200,0.9,0.9,0.3,0.3,0.500786,0.221826526603088,5
"167","RPW",200,0.9,0.9,0.3,0.4,0.490906,0.226880787316082,5
"168","RPW",200,0.9,0.9,0.3,0.5,0.474552,0.236439547584507,5
"169","RPW",200,0.9,0.9,0.4,0,0.5335135,0.211828834116714,5
"170","RPW",200,0.9,0.9,0.4,0.1,0.5243935,0.213900841547553,5
"171","RPW",200,0.9,0.9,0.4,0.2,0.5223635,0.221770544899922,5
"172","RPW",200,0.9,0.9,0.4,0.3,0.5110455,0.227131389941108,5
"173","RPW",200,0.9,0.9,0.4,0.4,0.496333,0.236436700497901,5
"174","RPW",200,0.9,0.9,0.4,0.5,0.4852785,0.244980165454056,5
"175","RPW",200,0.9,0.9,0.5,0,0.5456475,0.216532322918397,5
"176","RPW",200,0.9,0.9,0.5,0.1,0.543987,0.221789783132114,5
"177","RPW",200,0.9,0.9,0.5,0.2,0.530945,0.229224827139509,5
