"","method","Nt","p0","p1","miss0","miss1","pstar1","pstar1_se","scenario"
"1","RandUCB",200,0.1,0.1,0,0,0.502024,0.298804805609256,1
"2","RandUCB",200,0.1,0.1,0,0.1,0.4940155,0.304758963875316,1
"3","RandUCB",200,0.1,0.1,0,0.2,0.4798275,0.311590888236343,1
"4","RandUCB",200,0.1,0.1,0,0.3,0.4695695,0.315171374761886,1
"5","RandUCB",200,0.1,0.1,0,0.4,0.457886,0.322978679678323,1
"6","RandUCB",200,0.1,0.1,0,0.5,0.444396,0.329297371474304,1
"7","RandUCB",200,0.1,0.1,0.1,0,0.510055,0.303689643740071,1
"8","RandUCB",200,0.1,0.1,0.1,0.1,0.5042845,0.308234036702451,1
"9","RandUCB",200,0.1,0.1,0.1,0.2,0.4910625,0.31509332264259,1
"10","RandUCB",200,0.1,0.1,0.1,0.3,0.4780815,0.321433739396835,1
"11","RandUCB",200,0.1,0.1,0.1,0.4,0.4679375,0.327045676444741,1
"12","RandUCB",200,0.1,0.1,0.1,0.5,0.4542525,0.331988953747397,1
"13","RandUCB",200,0.1,0.1,0.2,0,0.5160775,0.310320481718315,1
"14","RandUCB",200,0.1,0.1,0.2,0.1,0.5078385,0.315295554276309,1
"15","RandUCB",200,0.1,0.1,0.2,0.2,0.498486,0.32121270299298,1
"16","RandUCB",200,0.1,0.1,0.2,0.3,0.4900625,0.326926202174003,1
"17","RandUCB",200,0.1,0.1,0.2,0.4,0.4769285,0.33040727940646,1
"18","RandUCB",200,0.1,0.1,0.2,0.5,0.461791,0.334629511564657,1
"19","RandUCB",200,0.1,0.1,0.3,0,0.5330945,0.315587192543297,1
"20","RandUCB",200,0.1,0.1,0.3,0.1,0.5228525,0.320286713901248,1
"21","RandUCB",200,0.1,0.1,0.3,0.2,0.5075865,0.324269344185521,1
"22","RandUCB",200,0.1,0.1,0.3,0.3,0.4962855,0.329254317861335,1
"23","RandUCB",200,0.1,0.1,0.3,0.4,0.480631,0.334846859147444,1
"24","RandUCB",200,0.1,0.1,0.3,0.5,0.468741,0.338687202033207,1
"25","RandUCB",200,0.1,0.1,0.4,0,0.539555,0.322416480989607,1
"26","RandUCB",200,0.1,0.1,0.4,0.1,0.5373925,0.325193447845436,1
"27","RandUCB",200,0.1,0.1,0.4,0.2,0.523745,0.330125920350597,1
"28","RandUCB",200,0.1,0.1,0.4,0.3,0.5123745,0.334235449321744,1
"29","RandUCB",200,0.1,0.1,0.4,0.4,0.501537,0.339841796834479,1
"30","RandUCB",200,0.1,0.1,0.4,0.5,0.483227,0.343707280895378,1
"31","RandUCB",200,0.1,0.1,0.5,0,0.5545215,0.328870824397154,1
"32","RandUCB",200,0.1,0.1,0.5,0.1,0.5538165,0.329910155798272,1
"33","RandUCB",200,0.1,0.1,0.5,0.2,0.534193,0.33594307482958,1
"34","RandUCB",200,0.1,0.1,0.5,0.3,0.5245495,0.340085232473103,1
"35","RandUCB",200,0.1,0.1,0.5,0.4,0.5162985,0.34343401999563,1
"36","RandUCB",200,0.1,0.1,0.5,0.5,0.5006875,0.34866544366041,1
"37","RandUCB",200,0.3,0.3,0,0,0.5012265,0.402297449061639,2
"38","RandUCB",200,0.3,0.3,0,0.1,0.4896685,0.404429801021321,2
"39","RandUCB",200,0.3,0.3,0,0.2,0.475655,0.407416641543986,2
"40","RandUCB",200,0.3,0.3,0,0.3,0.4598435,0.40964867168242,2
"41","RandUCB",200,0.3,0.3,0,0.4,0.4506815,0.41293251189957,2
"42","RandUCB",200,0.3,0.3,0,0.5,0.4367875,0.414628633881156,2
"43","RandUCB",200,0.3,0.3,0.1,0,0.511557,0.405537189160475,2
"44","RandUCB",200,0.3,0.3,0.1,0.1,0.5054045,0.408843630488686,2
"45","RandUCB",200,0.3,0.3,0.1,0.2,0.4842765,0.409091450203024,2
"46","RandUCB",200,0.3,0.3,0.1,0.3,0.479432,0.41351115042179,2
"47","RandUCB",200,0.3,0.3,0.1,0.4,0.456029,0.416575478961457,2
"48","RandUCB",200,0.3,0.3,0.1,0.5,0.4479865,0.417284088983563,2
"49","RandUCB",200,0.3,0.3,0.2,0,0.5260065,0.408085209008525,2
"50","RandUCB",200,0.3,0.3,0.2,0.1,0.5121395,0.412554935974919,2
"51","RandUCB",200,0.3,0.3,0.2,0.2,0.4965935,0.414224940687905,2
"52","RandUCB",200,0.3,0.3,0.2,0.3,0.4871745,0.414404877131012,2
"53","RandUCB",200,0.3,0.3,0.2,0.4,0.4716315,0.417849291624147,2
"54","RandUCB",200,0.3,0.3,0.2,0.5,0.461284,0.421259435853049,2
"55","RandUCB",200,0.3,0.3,0.3,0,0.5327195,0.410430989545707,2
"56","RandUCB",200,0.3,0.3,0.3,0.1,0.525535,0.413164215829401,2
"57","RandUCB",200,0.3,0.3,0.3,0.2,0.5232005,0.41630793354115,2
"58","RandUCB",200,0.3,0.3,0.3,0.3,0.49831,0.417634667827729,2
"59","RandUCB",200,0.3,0.3,0.3,0.4,0.4867785,0.420062328320117,2
