"","method","Nt","p0","p1","miss0","miss1","pstar1","pstar1_se","scenario"
"1","TS",200,0.1,0.1,0,0,0.501335,0.0918565751887441,1
"2","TS",200,0.1,0.1,0,0.1,0.49628,0.100902144887226,1
"3","TS",200,0.1,0.1,0,0.2,0.4886,0.109640371264471,1
"4","TS",200,0.1,0.1,0,0.3,0.49089,0.111229402047659,1
"5","TS",200,0.1,0.1,0,0.4,0.490365,0.118133599464007,1
"6","TS",200,0.1,0.1,0,0.5,0.48812,0.13248478334442,1
"7","TS",200,0.1,0.1,0.1,0,0.502065,0.099539785733866,1
"8","TS",200,0.1,0.1,0.1,0.1,0.502965,0.104358634043856,1
"9","TS",200,0.1,0.1,0.1,0.2,0.49871,0.107280216931851,1
"10","TS",200,0.1,0.1,0.1,0.3,0.49236,0.116578604258976,1
"11","TS",200,0.1,0.1,0.1,0.4,0.48878,0.121372331455084,1
"12","TS",200,0.1,0.1,0.1,0.5,0.483985,0.136498815752012,1
"13","TS",200,0.1,0.1,0.2,0,0.503445,0.105257950821832,1
"14","TS",200,0.1,0.1,0.2,0.1,0.503575,0.10919119512164,1
"15","TS",200,0.1,0.1,0.2,0.2,0.4959,0.119123803164945,1
"16","TS",200,0.1,0.1,0.2,0.3,0.499305,0.125759323242384,1
"17","TS",200,0.1,0.1,0.2,0.4,0.49502,0.132266375144985,1
"18","TS",200,0.1,0.1,0.2,0.5,0.488825,0.139284940570292,1
"19","TS",200,0.1,0.1,0.3,0,0.50869,0.110730280840857,1
"20","TS",200,0.1,0.1,0.3,0.1,0.501995,0.114200861694699,1
"21","TS",200,0.1,0.1,0.3,0.2,0.503765,0.121368983703437,1
"22","TS",200,0.1,0.1,0.3,0.3,0.50336,0.125498846051907,1
"23","TS",200,0.1,0.1,0.3,0.4,0.497015,0.134003065623875,1
"24","TS",200,0.1,0.1,0.3,0.5,0.496725,0.141085805733885,1
"25","TS",200,0.1,0.1,0.4,0,0.511355,0.124418121042892,1
"26","TS",200,0.1,0.1,0.4,0.1,0.507335,0.120487925183875,1
"27","TS",200,0.1,0.1,0.4,0.2,0.510485,0.131443779777676,1
"28","TS",200,0.1,0.1,0.4,0.3,0.507,0.133236826936294,1
"29","TS",200,0.1,0.1,0.4,0.4,0.497435,0.141403113882317,1
"30","TS",200,0.1,0.1,0.4,0.5,0.484455,0.15396536398914,1
"31","TS",200,0.1,0.1,0.5,0,0.50939,0.130136902965736,1
"32","TS",200,0.1,0.1,0.5,0.1,0.514745,0.13323667658339,1
"33","TS",200,0.1,0.1,0.5,0.2,0.512905,0.134567434282479,1
"34","TS",200,0.1,0.1,0.5,0.3,0.50817,0.141741637466878,1
"35","TS",200,0.1,0.1,0.5,0.4,0.502635,0.159304927214556,1
"36","TS",200,0.1,0.1,0.5,0.5,0.50471,0.161116648657035,1
"37","TS",200,0.3,0.3,0,0,0.49528,0.102832855625992,2
"38","TS",200,0.3,0.3,0,0.1,0.496835,0.104189073986374,2
"39","TS",200,0.3,0.3,0,0.2,0.499115,0.117332470713284,2
"40","TS",200,0.3,0.3,0,0.3,0.492855,0.131229932828872,2
"41","TS",200,0.3,0.3,0,0.4,0.49642,0.138582967347502,2
"42","TS",200,0.3,0.3,0,0.5,0.47987,0.151323269300633,2
"43","TS",200,0.3,0.3,0.1,0,0.49786,0.111467463393563,2
"44","TS",200,0.3,0.3,0.1,0.1,0.49837,0.11065119424022,2
"45","TS",200,0.3,0.3,0.1,0.2,0.49756,0.12626138894507,2
"46","TS",200,0.3,0.3,0.1,0.3,0.494025,0.134825636758472,2
"47","TS",200,0.3,0.3,0.1,0.4,0.4934,0.13792720512616,2
"48","TS",200,0.3,0.3,0.1,0.5,0.47597,0.152553044976269,2
"49","TS",200,0.3,0.3,0.2,0,0.508425,0.122039903773778,2
"50","TS",200,0.3,0.3,0.2,0.1,0.50072,0.123187486201955,2
"51","TS",200,0.3,0.3,0.2,0.2,0.502795,0.127571303248075,2
"52","TS",200,0.3,0.3,0.2,0.3,0.49885,0.135137113849377,2
"53","TS",200,0.3,0.3,0.2,0.4,0.499465,0.144563437156019,2
"54","TS",200,0.3,0.3,0.2,0.5,0.491525,0.166324722420596,2
"55","TS",200,0.3,0.3,0.3,0,0.502635,0.125337908736209,2
