"","method","Nt","p0","p1","miss0","miss1","pstar1","pstar1_se","scenario"
"1","CB",200,0.1,0.1,0,0,0.5000225,0.387871539851653,1
"2","CB",200,0.1,0.1,0,0.1,0.4859365,0.391970189594442,1
"3","CB",200,0.1,0.1,0,0.2,0.4768835,0.393381481296124,1
"4","CB",200,0.1,0.1,0,0.3,0.457861,0.396082375022899,1
"5","CB",200,0.1,0.1,0,0.4,0.4374675,0.397104133840308,1
"6","CB",200,0.1,0.1,0,0.5,0.413875,0.396033273362682,1
"7","CB",200,0.1,0.1,0.1,0,0.5191635,0.390890921279817,1
"8","CB",200,0.1,0.1,0.1,0.1,0.4979095,0.393782457420499,1
"9","CB",200,0.1,0.1,0.1,0.2,0.4889865,0.394963650158144,1
"10","CB",200,0.1,0.1,0.1,0.3,0.4663975,0.397435724374711,1
"11","CB",200,0.1,0.1,0.1,0.4,0.4502175,0.397889459267181,1
"12","CB",200,0.1,0.1,0.1,0.5,0.4292095,0.398690685915853,1
"13","CB",200,0.1,0.1,0.2,0,0.5331905,0.393681802660378,1
"14","CB",200,0.1,0.1,0.2,0.1,0.5242245,0.394451144338912,1
"15","CB",200,0.1,0.1,0.2,0.2,0.498197,0.397553624155796,1
"16","CB",200,0.1,0.1,0.2,0.3,0.485714,0.4008903484884,1
"17","CB",200,0.1,0.1,0.2,0.4,0.4669975,0.401967100953268,1
"18","CB",200,0.1,0.1,0.2,0.5,0.436075,0.399959361840816,1
"19","CB",200,0.1,0.1,0.3,0,0.53902,0.395808338750085,1
"20","CB",200,0.1,0.1,0.3,0.1,0.5310035,0.398701921001054,1
"21","CB",200,0.1,0.1,0.3,0.2,0.5181825,0.401007456154794,1
"22","CB",200,0.1,0.1,0.3,0.3,0.50542,0.401266850248698,1
"23","CB",200,0.1,0.1,0.3,0.4,0.484625,0.402737481646435,1
"24","CB",200,0.1,0.1,0.3,0.5,0.4567885,0.403211720733567,1
"25","CB",200,0.1,0.1,0.4,0,0.5640235,0.395801983154123,1
"26","CB",200,0.1,0.1,0.4,0.1,0.551041,0.39835465977254,1
"27","CB",200,0.1,0.1,0.4,0.2,0.540178,0.401556643687798,1
"28","CB",200,0.1,0.1,0.4,0.3,0.5224895,0.403761522716656,1
"29","CB",200,0.1,0.1,0.4,0.4,0.5031835,0.405553362926222,1
"30","CB",200,0.1,0.1,0.4,0.5,0.4785805,0.405140600792356,1
"31","CB",200,0.1,0.1,0.5,0,0.579006,0.396828532558365,1
"32","CB",200,0.1,0.1,0.5,0.1,0.5751465,0.397946343326543,1
"33","CB",200,0.1,0.1,0.5,0.2,0.552823,0.402165220223524,1
"34","CB",200,0.1,0.1,0.5,0.3,0.542914,0.402049254400871,1
"35","CB",200,0.1,0.1,0.5,0.4,0.5156015,0.40662491325515,1
"36","CB",200,0.1,0.1,0.5,0.5,0.495264,0.408045016361599,1
"37","CB",200,0.3,0.3,0,0,0.497925,0.456430046352912,2
"38","CB",200,0.3,0.3,0,0.1,0.4870715,0.457566534070249,2
"39","CB",200,0.3,0.3,0,0.2,0.466614,0.457716266285176,2
"40","CB",200,0.3,0.3,0,0.3,0.4605215,0.45732487920762,2
"41","CB",200,0.3,0.3,0,0.4,0.4441755,0.456589180848338,2
"42","CB",200,0.3,0.3,0,0.5,0.430395,0.455171123919571,2
"43","CB",200,0.3,0.3,0.1,0,0.5164915,0.457038670532797,2
"44","CB",200,0.3,0.3,0.1,0.1,0.5000475,0.458377302250964,2
"45","CB",200,0.3,0.3,0.1,0.2,0.486402,0.458784952629525,2
"46","CB",200,0.3,0.3,0.1,0.3,0.4663645,0.457756944001648,2
"47","CB",200,0.3,0.3,0.1,0.4,0.469254,0.458057414680206,2
"48","CB",200,0.3,0.3,0.1,0.5,0.4382595,0.455766283801572,2
"49","CB",200,0.3,0.3,0.2,0,0.522669,0.457096981180165,2
"50","CB",200,0.3,0.3,0.2,0.1,0.5222915,0.458203608216269,2
"51","CB",200,0.3,0.3,0.2,0.2,0.5025315,0.45910518594863,2
"52","CB",200,0.3,0.3,0.2,0.3,0.4883385,0.45880477558539,2
"53","CB",200,0.3,0.3,0.2,0.4,0.477702,0.459297283461877,2
"54","CB",200,0.3,0.3,0.2,0.5,0.4515325,0.457650552656265,2
"55","CB",200,0.3,0.3,0.3,0,0.537096,0.456638038947547,2
"56","CB",200,0.3,0.3,0.3,0.1,0.531521,0.458566641716871,2
"57","CB",200,0.3,0.3,0.3,0.2,0.5111015,0.458587232075526,2
"58","CB",200,0.3,0.3,0.3,0.3,0.504214,0.459330007303639,2
"59","CB",200,0.3,0.3,0.3,0.4,0.489716,0.458456096636586,2
"60","CB",200,0.3,0.3,0.3,0.5,0.46499,0.458020226794424,2
"61","CB",200,0.3,0.3,0.4,0,0.557563,0.456349297686706,2
"62","CB",200,0.3,0.3,0.4,0.1,0.5509525,0.456165451273596,2
"63","CB",200,0.3,0.3,0.4,0.2,0.5294005,0.4583432785106,2
"64","CB",200,0.3,0.3,0.4,0.3,0.520369,0.458515247796893,2
"65","CB",200,0.3,0.3,0.4,0.4,0.4963905,0.459037411922279,2
"66","CB",200,0.3,0.3,0.4,0.5,0.4773005,0.458300342701336,2
"67","CB",200,0.3,0.3,0.5,0,0.5728835,0.454599102465179,2
"68","CB",200,0.3,0.3,0.5,0.1,0.556819,0.456727332469409,2
"69","CB",200,0.3,0.3,0.5,0.2,0.5362785,0.458396363053107,2
"70","CB",200,0.3,0.3,0.5,0.3,0.5392045,0.457669969366394,2
"71","CB",200,0.3,0.3,0.5,0.4,0.5180175,0.458195887738971,2
"72","CB",200,0.3,0.3,0.5,0.5,0.501098,0.457942737196535,2
"73","CB",200,0.5,0.5,0,0,0.516136,0.47938050656134,3
"74","CB",200,0.5,0.5,0,0.1,0.5018645,0.478869337840733,3
"75","CB",200,0.5,0.5,0,0.2,0.4833525,0.478401677526591,3
"76","CB",200,0.5,0.5,0,0.3,0.480391,0.478320505696355,3
"77","CB",200,0.5,0.5,0,0.4,0.474619,0.478138914460172,3
"78","CB",200,0.5,0.5,0,0.5,0.470162,0.475905266138371,3
"79","CB",200,0.5,0.5,0.1,0,0.5041435,0.479489050847606,3
"80","CB",200,0.5,0.5,0.1,0.1,0.503156,0.479171034341617,3
"81","CB",200,0.5,0.5,0.1,0.2,0.503486,0.47809126736429,3
"82","CB",200,0.5,0.5,0.1,0.3,0.492893,0.478747789024189,3
"83","CB",200,0.5,0.5,0.1,0.4,0.482439,0.476522500673751,3
"84","CB",200,0.5,0.5,0.1,0.5,0.472425,0.475666921571206,3
"85","CB",200,0.5,0.5,0.2,0,0.512338,0.478582942570347,3
"86","CB",200,0.5,0.5,0.2,0.1,0.507279,0.478419564490175,3
"87","CB",200,0.5,0.5,0.2,0.2,0.49645,0.477821879862033,3
"88","CB",200,0.5,0.5,0.2,0.3,0.4945545,0.4773758454295,3
"89","CB",200,0.5,0.5,0.2,0.4,0.489868,0.476353864135044,3
