"","method","Nt","p0","p1","miss0","miss1"
"1","RPW",200,0.1,0.1,0,0
"2","RPW",200,0.1,0.1,0,0.1
"3","RPW",200,0.1,0.1,0,0.2
"4","RPW",200,0.1,0.1,0,0.3
"5","RPW",200,0.1,0.1,0,0.4
"6","RPW",200,0.1,0.1,0,0.5
"7","RPW",200,0.1,0.1,0.1,0
"8","RPW",200,0.1,0.1,0.1,0.1
"9","RPW",200,0.1,0.1,0.1,0.2
"10","RPW",200,0.1,0.1,0.1,0.3
"11","RPW",200,0.1,0.1,0.1,0.4
"12","RPW",200,0.1,0.1,0.1,0.5
"13","RPW",200,0.1,0.1,0.2,0
"14","RPW",200,0.1,0.1,0.2,0.1
"15","RPW",200,0.1,0.1,0.2,0.2
"16","RPW",200,0.1,0.1,0.2,0.3
"17","RPW",200,0.1,0.1,0.2,0.4
"18","RPW",200,0.1,0.1,0.2,0.5
"19","RPW",200,0.1,0.1,0.3,0
"20","RPW",200,0.1,0.1,0.3,0.1
"21","RPW",200,0.1,0.1,0.3,0.2
"22","RPW",200,0.1,0.1,0.3,0.3
"23","RPW",200,0.1,0.1,0.3,0.4
"24","RPW",200,0.1,0.1,0.3,0.5
"25","RPW",200,0.1,0.1,0.4,0
"26","RPW",200,0.1,0.1,0.4,0.1
"27","RPW",200,0.1,0.1,0.4,0.2
"28","RPW",200,0.1,0.1,0.4,0.3
"29","RPW",200,0.1,0.1,0.4,0.4
"30","RPW",200,0.1,0.1,0.4,0.5
"31","RPW",200,0.1,0.1,0.5,0
"32","RPW",200,0.1,0.1,0.5,0.1
"33","RPW",200,0.1,0.1,0.5,0.2
"34","RPW",200,0.1,0.1,0.5,0.3
"35","RPW",200,0.1,0.1,0.5,0.4
"36","RPW",200,0.1,0.1,0.5,0.5
"37","RPW",200,0.3,0.3,0,0
"38","RPW",200,0.3,0.3,0,0.1
"39","RPW",200,0.3,0.3,0,0.2
"40","RPW",200,0.3,0.3,0,0.3
"41","RPW",200,0.3,0.3,0,0.4
"42","RPW",200,0.3,0.3,0,0.5
"43","RPW",200,0.3,0.3,0.1,0
"44","RPW",200,0.3,0.3,0.1,0.1
"45","RPW",200,0.3,0.3,0.1,0.2
"46","RPW",200,0.3,0.3,0.1,0.3
"47","RPW",200,0.3,0.3,0.1,0.4
"48","RPW",200,0.3,0.3,0.1,0.5
"49","RPW",200,0.3,0.3,0.2,0
"50","RPW",200,0.3,0.3,0.2,0.1
"51","RPW",200,0.3,0.3,0.2,0.2
"52","RPW",200,0.3,0.3,0.2,0.3
"53","RPW",200,0.3,0.3,0.2,0.4
"54","RPW",200,0.3,0.3,0.2,0.5
"55","RPW",200,0.3,0.3,0.3,0
"56","RPW",200,0.3,0.3,0.3,0.1
