X,method,Nt,p0,p1,miss0,miss1
1,RandUCB,200,0.1,0.1,0,0
2,RandUCB,200,0.1,0.1,0,0.1
3,RandUCB,200,0.1,0.1,0,0.2
4,RandUCB,200,0.1,0.1,0,0.3
5,RandUCB,200,0.1,0.1,0,0.4
6,RandUCB,200,0.1,0.1,0,0.5
7,RandUCB,200,0.1,0.1,0.1,0
8,RandUCB,200,0.1,0.1,0.1,0.1
9,RandUCB,200,0.1,0.1,0.1,0.2
10,RandUCB,200,0.1,0.1,0.1,0.3
11,RandUCB,200,0.1,0.1,0.1,0.4
12,RandUCB,200,0.1,0.1,0.1,0.5
13,RandUCB,200,0.1,0.1,0.2,0
14,RandUCB,200,0.1,0.1,0.2,0.1
15,RandUCB,200,0.1,0.1,0.2,0.2
16,RandUCB,200,0.1,0.1,0.2,0.3
17,RandUCB,200,0.1,0.1,0.2,0.4
18,RandUCB,200,0.1,0.1,0.2,0.5
19,RandUCB,200,0.1,0.1,0.3,0
20,RandUCB,200,0.1,0.1,0.3,0.1
21,RandUCB,200,0.1,0.1,0.3,0.2
22,RandUCB,200,0.1,0.1,0.3,0.3
23,RandUCB,200,0.1,0.1,0.3,0.4
24,RandUCB,200,0.1,0.1,0.3,0.5
25,RandUCB,200,0.1,0.1,0.4,0
26,RandUCB,200,0.1,0.1,0.4,0.1
27,RandUCB,200,0.1,0.1,0.4,0.2
28,RandUCB,200,0.1,0.1,0.4,0.3
29,RandUCB,200,0.1,0.1,0.4,0.4
30,RandUCB,200,0.1,0.1,0.4,0.5
31,RandUCB,200,0.1,0.1,0.5,0
32,RandUCB,200,0.1,0.1,0.5,0.1
33,RandUCB,200,0.1,0.1,0.5,0.2
34,RandUCB,200,0.1,0.1,0.5,0.3
35,RandUCB,200,0.1,0.1,0.5,0.4
36,RandUCB,200,0.1,0.1,0.5,0.5
37,RandUCB,200,0.3,0.3,0,0
38,RandUCB,200,0.3,0.3,0,0.1
39,RandUCB,200,0.3,0.3,0,0.2
40,RandUCB,200,0.3,0.3,0,0.3
41,RandUCB,200,0.3,0.3,0,0.4
42,RandUCB,200,0.3,0.3,0,0.5
43,RandUCB,200,0.3,0.3,0.1,0
44,RandUCB,200,0.3,0.3,0.1,0.1
45,RandUCB,200,0.3,0.3,0.1,0.2
46,RandUCB,200,0.3,0.3,0.1,0.3
47,RandUCB,200,0.3,0.3,0.1,0.4
48,RandUCB,200,0.3,0.3,0.1,0.5
49,RandUCB,200,0.3,0.3,0.2,0
50,RandUCB,200,0.3,0.3,0.2,0.1
51,RandUCB,200,0.3,0.3,0.2,0.2
52,RandUCB,200,0.3,0.3,0.2,0.3
53,RandUCB,200,0.3,0.3,0.2,0.4
54,RandUCB,200,0.3,0.3,0.2,0.5
55,RandUCB,200,0.3,0.3,0.3,0
56,RandUCB,200,0.3,0.3,0.3,0.1
57,RandUCB,200,0.3,0.3,0.3,0.2
58,RandUCB,200,0.3,0.3,0.3,0.3
59,RandUCB,200,0.3,0.3,0.3,0.4
60,RandUCB,200,0.3,0.3,0.3,0.5
61,RandUCB,200,0.3,0.3,0.4,0
62,RandUCB,200,0.3,0.3,0.4,0.1
63,RandUCB,200,0.3,0.3,0.4,0.2
64,RandUCB,200,0.3,0.3,0.4,0.3
65,RandUCB,200,0.3,0.3,0.4,0.4
66,RandUCB,200,0.3,0.3,0.4,0.5
67,RandUCB,200,0.3,0.3,0.5,0
68,RandUCB,200,0.3,0.3,0.5,0.1
69,RandUCB,200,0.3,0.3,0.5,0.2
70,RandUCB,200,0.3,0.3,0.5,0.3
71,RandUCB,200,0.3,0.3,0.5,0.4
72,RandUCB,200,0.3,0.3,0.5,0.5
73,RandUCB,200,0.5,0.5,0,0
74,RandUCB,200,0.5,0.5,0,0.1
75,RandUCB,200,0.5,0.5,0,0.2
76,RandUCB,200,0.5,0.5,0,0.3
77,RandUCB,200,0.5,0.5,0,0.4
78,RandUCB,200,0.5,0.5,0,0.5
79,RandUCB,200,0.5,0.5,0.1,0
80,RandUCB,200,0.5,0.5,0.1,0.1
81,RandUCB,200,0.5,0.5,0.1,0.2
82,RandUCB,200,0.5,0.5,0.1,0.3
83,RandUCB,200,0.5,0.5,0.1,0.4
84,RandUCB,200,0.5,0.5,0.1,0.5
85,RandUCB,200,0.5,0.5,0.2,0
86,RandUCB,200,0.5,0.5,0.2,0.1
87,RandUCB,200,0.5,0.5,0.2,0.2
88,RandUCB,200,0.5,0.5,0.2,0.3
89,RandUCB,200,0.5,0.5,0.2,0.4
90,RandUCB,200,0.5,0.5,0.2,0.5
91,RandUCB,200,0.5,0.5,0.3,0
92,RandUCB,200,0.5,0.5,0.3,0.1
93,RandUCB,200,0.5,0.5,0.3,0.2
94,RandUCB,200,0.5,0.5,0.3,0.3
95,RandUCB,200,0.5,0.5,0.3,0.4
96,RandUCB,200,0.5,0.5,0.3,0.5
97,RandUCB,200,0.5,0.5,0.4,0
98,RandUCB,200,0.5,0.5,0.4,0.1
99,RandUCB,200,0.5,0.5,0.4,0.2
100,RandUCB,200,0.5,0.5,0.4,0.3
101,RandUCB,200,0.5,0.5,0.4,0.4
102,RandUCB,200,0.5,0.5,0.4,0.5
103,RandUCB,200,0.5,0.5,0.5,0
104,RandUCB,200,0.5,0.5,0.5,0.1
105,RandUCB,200,0.5,0.5,0.5,0.2
106,RandUCB,200,0.5,0.5,0.5,0.3
107,RandUCB,200,0.5,0.5,0.5,0.4
108,RandUCB,200,0.5,0.5,0.5,0.5
109,RandUCB,200,0.7,0.7,0,0
110,RandUCB,200,0.7,0.7,0,0.1
111,RandUCB,200,0.7,0.7,0,0.2
112,RandUCB,200,0.7,0.7,0,0.3
113,RandUCB,200,0.7,0.7,0,0.4
114,RandUCB,200,0.7,0.7,0,0.5
115,RandUCB,200,0.7,0.7,0.1,0
116,RandUCB,200,0.7,0.7,0.1,0.1
117,RandUCB,200,0.7,0.7,0.1,0.2
118,RandUCB,200,0.7,0.7,0.1,0.3
119,RandUCB,200,0.7,0.7,0.1,0.4
120,RandUCB,200,0.7,0.7,0.1,0.5
121,RandUCB,200,0.7,0.7,0.2,0
122,RandUCB,200,0.7,0.7,0.2,0.1
123,RandUCB,200,0.7,0.7,0.2,0.2
124,RandUCB,200,0.7,0.7,0.2,0.3
125,RandUCB,200,0.7,0.7,0.2,0.4
126,RandUCB,200,0.7,0.7,0.2,0.5
127,RandUCB,200,0.7,0.7,0.3,0
128,RandUCB,200,0.7,0.7,0.3,0.1
129,RandUCB,200,0.7,0.7,0.3,0.2
130,RandUCB,200,0.7,0.7,0.3,0.3
131,RandUCB,200,0.7,0.7,0.3,0.4
132,RandUCB,200,0.7,0.7,0.3,0.5
133,RandUCB,200,0.7,0.7,0.4,0
134,RandUCB,200,0.7,0.7,0.4,0.1
135,RandUCB,200,0.7,0.7,0.4,0.2
136,RandUCB,200,0.7,0.7,0.4,0.3
137,RandUCB,200,0.7,0.7,0.4,0.4
138,RandUCB,200,0.7,0.7,0.4,0.5
139,RandUCB,200,0.7,0.7,0.5,0
140,RandUCB,200,0.7,0.7,0.5,0.1
141,RandUCB,200,0.7,0.7,0.5,0.2
142,RandUCB,200,0.7,0.7,0.5,0.3
143,RandUCB,200,0.7,0.7,0.5,0.4
144,RandUCB,200,0.7,0.7,0.5,0.5
145,RandUCB,200,0.9,0.9,0,0
146,RandUCB,200,0.9,0.9,0,0.1
147,RandUCB,200,0.9,0.9,0,0.2
148,RandUCB,200,0.9,0.9,0,0.3
149,RandUCB,200,0.9,0.9,0,0.4
150,RandUCB,200,0.9,0.9,0,0.5
151,RandUCB,200,0.9,0.9,0.1,0
152,RandUCB,200,0.9,0.9,0.1,0.1
153,RandUCB,200,0.9,0.9,0.1,0.2
154,RandUCB,200,0.9,0.9,0.1,0.3
155,RandUCB,200,0.9,0.9,0.1,0.4
156,RandUCB,200,0.9,0.9,0.1,0.5
157,RandUCB,200,0.9,0.9,0.2,0
158,RandUCB,200,0.9,0.9,0.2,0.1
159,RandUCB,200,0.9,0.9,0.2,0.2
160,RandUCB,200,0.9,0.9,0.2,0.3
161,RandUCB,200,0.9,0.9,0.2,0.4
162,RandUCB,200,0.9,0.9,0.2,0.5
163,RandUCB,200,0.9,0.9,0.3,0
164,RandUCB,200,0.9,0.9,0.3,0.1
165,RandUCB,200,0.9,0.9,0.3,0.2
166,RandUCB,200,0.9,0.9,0.3,0.3
167,RandUCB,200,0.9,0.9,0.3,0.4
168,RandUCB,200,0.9,0.9,0.3,0.5
169,RandUCB,200,0.9,0.9,0.4,0
170,RandUCB,200,0.9,0.9,0.4,0.1
171,RandUCB,200,0.9,0.9,0.4,0.2
172,RandUCB,200,0.9,0.9,0.4,0.3
173,RandUCB,200,0.9,0.9,0.4,0.4
