"","method","Nt","p0","p1","miss0","miss1","ONS","ONS_se","scenario"
"1","RPW",200,0.1,0.1,0,0,20.0006,4.27605286482876,1
"2","RPW",200,0.1,0.1,0,0.1,18.9786,4.17548626013197,1
"3","RPW",200,0.1,0.1,0,0.2,17.9338,3.99312059186874,1
"4","RPW",200,0.1,0.1,0,0.3,16.7774,3.92155416878434,1
"5","RPW",200,0.1,0.1,0,0.4,15.5847,3.82278527761211,1
"6","RPW",200,0.1,0.1,0,0.5,14.2369,3.66749552724257,1
"7","RPW",200,0.1,0.1,0.1,0,19.0055,4.14019128403349,1
"8","RPW",200,0.1,0.1,0.1,0.1,17.9972,4.04626116099027,1
"9","RPW",200,0.1,0.1,0.1,0.2,16.9784,3.94412082077931,1
"10","RPW",200,0.1,0.1,0.1,0.3,15.9261,3.83498494142416,1
"11","RPW",200,0.1,0.1,0.1,0.4,14.786,3.65731343941963,1
"12","RPW",200,0.1,0.1,0.1,0.5,13.4704,3.57804472867627,1
"13","RPW",200,0.1,0.1,0.2,0,17.917,4.06420506080557,1
"14","RPW",200,0.1,0.1,0.2,0.1,16.9404,3.96716796747607,1
"15","RPW",200,0.1,0.1,0.2,0.2,15.9876,3.84027616352017,1
"16","RPW",200,0.1,0.1,0.2,0.3,14.9428,3.71721803651509,1
"17","RPW",200,0.1,0.1,0.2,0.4,13.8513,3.62040039773282,1
"18","RPW",200,0.1,0.1,0.2,0.5,12.7267,3.49001792724812,1
"19","RPW",200,0.1,0.1,0.3,0,16.7541,3.89855781864352,1
"20","RPW",200,0.1,0.1,0.3,0.1,15.8826,3.80897204857251,1
"21","RPW",200,0.1,0.1,0.3,0.2,14.9873,3.71207713573764,1
"22","RPW",200,0.1,0.1,0.3,0.3,14.0294,3.64761101909382,1
"23","RPW",200,0.1,0.1,0.3,0.4,12.9802,3.45647257768205,1
"24","RPW",200,0.1,0.1,0.3,0.5,11.826,3.32102799185618,1
"25","RPW",200,0.1,0.1,0.4,0,15.5346,3.84404481087966,1
"26","RPW",200,0.1,0.1,0.4,0.1,14.6579,3.69635413527835,1
"27","RPW",200,0.1,0.1,0.4,0.2,13.8988,3.6140648453605,1
"28","RPW",200,0.1,0.1,0.4,0.3,12.9682,3.50608300269719,1
"29","RPW",200,0.1,0.1,0.4,0.4,11.9648,3.3645048594548,1
"30","RPW",200,0.1,0.1,0.4,0.5,10.9771,3.24308916817519,1
"31","RPW",200,0.1,0.1,0.5,0,14.2734,3.64669470592588,1
"32","RPW",200,0.1,0.1,0.5,0.1,13.4978,3.52758267712529,1
"33","RPW",200,0.1,0.1,0.5,0.2,12.7069,3.44687981920589,1
"34","RPW",200,0.1,0.1,0.5,0.3,11.8381,3.36805919963964,1
"35","RPW",200,0.1,0.1,0.5,0.4,10.9295,3.22530153737611,1
"36","RPW",200,0.1,0.1,0.5,0.5,9.9843,3.10541750361963,1
"37","RPW",200,0.3,0.3,0,0,60.0735,6.47206972448937,2
"38","RPW",200,0.3,0.3,0,0.1,56.904,6.35737568675647,2
"39","RPW",200,0.3,0.3,0,0.2,53.8386,6.27411240644036,2
"40","RPW",200,0.3,0.3,0,0.3,50.5299,6.19941523572397,2
"41","RPW",200,0.3,0.3,0,0.4,47.2433,6.24123388522182,2
"42","RPW",200,0.3,0.3,0,0.5,43.6185,6.11906055209491,2
"43","RPW",200,0.3,0.3,0.1,0,56.9937,6.40533864415572,2
"44","RPW",200,0.3,0.3,0.1,0.1,54.0311,6.34646047384324,2
"45","RPW",200,0.3,0.3,0.1,0.2,50.9573,6.14659700773343,2
"46","RPW",200,0.3,0.3,0.1,0.3,47.737,6.1444614443126,2
"47","RPW",200,0.3,0.3,0.1,0.4,44.4577,5.99162754767576,2
"48","RPW",200,0.3,0.3,0.1,0.5,41.0768,5.87502794506848,2
"49","RPW",200,0.3,0.3,0.2,0,53.9019,6.18786759397258,2
"50","RPW",200,0.3,0.3,0.2,0.1,50.9732,6.20769967971481,2
"51","RPW",200,0.3,0.3,0.2,0.2,47.8992,6.09660202207931,2
"52","RPW",200,0.3,0.3,0.2,0.3,44.986,5.946758814181,2
"53","RPW",200,0.3,0.3,0.2,0.4,41.8102,5.75046804601807,2
"54","RPW",200,0.3,0.3,0.2,0.5,38.4789,5.62806559150035,2
"55","RPW",200,0.3,0.3,0.3,0,50.6579,6.19193843639938,2
"56","RPW",200,0.3,0.3,0.3,0.1,47.831,6.05920047457081,2
"57","RPW",200,0.3,0.3,0.3,0.2,44.8981,5.89445424522787,2
"58","RPW",200,0.3,0.3,0.3,0.3,42.0189,5.81015650235501,2
"59","RPW",200,0.3,0.3,0.3,0.4,38.9217,5.61121356586685,2
"60","RPW",200,0.3,0.3,0.3,0.5,35.7041,5.4675892899215,2
"61","RPW",200,0.3,0.3,0.4,0,47.1971,6.17383699301509,2
"62","RPW",200,0.3,0.3,0.4,0.1,44.491,5.99135282143049,2
"63","RPW",200,0.3,0.3,0.4,0.2,41.8227,5.77459949346541,2
"64","RPW",200,0.3,0.3,0.4,0.3,38.8692,5.60471521517948,2
"65","RPW",200,0.3,0.3,0.4,0.4,36.045,5.38606312324659,2
"66","RPW",200,0.3,0.3,0.4,0.5,32.9264,5.21575530966945,2
"67","RPW",200,0.3,0.3,0.5,0,43.5035,6.1491925491808,2
"68","RPW",200,0.3,0.3,0.5,0.1,41.0843,5.91032035499514,2
