"","method","Nt","p0","p1","miss0","miss1","ONS","ONS_se","scenario"
"1","RandUCB",200,0.1,0.1,0,0,19.9569,4.23686647107852,1
"2","RandUCB",200,0.1,0.1,0,0.1,19.0114,4.17751304025734,1
"3","RandUCB",200,0.1,0.1,0,0.2,17.928,4.22790770007483,1
"4","RandUCB",200,0.1,0.1,0,0.3,16.7972,4.28260507525771,1
"5","RandUCB",200,0.1,0.1,0,0.4,15.6675,4.44158941389816,1
"6","RandUCB",200,0.1,0.1,0,0.5,14.3732,4.64597463058364,1
"7","RandUCB",200,0.1,0.1,0.1,0,18.9748,4.22222070417541,1
"8","RandUCB",200,0.1,0.1,0.1,0.1,17.9439,4.01499250391338,1
"9","RandUCB",200,0.1,0.1,0.1,0.2,17.0805,4.01450263085445,1
"10","RandUCB",200,0.1,0.1,0.1,0.3,15.9183,4.01393027762408,1
"11","RandUCB",200,0.1,0.1,0.1,0.4,14.8158,4.08807309060875,1
"12","RandUCB",200,0.1,0.1,0.1,0.5,13.5059,4.2136611971145,1
"13","RandUCB",200,0.1,0.1,0.2,0,17.9393,4.22563617815247,1
"14","RandUCB",200,0.1,0.1,0.2,0.1,16.9577,4.03436963153259,1
"15","RandUCB",200,0.1,0.1,0.2,0.2,16.067,3.85613770239056,1
"16","RandUCB",200,0.1,0.1,0.2,0.3,14.9831,3.75398769741767,1
"17","RandUCB",200,0.1,0.1,0.2,0.4,13.8853,3.7722628363743,1
"18","RandUCB",200,0.1,0.1,0.2,0.5,12.7902,3.88542064767265,1
"19","RandUCB",200,0.1,0.1,0.3,0,16.7937,4.35153236152385,1
"20","RandUCB",200,0.1,0.1,0.3,0.1,15.9978,3.99073774617875,1
"21","RandUCB",200,0.1,0.1,0.3,0.2,15.0633,3.75186630359825,1
"22","RandUCB",200,0.1,0.1,0.3,0.3,14.0323,3.61659573168866,1
"23","RandUCB",200,0.1,0.1,0.3,0.4,12.9381,3.51694544747684,1
"24","RandUCB",200,0.1,0.1,0.3,0.5,11.8943,3.57049049154805,1
"25","RandUCB",200,0.1,0.1,0.4,0,15.6556,4.48566614451811,1
