"","method","Nt","p0","p1","miss0","miss1","ONS","ONS_se","scenario"
"1","TS",200,0.1,0.1,0,0,20.067,4.35194789151369,1
"2","TS",200,0.1,0.1,0,0.1,18.765,3.98743961392203,1
"3","TS",200,0.1,0.1,0,0.2,17.946,4.08972001606587,1
"4","TS",200,0.1,0.1,0,0.3,17.199,4.06963892267618,1
"5","TS",200,0.1,0.1,0,0.4,15.597,3.85531509146197,1
"6","TS",200,0.1,0.1,0,0.5,14.712,3.77429480847764,1
"7","TS",200,0.1,0.1,0.1,0,19.131,4.04650629719184,1
"8","TS",200,0.1,0.1,0.1,0.1,17.914,4.0989517447032,1
"9","TS",200,0.1,0.1,0.1,0.2,16.875,4.00167319859935,1
"10","TS",200,0.1,0.1,0.1,0.3,15.822,3.83549566901424,1
"11","TS",200,0.1,0.1,0.1,0.4,15.047,3.73372893120694,1
"12","TS",200,0.1,0.1,0.1,0.5,13.891,3.76952627372835,1
"13","TS",200,0.1,0.1,0.2,0,17.882,4.09888727301409,1
"14","TS",200,0.1,0.1,0.2,0.1,16.924,3.90274973005642,1
"15","TS",200,0.1,0.1,0.2,0.2,16.117,3.7332624135263,1
"16","TS",200,0.1,0.1,0.2,0.3,14.806,3.74117098785398,1
"17","TS",200,0.1,0.1,0.2,0.4,13.905,3.58592161568457,1
"18","TS",200,0.1,0.1,0.2,0.5,12.881,3.31267457091891,1
"19","TS",200,0.1,0.1,0.3,0,17.038,4.04807892004874,1
"20","TS",200,0.1,0.1,0.3,0.1,15.967,3.94175702554691,1
"21","TS",200,0.1,0.1,0.3,0.2,15.131,3.6817651193951,1
"22","TS",200,0.1,0.1,0.3,0.3,13.847,3.71771602094786,1
"23","TS",200,0.1,0.1,0.3,0.4,13.015,3.4097509295257,1
"24","TS",200,0.1,0.1,0.3,0.5,11.983,3.37551553175291,1
"25","TS",200,0.1,0.1,0.4,0,15.899,3.87683231889501,1
"26","TS",200,0.1,0.1,0.4,0.1,14.841,3.65007425157928,1
"27","TS",200,0.1,0.1,0.4,0.2,14.06,3.44881056225103,1
"28","TS",200,0.1,0.1,0.4,0.3,13.038,3.55431979275771,1
"29","TS",200,0.1,0.1,0.4,0.4,11.881,3.37345805060908,1
"30","TS",200,0.1,0.1,0.4,0.5,10.816,3.11638506219239,1
"31","TS",200,0.1,0.1,0.5,0,15.013,3.80569498440355,1
"32","TS",200,0.1,0.1,0.5,0.1,13.747,3.54648679238603,1
"33","TS",200,0.1,0.1,0.5,0.2,12.909,3.47545648768587,1
"34","TS",200,0.1,0.1,0.5,0.3,12.04,3.50238014308365,1
"35","TS",200,0.1,0.1,0.5,0.4,11.053,3.19568512269332,1
"36","TS",200,0.1,0.1,0.5,0.5,9.904,3.06564547561883,1
"37","TS",200,0.3,0.3,0,0,59.655,6.61117861524575,2
"38","TS",200,0.3,0.3,0,0.1,56.918,6.34172638115943,2
"39","TS",200,0.3,0.3,0,0.2,54.206,6.43311347241357,2
"40","TS",200,0.3,0.3,0,0.3,51.076,6.14605548282783,2
"41","TS",200,0.3,0.3,0,0.4,47.983,6.47538737386742,2
"42","TS",200,0.3,0.3,0,0.5,45.007,6.56948316910159,2
"43","TS",200,0.3,0.3,0.1,0,56.756,6.3030303975304,2
"44","TS",200,0.3,0.3,0.1,0.1,53.761,6.28485309123279,2
"45","TS",200,0.3,0.3,0.1,0.2,51.018,6.19597176123859,2
"46","TS",200,0.3,0.3,0.1,0.3,48.103,6.00120033038436,2
"47","TS",200,0.3,0.3,0.1,0.4,45.06,6.0685440780493,2
"48","TS",200,0.3,0.3,0.1,0.5,41.859,6.35810856658995,2
"49","TS",200,0.3,0.3,0.2,0,54.118,6.14131840827292,2
"50","TS",200,0.3,0.3,0.2,0.1,51.377,6.14187215705387,2
"51","TS",200,0.3,0.3,0.2,0.2,47.863,6.00068656398909,2
"52","TS",200,0.3,0.3,0.2,0.3,44.862,5.97584024775317,2
"53","TS",200,0.3,0.3,0.2,0.4,42.256,6.04276252875942,2
"54","TS",200,0.3,0.3,0.2,0.5,38.916,5.53041856729936,2
"55","TS",200,0.3,0.3,0.3,0,50.892,6.3277465480514,2
"56","TS",200,0.3,0.3,0.3,0.1,48.248,6.013539611465,2
"57","TS",200,0.3,0.3,0.3,0.2,45.112,5.95524314540732,2
"58","TS",200,0.3,0.3,0.3,0.3,41.926,5.67174511880538,2
"59","TS",200,0.3,0.3,0.3,0.4,39.095,5.51746476358639,2
"60","TS",200,0.3,0.3,0.3,0.5,36.384,5.28398187586449,2
"61","TS",200,0.3,0.3,0.4,0,48.165,6.26330615601728,2
"62","TS",200,0.3,0.3,0.4,0.1,44.76,6.20313460106089,2
"63","TS",200,0.3,0.3,0.4,0.2,41.854,5.72043769369158,2
"64","TS",200,0.3,0.3,0.4,0.3,39.056,5.82123275181046,2
"65","TS",200,0.3,0.3,0.4,0.4,36.016,5.38337484527362,2
"66","TS",200,0.3,0.3,0.4,0.5,33.529,5.16253918249642,2
"67","TS",200,0.3,0.3,0.5,0,44.876,6.81799890797213,2
"68","TS",200,0.3,0.3,0.5,0.1,42.086,6.09850766956932,2
"69","TS",200,0.3,0.3,0.5,0.2,38.811,5.89831069621371,2
"70","TS",200,0.3,0.3,0.5,0.3,36.025,5.37114738433272,2
"71","TS",200,0.3,0.3,0.5,0.4,32.844,5.35502944346157,2
"72","TS",200,0.3,0.3,0.5,0.5,30.078,5.17113688241345,2
"73","TS",200,0.5,0.5,0,0,100.002,6.95689545662391,3
"74","TS",200,0.5,0.5,0,0.1,94.96,7.19528819243345,3
"75","TS",200,0.5,0.5,0,0.2,90.217,7.54220099147429,3
"76","TS",200,0.5,0.5,0,0.3,85.201,7.47987617193945,3
"77","TS",200,0.5,0.5,0,0.4,79.778,7.75479547459847,3
"78","TS",200,0.5,0.5,0,0.5,75.249,8.28043263148518,3
"79","TS",200,0.5,0.5,0.1,0,95.234,7.29866525568302,3
"80","TS",200,0.5,0.5,0.1,0.1,89.945,6.84067027196676,3
"81","TS",200,0.5,0.5,0.1,0.2,84.527,7.13401465972458,3
"82","TS",200,0.5,0.5,0.1,0.3,80.41,7.66763931681014,3
"83","TS",200,0.5,0.5,0.1,0.4,74.977,7.56159035181414,3
"84","TS",200,0.5,0.5,0.1,0.5,70.118,7.65340778024082,3
"85","TS",200,0.5,0.5,0.2,0,90.241,7.14254401001036,3
"86","TS",200,0.5,0.5,0.2,0.1,85.361,7.04644104008054,3
"87","TS",200,0.5,0.5,0.2,0.2,80.06,6.7717247622933,3
"88","TS",200,0.5,0.5,0.2,0.3,74.921,6.97792594188635,3
"89","TS",200,0.5,0.5,0.2,0.4,69.8,7.32759808489069,3
"90","TS",200,0.5,0.5,0.2,0.5,64.884,7.28681285896939,3
"91","TS",200,0.5,0.5,0.3,0,85.178,7.54196242348085,3
"92","TS",200,0.5,0.5,0.3,0.1,80.018,7.03812554670711,3
"93","TS",200,0.5,0.5,0.3,0.2,75.211,7.32339478050385,3
"94","TS",200,0.5,0.5,0.3,0.3,70.03,6.63438882754961,3
"95","TS",200,0.5,0.5,0.3,0.4,64.96,6.58526884536735,3
"96","TS",200,0.5,0.5,0.3,0.5,59.901,6.84602564025779,3
