"","method","Nt","p0","p1","miss0","miss1","ENS","ENS_se","scenario"
"1","CB",200,0.1,0.1,0,0,19.9493,4.19152554550725,1
"2","CB",200,0.1,0.1,0,0.1,18.9902,4.21467440118816,1
"3","CB",200,0.1,0.1,0,0.2,17.9368,4.31509765437315,1
"4","CB",200,0.1,0.1,0,0.3,16.7907,4.54012717723618,1
"5","CB",200,0.1,0.1,0,0.4,15.6862,4.89619513833786,1
"6","CB",200,0.1,0.1,0,0.5,14.3457,5.19531429646599,1
"7","CB",200,0.1,0.1,0.1,0,19.0708,4.18797579674566,1
"8","CB",200,0.1,0.1,0.1,0.1,17.9754,4.0393349035016,1
"9","CB",200,0.1,0.1,0.1,0.2,16.9861,3.99683678180959,1
"10","CB",200,0.1,0.1,0.1,0.3,15.8878,4.13055895875258,1
"11","CB",200,0.1,0.1,0.1,0.4,14.8096,4.33188462016664,1
"12","CB",200,0.1,0.1,0.1,0.5,13.6809,4.64332114257923,1
"13","CB",200,0.1,0.1,0.2,0,17.9316,4.33967795123924,1
"14","CB",200,0.1,0.1,0.2,0.1,17.0278,4.05646060590569,1
"15","CB",200,0.1,0.1,0.2,0.2,16.0119,3.89629009413439,1
"16","CB",200,0.1,0.1,0.2,0.3,14.9652,3.80933590852873,1
"17","CB",200,0.1,0.1,0.2,0.4,13.935,3.85822026151419,1
"18","CB",200,0.1,0.1,0.2,0.5,12.7593,4.08894062729521,1
"19","CB",200,0.1,0.1,0.3,0,16.8921,4.59205469116262,1
"20","CB",200,0.1,0.1,0.3,0.1,15.9668,4.14396126930503,1
"21","CB",200,0.1,0.1,0.3,0.2,15.0144,3.78658506607818,1
"22","CB",200,0.1,0.1,0.3,0.3,14.0265,3.62925817509448,1
"23","CB",200,0.1,0.1,0.3,0.4,12.9437,3.60932584194103,1
"24","CB",200,0.1,0.1,0.3,0.5,11.8266,3.65757709789181,1
"25","CB",200,0.1,0.1,0.4,0,15.6523,4.84154404760263,1
"26","CB",200,0.1,0.1,0.4,0.1,14.7447,4.36710763239324,1
"27","CB",200,0.1,0.1,0.4,0.2,13.9607,3.93076336098473,1
"28","CB",200,0.1,0.1,0.4,0.3,12.9754,3.51807227373917,1
