"","method","Nt","p0","p1","miss0","miss1","PES","PES_se","scenario"
"1","TS",200,0.1,0.1,0,0,0.433543726235741,0.0213739678306518,1
"2","TS",200,0.1,0.1,0,0.1,0.433543726235741,0.0213739678306518,1
"3","TS",200,0.1,0.1,0,0.2,0.433543726235741,0.0213739678306518,1
"4","TS",200,0.1,0.1,0,0.3,0.433543726235741,0.0213739678306518,1
"5","TS",200,0.1,0.1,0,0.4,0.433543726235741,0.0213739678306518,1
"6","TS",200,0.1,0.1,0,0.5,0.433543726235741,0.0213739678306518,1
"7","TS",200,0.1,0.1,0.1,0,0.433543726235741,0.0213739678306518,1
"8","TS",200,0.1,0.1,0.1,0.1,0.433543726235741,0.0213739678306518,1
"9","TS",200,0.1,0.1,0.1,0.2,0.433543726235741,0.0213739678306518,1
"10","TS",200,0.1,0.1,0.1,0.3,0.433543726235741,0.0213739678306518,1
"11","TS",200,0.1,0.1,0.1,0.4,0.433543726235741,0.0213739678306518,1
"12","TS",200,0.1,0.1,0.1,0.5,0.433543726235741,0.0213739678306518,1
"13","TS",200,0.1,0.1,0.2,0,0.433543726235741,0.0213739678306518,1
"14","TS",200,0.1,0.1,0.2,0.1,0.433543726235741,0.0213739678306518,1
"15","TS",200,0.1,0.1,0.2,0.2,0.433543726235741,0.0213739678306518,1
"16","TS",200,0.1,0.1,0.2,0.3,0.433543726235741,0.0213739678306518,1
"17","TS",200,0.1,0.1,0.2,0.4,0.433543726235741,0.0213739678306518,1
"18","TS",200,0.1,0.1,0.2,0.5,0.433543726235741,0.0213739678306518,1
"19","TS",200,0.1,0.1,0.3,0,0.433543726235741,0.0213739678306518,1
"20","TS",200,0.1,0.1,0.3,0.1,0.433543726235741,0.0213739678306518,1
"21","TS",200,0.1,0.1,0.3,0.2,0.433543726235741,0.0213739678306518,1
"22","TS",200,0.1,0.1,0.3,0.3,0.433543726235741,0.0213739678306518,1
"23","TS",200,0.1,0.1,0.3,0.4,0.433543726235741,0.0213739678306518,1
"24","TS",200,0.1,0.1,0.3,0.5,0.433543726235741,0.0213739678306518,1
"25","TS",200,0.1,0.1,0.4,0,0.433543726235741,0.0213739678306518,1
"26","TS",200,0.1,0.1,0.4,0.1,0.433543726235741,0.0213739678306518,1
"27","TS",200,0.1,0.1,0.4,0.2,0.433543726235741,0.0213739678306518,1
"28","TS",200,0.1,0.1,0.4,0.3,0.433543726235741,0.0213739678306518,1
"29","TS",200,0.1,0.1,0.4,0.4,0.433543726235741,0.0213739678306518,1
"30","TS",200,0.1,0.1,0.4,0.5,0.433543726235741,0.0213739678306518,1
"31","TS",200,0.1,0.1,0.5,0,0.433543726235741,0.0213739678306518,1
"32","TS",200,0.1,0.1,0.5,0.1,0.433543726235741,0.0213739678306518,1
"33","TS",200,0.1,0.1,0.5,0.2,0.433543726235741,0.0213739678306518,1
"34","TS",200,0.1,0.1,0.5,0.3,0.433543726235741,0.0213739678306518,1
"35","TS",200,0.1,0.1,0.5,0.4,0.433543726235741,0.0213739678306518,1
"36","TS",200,0.1,0.1,0.5,0.5,0.433543726235741,0.0213739678306518,1
"37","TS",200,0.3,0.3,0,0,0.433543726235741,0.0213739678306518,2
"38","TS",200,0.3,0.3,0,0.1,0.433543726235741,0.0213739678306518,2
"39","TS",200,0.3,0.3,0,0.2,0.433543726235741,0.0213739678306518,2
"40","TS",200,0.3,0.3,0,0.3,0.433543726235741,0.0213739678306518,2
"41","TS",200,0.3,0.3,0,0.4,0.433543726235741,0.0213739678306518,2
"42","TS",200,0.3,0.3,0,0.5,0.433543726235741,0.0213739678306518,2
"43","TS",200,0.3,0.3,0.1,0,0.433543726235741,0.0213739678306518,2
"44","TS",200,0.3,0.3,0.1,0.1,0.433543726235741,0.0213739678306518,2
"45","TS",200,0.3,0.3,0.1,0.2,0.433543726235741,0.0213739678306518,2
"46","TS",200,0.3,0.3,0.1,0.3,0.433543726235741,0.0213739678306518,2
"47","TS",200,0.3,0.3,0.1,0.4,0.433543726235741,0.0213739678306518,2
"48","TS",200,0.3,0.3,0.1,0.5,0.433543726235741,0.0213739678306518,2
"49","TS",200,0.3,0.3,0.2,0,0.433543726235741,0.0213739678306518,2
"50","TS",200,0.3,0.3,0.2,0.1,0.433543726235741,0.0213739678306518,2
"51","TS",200,0.3,0.3,0.2,0.2,0.433543726235741,0.0213739678306518,2
"52","TS",200,0.3,0.3,0.2,0.3,0.433543726235741,0.0213739678306518,2
"53","TS",200,0.3,0.3,0.2,0.4,0.433543726235741,0.0213739678306518,2
"54","TS",200,0.3,0.3,0.2,0.5,0.433543726235741,0.0213739678306518,2
"55","TS",200,0.3,0.3,0.3,0,0.433543726235741,0.0213739678306518,2
"56","TS",200,0.3,0.3,0.3,0.1,0.433543726235741,0.0213739678306518,2
"57","TS",200,0.3,0.3,0.3,0.2,0.433543726235741,0.0213739678306518,2
"58","TS",200,0.3,0.3,0.3,0.3,0.433543726235741,0.0213739678306518,2
"59","TS",200,0.3,0.3,0.3,0.4,0.433543726235741,0.0213739678306518,2
"60","TS",200,0.3,0.3,0.3,0.5,0.433543726235741,0.0213739678306518,2
"61","TS",200,0.3,0.3,0.4,0,0.433543726235741,0.0213739678306518,2
"62","TS",200,0.3,0.3,0.4,0.1,0.433543726235741,0.0213739678306518,2
"63","TS",200,0.3,0.3,0.4,0.2,0.433543726235741,0.0213739678306518,2
"64","TS",200,0.3,0.3,0.4,0.3,0.433543726235741,0.0213739678306518,2
"65","TS",200,0.3,0.3,0.4,0.4,0.433543726235741,0.0213739678306518,2
"66","TS",200,0.3,0.3,0.4,0.5,0.433543726235741,0.0213739678306518,2
"67","TS",200,0.3,0.3,0.5,0,0.433543726235741,0.0213739678306518,2
"68","TS",200,0.3,0.3,0.5,0.1,0.433543726235741,0.0213739678306518,2
"69","TS",200,0.3,0.3,0.5,0.2,0.433543726235741,0.0213739678306518,2
"70","TS",200,0.3,0.3,0.5,0.3,0.433543726235741,0.0213739678306518,2
"71","TS",200,0.3,0.3,0.5,0.4,0.433543726235741,0.0213739678306518,2
"72","TS",200,0.3,0.3,0.5,0.5,0.433543726235741,0.0213739678306518,2
"73","TS",200,0.5,0.5,0,0,0.433543726235741,0.0213739678306518,3
"74","TS",200,0.5,0.5,0,0.1,0.433543726235741,0.0213739678306518,3
"75","TS",200,0.5,0.5,0,0.2,0.433543726235741,0.0213739678306518,3
"76","TS",200,0.5,0.5,0,0.3,0.433543726235741,0.0213739678306518,3
"77","TS",200,0.5,0.5,0,0.4,0.433543726235741,0.0213739678306518,3
"78","TS",200,0.5,0.5,0,0.5,0.433543726235741,0.0213739678306518,3
"79","TS",200,0.5,0.5,0.1,0,0.433543726235741,0.0213739678306518,3
"80","TS",200,0.5,0.5,0.1,0.1,0.433543726235741,0.0213739678306518,3
"81","TS",200,0.5,0.5,0.1,0.2,0.433543726235741,0.0213739678306518,3
"82","TS",200,0.5,0.5,0.1,0.3,0.433543726235741,0.0213739678306518,3
"83","TS",200,0.5,0.5,0.1,0.4,0.433543726235741,0.0213739678306518,3
"84","TS",200,0.5,0.5,0.1,0.5,0.433543726235741,0.0213739678306518,3
"85","TS",200,0.5,0.5,0.2,0,0.433543726235741,0.0213739678306518,3
"86","TS",200,0.5,0.5,0.2,0.1,0.433543726235741,0.0213739678306518,3
"87","TS",200,0.5,0.5,0.2,0.2,0.433543726235741,0.0213739678306518,3
"88","TS",200,0.5,0.5,0.2,0.3,0.433543726235741,0.0213739678306518,3
"89","TS",200,0.5,0.5,0.2,0.4,0.433543726235741,0.0213739678306518,3
"90","TS",200,0.5,0.5,0.2,0.5,0.433543726235741,0.0213739678306518,3
"91","TS",200,0.5,0.5,0.3,0,0.433543726235741,0.0213739678306518,3
"92","TS",200,0.5,0.5,0.3,0.1,0.433543726235741,0.0213739678306518,3
"93","TS",200,0.5,0.5,0.3,0.2,0.433543726235741,0.0213739678306518,3
"94","TS",200,0.5,0.5,0.3,0.3,0.433543726235741,0.0213739678306518,3
"95","TS",200,0.5,0.5,0.3,0.4,0.433543726235741,0.0213739678306518,3
"96","TS",200,0.5,0.5,0.3,0.5,0.433543726235741,0.0213739678306518,3
"97","TS",200,0.5,0.5,0.4,0,0.433543726235741,0.0213739678306518,3
"98","TS",200,0.5,0.5,0.4,0.1,0.433543726235741,0.0213739678306518,3
"99","TS",200,0.5,0.5,0.4,0.2,0.433543726235741,0.0213739678306518,3
"100","TS",200,0.5,0.5,0.4,0.3,0.433543726235741,0.0213739678306518,3
"101","TS",200,0.5,0.5,0.4,0.4,0.433543726235741,0.0213739678306518,3
