"","method","Nt","p0","p1","miss0","miss1","PES","PES_se","scenario"
"1","CB",200,0.1,0.1,0,0,0.436405703422053,0.0217558000177206,1
"2","CB",200,0.1,0.1,0,0.1,0.436405703422053,0.0217558000177206,1
"3","CB",200,0.1,0.1,0,0.2,0.436405703422053,0.0217558000177206,1
"4","CB",200,0.1,0.1,0,0.3,0.436405703422053,0.0217558000177206,1
"5","CB",200,0.1,0.1,0,0.4,0.436405703422053,0.0217558000177206,1
"6","CB",200,0.1,0.1,0,0.5,0.436405703422053,0.0217558000177206,1
"7","CB",200,0.1,0.1,0.1,0,0.436405703422053,0.0217558000177206,1
"8","CB",200,0.1,0.1,0.1,0.1,0.436405703422053,0.0217558000177206,1
"9","CB",200,0.1,0.1,0.1,0.2,0.436405703422053,0.0217558000177206,1
"10","CB",200,0.1,0.1,0.1,0.3,0.436405703422053,0.0217558000177206,1
"11","CB",200,0.1,0.1,0.1,0.4,0.436405703422053,0.0217558000177206,1
"12","CB",200,0.1,0.1,0.1,0.5,0.436405703422053,0.0217558000177206,1
"13","CB",200,0.1,0.1,0.2,0,0.436405703422053,0.0217558000177206,1
"14","CB",200,0.1,0.1,0.2,0.1,0.436405703422053,0.0217558000177206,1
"15","CB",200,0.1,0.1,0.2,0.2,0.436405703422053,0.0217558000177206,1
"16","CB",200,0.1,0.1,0.2,0.3,0.436405703422053,0.0217558000177206,1
"17","CB",200,0.1,0.1,0.2,0.4,0.436405703422053,0.0217558000177206,1
"18","CB",200,0.1,0.1,0.2,0.5,0.436405703422053,0.0217558000177206,1
"19","CB",200,0.1,0.1,0.3,0,0.436405703422053,0.0217558000177206,1
"20","CB",200,0.1,0.1,0.3,0.1,0.436405703422053,0.0217558000177206,1
"21","CB",200,0.1,0.1,0.3,0.2,0.436405703422053,0.0217558000177206,1
"22","CB",200,0.1,0.1,0.3,0.3,0.436405703422053,0.0217558000177206,1
"23","CB",200,0.1,0.1,0.3,0.4,0.436405703422053,0.0217558000177206,1
"24","CB",200,0.1,0.1,0.3,0.5,0.436405703422053,0.0217558000177206,1
"25","CB",200,0.1,0.1,0.4,0,0.436405703422053,0.0217558000177206,1
"26","CB",200,0.1,0.1,0.4,0.1,0.436405703422053,0.0217558000177206,1
"27","CB",200,0.1,0.1,0.4,0.2,0.436405703422053,0.0217558000177206,1
"28","CB",200,0.1,0.1,0.4,0.3,0.436405703422053,0.0217558000177206,1
"29","CB",200,0.1,0.1,0.4,0.4,0.436405703422053,0.0217558000177206,1
"30","CB",200,0.1,0.1,0.4,0.5,0.436405703422053,0.0217558000177206,1
"31","CB",200,0.1,0.1,0.5,0,0.436405703422053,0.0217558000177206,1
"32","CB",200,0.1,0.1,0.5,0.1,0.436405703422053,0.0217558000177206,1
"33","CB",200,0.1,0.1,0.5,0.2,0.436405703422053,0.0217558000177206,1
"34","CB",200,0.1,0.1,0.5,0.3,0.436405703422053,0.0217558000177206,1
"35","CB",200,0.1,0.1,0.5,0.4,0.436405703422053,0.0217558000177206,1
"36","CB",200,0.1,0.1,0.5,0.5,0.436405703422053,0.0217558000177206,1
"37","CB",200,0.3,0.3,0,0,0.436405703422053,0.0217558000177206,2
"38","CB",200,0.3,0.3,0,0.1,0.436405703422053,0.0217558000177206,2
"39","CB",200,0.3,0.3,0,0.2,0.436405703422053,0.0217558000177206,2
"40","CB",200,0.3,0.3,0,0.3,0.436405703422053,0.0217558000177206,2
"41","CB",200,0.3,0.3,0,0.4,0.436405703422053,0.0217558000177206,2
"42","CB",200,0.3,0.3,0,0.5,0.436405703422053,0.0217558000177206,2
"43","CB",200,0.3,0.3,0.1,0,0.436405703422053,0.0217558000177206,2
"44","CB",200,0.3,0.3,0.1,0.1,0.436405703422053,0.0217558000177206,2
"45","CB",200,0.3,0.3,0.1,0.2,0.436405703422053,0.0217558000177206,2
"46","CB",200,0.3,0.3,0.1,0.3,0.436405703422053,0.0217558000177206,2
"47","CB",200,0.3,0.3,0.1,0.4,0.436405703422053,0.0217558000177206,2
"48","CB",200,0.3,0.3,0.1,0.5,0.436405703422053,0.0217558000177206,2
"49","CB",200,0.3,0.3,0.2,0,0.436405703422053,0.0217558000177206,2
"50","CB",200,0.3,0.3,0.2,0.1,0.436405703422053,0.0217558000177206,2
"51","CB",200,0.3,0.3,0.2,0.2,0.436405703422053,0.0217558000177206,2
"52","CB",200,0.3,0.3,0.2,0.3,0.436405703422053,0.0217558000177206,2
"53","CB",200,0.3,0.3,0.2,0.4,0.436405703422053,0.0217558000177206,2
"54","CB",200,0.3,0.3,0.2,0.5,0.436405703422053,0.0217558000177206,2
"55","CB",200,0.3,0.3,0.3,0,0.436405703422053,0.0217558000177206,2
"56","CB",200,0.3,0.3,0.3,0.1,0.436405703422053,0.0217558000177206,2
"57","CB",200,0.3,0.3,0.3,0.2,0.436405703422053,0.0217558000177206,2
"58","CB",200,0.3,0.3,0.3,0.3,0.436405703422053,0.0217558000177206,2
"59","CB",200,0.3,0.3,0.3,0.4,0.436405703422053,0.0217558000177206,2
"60","CB",200,0.3,0.3,0.3,0.5,0.436405703422053,0.0217558000177206,2
"61","CB",200,0.3,0.3,0.4,0,0.436405703422053,0.0217558000177206,2
"62","CB",200,0.3,0.3,0.4,0.1,0.436405703422053,0.0217558000177206,2
"63","CB",200,0.3,0.3,0.4,0.2,0.436405703422053,0.0217558000177206,2
"64","CB",200,0.3,0.3,0.4,0.3,0.436405703422053,0.0217558000177206,2
"65","CB",200,0.3,0.3,0.4,0.4,0.436405703422053,0.0217558000177206,2
"66","CB",200,0.3,0.3,0.4,0.5,0.436405703422053,0.0217558000177206,2
"67","CB",200,0.3,0.3,0.5,0,0.436405703422053,0.0217558000177206,2
"68","CB",200,0.3,0.3,0.5,0.1,0.436405703422053,0.0217558000177206,2
"69","CB",200,0.3,0.3,0.5,0.2,0.436405703422053,0.0217558000177206,2
"70","CB",200,0.3,0.3,0.5,0.3,0.436405703422053,0.0217558000177206,2
"71","CB",200,0.3,0.3,0.5,0.4,0.436405703422053,0.0217558000177206,2
"72","CB",200,0.3,0.3,0.5,0.5,0.436405703422053,0.0217558000177206,2
"73","CB",200,0.5,0.5,0,0,0.436405703422053,0.0217558000177206,3
"74","CB",200,0.5,0.5,0,0.1,0.436405703422053,0.0217558000177206,3
"75","CB",200,0.5,0.5,0,0.2,0.436405703422053,0.0217558000177206,3
"76","CB",200,0.5,0.5,0,0.3,0.436405703422053,0.0217558000177206,3
"77","CB",200,0.5,0.5,0,0.4,0.436405703422053,0.0217558000177206,3
"78","CB",200,0.5,0.5,0,0.5,0.436405703422053,0.0217558000177206,3
"79","CB",200,0.5,0.5,0.1,0,0.436405703422053,0.0217558000177206,3
"80","CB",200,0.5,0.5,0.1,0.1,0.436405703422053,0.0217558000177206,3
"81","CB",200,0.5,0.5,0.1,0.2,0.436405703422053,0.0217558000177206,3
"82","CB",200,0.5,0.5,0.1,0.3,0.436405703422053,0.0217558000177206,3
"83","CB",200,0.5,0.5,0.1,0.4,0.436405703422053,0.0217558000177206,3
"84","CB",200,0.5,0.5,0.1,0.5,0.436405703422053,0.0217558000177206,3
"85","CB",200,0.5,0.5,0.2,0,0.436405703422053,0.0217558000177206,3
"86","CB",200,0.5,0.5,0.2,0.1,0.436405703422053,0.0217558000177206,3
"87","CB",200,0.5,0.5,0.2,0.2,0.436405703422053,0.0217558000177206,3
"88","CB",200,0.5,0.5,0.2,0.3,0.436405703422053,0.0217558000177206,3
"89","CB",200,0.5,0.5,0.2,0.4,0.436405703422053,0.0217558000177206,3
"90","CB",200,0.5,0.5,0.2,0.5,0.436405703422053,0.0217558000177206,3
"91","CB",200,0.5,0.5,0.3,0,0.436405703422053,0.0217558000177206,3
"92","CB",200,0.5,0.5,0.3,0.1,0.436405703422053,0.0217558000177206,3
"93","CB",200,0.5,0.5,0.3,0.2,0.436405703422053,0.0217558000177206,3
"94","CB",200,0.5,0.5,0.3,0.3,0.436405703422053,0.0217558000177206,3
"95","CB",200,0.5,0.5,0.3,0.4,0.436405703422053,0.0217558000177206,3
"96","CB",200,0.5,0.5,0.3,0.5,0.436405703422053,0.0217558000177206,3
"97","CB",200,0.5,0.5,0.4,0,0.436405703422053,0.0217558000177206,3
"98","CB",200,0.5,0.5,0.4,0.1,0.436405703422053,0.0217558000177206,3
"99","CB",200,0.5,0.5,0.4,0.2,0.436405703422053,0.0217558000177206,3
"100","CB",200,0.5,0.5,0.4,0.3,0.436405703422053,0.0217558000177206,3
"101","CB",200,0.5,0.5,0.4,0.4,0.436405703422053,0.0217558000177206,3
"102","CB",200,0.5,0.5,0.4,0.5,0.436405703422053,0.0217558000177206,3
"103","CB",200,0.5,0.5,0.5,0,0.436405703422053,0.0217558000177206,3
"104","CB",200,0.5,0.5,0.5,0.1,0.436405703422053,0.0217558000177206,3
"105","CB",200,0.5,0.5,0.5,0.2,0.436405703422053,0.0217558000177206,3
"106","CB",200,0.5,0.5,0.5,0.3,0.436405703422053,0.0217558000177206,3
"107","CB",200,0.5,0.5,0.5,0.4,0.436405703422053,0.0217558000177206,3
"108","CB",200,0.5,0.5,0.5,0.5,0.436405703422053,0.0217558000177206,3
"109","CB",200,0.7,0.7,0,0,0.436405703422053,0.0217558000177206,4
"110","CB",200,0.7,0.7,0,0.1,0.436405703422053,0.0217558000177206,4
