"","method","Nt","p0","p1","miss0","miss1","POS","POS_se","scenario"
"1","RandUCB",200,0.1,0.1,0,0,0.865368657905066,0.0497738959034686,1
"2","RandUCB",200,0.1,0.1,0,0.1,0.865368657905066,0.0497738959034686,1
"3","RandUCB",200,0.1,0.1,0,0.2,0.865368657905066,0.0497738959034686,1
"4","RandUCB",200,0.1,0.1,0,0.3,0.865368657905066,0.0497738959034686,1
"5","RandUCB",200,0.1,0.1,0,0.4,0.865368657905066,0.0497738959034686,1
"6","RandUCB",200,0.1,0.1,0,0.5,0.865368657905066,0.0497738959034686,1
"7","RandUCB",200,0.1,0.1,0.1,0,0.865368657905066,0.0497738959034686,1
"8","RandUCB",200,0.1,0.1,0.1,0.1,0.865368657905066,0.0497738959034686,1
"9","RandUCB",200,0.1,0.1,0.1,0.2,0.865368657905066,0.0497738959034686,1
"10","RandUCB",200,0.1,0.1,0.1,0.3,0.865368657905066,0.0497738959034686,1
"11","RandUCB",200,0.1,0.1,0.1,0.4,0.865368657905066,0.0497738959034686,1
"12","RandUCB",200,0.1,0.1,0.1,0.5,0.865368657905066,0.0497738959034686,1
"13","RandUCB",200,0.1,0.1,0.2,0,0.865368657905066,0.0497738959034686,1
"14","RandUCB",200,0.1,0.1,0.2,0.1,0.865368657905066,0.0497738959034686,1
"15","RandUCB",200,0.1,0.1,0.2,0.2,0.865368657905066,0.0497738959034686,1
"16","RandUCB",200,0.1,0.1,0.2,0.3,0.865368657905066,0.0497738959034686,1
"17","RandUCB",200,0.1,0.1,0.2,0.4,0.865368657905066,0.0497738959034686,1
"18","RandUCB",200,0.1,0.1,0.2,0.5,0.865368657905066,0.0497738959034686,1
"19","RandUCB",200,0.1,0.1,0.3,0,0.865368657905066,0.0497738959034686,1
"20","RandUCB",200,0.1,0.1,0.3,0.1,0.865368657905066,0.0497738959034686,1
"21","RandUCB",200,0.1,0.1,0.3,0.2,0.865368657905066,0.0497738959034686,1
"22","RandUCB",200,0.1,0.1,0.3,0.3,0.865368657905066,0.0497738959034686,1
"23","RandUCB",200,0.1,0.1,0.3,0.4,0.865368657905066,0.0497738959034686,1
"24","RandUCB",200,0.1,0.1,0.3,0.5,0.865368657905066,0.0497738959034686,1
"25","RandUCB",200,0.1,0.1,0.4,0,0.865368657905066,0.0497738959034686,1
"26","RandUCB",200,0.1,0.1,0.4,0.1,0.865368657905066,0.0497738959034686,1
"27","RandUCB",200,0.1,0.1,0.4,0.2,0.865368657905066,0.0497738959034686,1
"28","RandUCB",200,0.1,0.1,0.4,0.3,0.865368657905066,0.0497738959034686,1
