"","method","Nt","p0","p1","miss0","miss1","bias0","bias1","scenario"
"1","RPW",200,0.1,0.1,0,0,-0.000288632226024738,-0.000729817037903938,1
"2","RPW",200,0.1,0.1,0,0.1,-0.00035453951268978,-0.00059333547227261,1
"3","RPW",200,0.1,0.1,0,0.2,-0.000412459131735557,-0.000296716303613137,1
"4","RPW",200,0.1,0.1,0,0.3,-0.00067512428075607,-0.000212182644945949,1
"5","RPW",200,0.1,0.1,0,0.4,-0.000527122573132172,-0.000233362418812624,1
"6","RPW",200,0.1,0.1,0,0.5,-0.000829534664522069,-0.000718374557689652,1
"7","RPW",200,0.1,0.1,0.1,0,-0.000390744970113224,-0.00031142276910491,1
"8","RPW",200,0.1,0.1,0.1,0.1,-0.000747562874088434,-0.000330290767287925,1
"9","RPW",200,0.1,0.1,0.1,0.2,-0.000600141227248607,-0.000510033435022955,1
"10","RPW",200,0.1,0.1,0.1,0.3,-0.000257558030231364,-0.000540831710667544,1
"11","RPW",200,0.1,0.1,0.1,0.4,-0.000661053812751167,5.24723563467694e-05,1
"12","RPW",200,0.1,0.1,0.1,0.5,-0.000788146309481014,-0.00102030487186879,1
"13","RPW",200,0.1,0.1,0.2,0,-0.000429664450487019,-0.000540037041867669,1
"14","RPW",200,0.1,0.1,0.2,0.1,-0.000998319752456289,-0.000532038637819476,1
"15","RPW",200,0.1,0.1,0.2,0.2,-0.000653620446812178,-0.000695827320592382,1
"16","RPW",200,0.1,0.1,0.2,0.3,-0.000885480623725676,-0.00082809719199145,1
"17","RPW",200,0.1,0.1,0.2,0.4,-0.000680523224868196,-0.00113835823754502,1
"18","RPW",200,0.1,0.1,0.2,0.5,-0.00107752575162445,3.03572228225885e-05,1
"19","RPW",200,0.1,0.1,0.3,0,-0.000629796372378075,-0.000731255531357652,1
"20","RPW",200,0.1,0.1,0.3,0.1,-0.000729176478692931,-0.000644226897431391,1
"21","RPW",200,0.1,0.1,0.3,0.2,-0.00024860106699752,-0.0008943852518907,1
"22","RPW",200,0.1,0.1,0.3,0.3,-0.000603584145721203,-0.000441028797127971,1
"23","RPW",200,0.1,0.1,0.3,0.4,-0.000456115770400681,-0.000907961333402263,1
"24","RPW",200,0.1,0.1,0.3,0.5,-0.00163143698549126,-0.000340090007744251,1
"25","RPW",200,0.1,0.1,0.4,0,-0.000760497825175996,-0.000996991506726164,1
"26","RPW",200,0.1,0.1,0.4,0.1,-0.00159821491202673,-0.000959651910535708,1
"27","RPW",200,0.1,0.1,0.4,0.2,0.000167678283562109,-0.00106249318999929,1
"28","RPW",200,0.1,0.1,0.4,0.3,-0.00106287307257151,-0.000431386758028965,1
"29","RPW",200,0.1,0.1,0.4,0.4,-0.000978859306919461,-0.00127610162776717,1
"30","RPW",200,0.1,0.1,0.4,0.5,-0.000946061690073136,-0.000663633013683509,1
