"","method","Nt","p0","p1","miss0","miss1","bias0","bias1","scenario"
"1","RandUCB",200,0.1,0.1,0,0,-0.0193840132503732,-0.018669814850784,1
"2","RandUCB",200,0.1,0.1,0,0.1,-0.0186435323128172,-0.0184926058580865,1
"3","RandUCB",200,0.1,0.1,0,0.2,-0.0193778935313499,-0.0181325020704623,1
"4","RandUCB",200,0.1,0.1,0,0.3,-0.019320118990943,-0.0179157685671627,1
"5","RandUCB",200,0.1,0.1,0,0.4,-0.0194115327471054,-0.0184967872390135,1
"6","RandUCB",200,0.1,0.1,0,0.5,-0.0197142493621733,-0.0178527603472618,1
"7","RandUCB",200,0.1,0.1,0.1,0,-0.0187604092257289,-0.0191817515462547,1
"8","RandUCB",200,0.1,0.1,0.1,0.1,-0.0188364773545469,-0.0193349361720539,1
"9","RandUCB",200,0.1,0.1,0.1,0.2,-0.0186382380224837,-0.0183822844580827,1
"10","RandUCB",200,0.1,0.1,0.1,0.3,-0.0190849758300821,-0.0188543116811408,1
"11","RandUCB",200,0.1,0.1,0.1,0.4,-0.0197660338144651,-0.0174414757483282,1
"12","RandUCB",200,0.1,0.1,0.1,0.5,-0.0207319716813473,-0.0176569739889451,1
"13","RandUCB",200,0.1,0.1,0.2,0,-0.0190148615756291,-0.0187316536698694,1
"14","RandUCB",200,0.1,0.1,0.2,0.1,-0.0191847465116901,-0.0185078184988771,1
"15","RandUCB",200,0.1,0.1,0.2,0.2,-0.0191316325874209,-0.0187804865301694,1
"16","RandUCB",200,0.1,0.1,0.2,0.3,-0.0195650468766902,-0.018574925651789,1
"17","RandUCB",200,0.1,0.1,0.2,0.4,-0.01947829060914,-0.0191437257724096,1
"18","RandUCB",200,0.1,0.1,0.2,0.5,-0.0192305174440195,-0.0186575079964153,1
"19","RandUCB",200,0.1,0.1,0.3,0,-0.019013975034594,-0.0187876952981349,1
"20","RandUCB",200,0.1,0.1,0.3,0.1,-0.0190317921589016,-0.0181706257882473,1
"21","RandUCB",200,0.1,0.1,0.3,0.2,-0.0196031489478528,-0.0185313479582191,1
"22","RandUCB",200,0.1,0.1,0.3,0.3,-0.0190985927935012,-0.0189604367070601,1
"23","RandUCB",200,0.1,0.1,0.3,0.4,-0.0197389037374204,-0.0191525845940791,1
"24","RandUCB",200,0.1,0.1,0.3,0.5,-0.0195578279938205,-0.0183707539447415,1
"25","RandUCB",200,0.1,0.1,0.4,0,-0.0190812943585606,-0.0194401728924773,1
"26","RandUCB",200,0.1,0.1,0.4,0.1,-0.0189567428232228,-0.0194052068697195,1
"27","RandUCB",200,0.1,0.1,0.4,0.2,-0.0191206980787241,-0.0191731814224465,1
"28","RandUCB",200,0.1,0.1,0.4,0.3,-0.0192329937018053,-0.0194046950368029,1
"29","RandUCB",200,0.1,0.1,0.4,0.4,-0.019643751488264,-0.0197632335444604,1
"30","RandUCB",200,0.1,0.1,0.4,0.5,-0.0198498970594623,-0.0193901032069519,1
"31","RandUCB",200,0.1,0.1,0.5,0,-0.0189084723823964,-0.0198014508093206,1
"32","RandUCB",200,0.1,0.1,0.5,0.1,-0.0184924236863056,-0.0196320694302484,1
"33","RandUCB",200,0.1,0.1,0.5,0.2,-0.0182177182955346,-0.0200573393698096,1
"34","RandUCB",200,0.1,0.1,0.5,0.3,-0.0196020177549632,-0.0199213570419645,1
"35","RandUCB",200,0.1,0.1,0.5,0.4,-0.0189099351789458,-0.0200767973438556,1
"36","RandUCB",200,0.1,0.1,0.5,0.5,-0.0203421682253311,-0.0192671648730251,1
"37","RandUCB",200,0.3,0.3,0,0,-0.0740828576635456,-0.0735238624625641,2
"38","RandUCB",200,0.3,0.3,0,0.1,-0.0734412223419889,-0.0732089002905287,2
"39","RandUCB",200,0.3,0.3,0,0.2,-0.0735938143382058,-0.0744913256261933,2
"40","RandUCB",200,0.3,0.3,0,0.3,-0.0748396444341743,-0.0729023838854467,2
"41","RandUCB",200,0.3,0.3,0,0.4,-0.0727548342579591,-0.0768748169517046,2
"42","RandUCB",200,0.3,0.3,0,0.5,-0.0706515519093234,-0.0771968765052833,2
"43","RandUCB",200,0.3,0.3,0.1,0,-0.0740367826985662,-0.0740584224073346,2
"44","RandUCB",200,0.3,0.3,0.1,0.1,-0.0736584227603969,-0.0729270432460268,2
"45","RandUCB",200,0.3,0.3,0.1,0.2,-0.0732728912444712,-0.0764128624786911,2
"46","RandUCB",200,0.3,0.3,0.1,0.3,-0.0744534042314018,-0.0748586832418629,2
"47","RandUCB",200,0.3,0.3,0.1,0.4,-0.0734267968566375,-0.0773097786783427,2
"48","RandUCB",200,0.3,0.3,0.1,0.5,-0.0733090461875028,-0.0760628139416689,2
"49","RandUCB",200,0.3,0.3,0.2,0,-0.0747277886264173,-0.0735502840138495,2
"50","RandUCB",200,0.3,0.3,0.2,0.1,-0.0736887792532242,-0.0735454636822333,2
"51","RandUCB",200,0.3,0.3,0.2,0.2,-0.0738227510451717,-0.0746604219534781,2
"52","RandUCB",200,0.3,0.3,0.2,0.3,-0.0752134031066169,-0.0748197522079454,2
"53","RandUCB",200,0.3,0.3,0.2,0.4,-0.0754507490087922,-0.0769612463743731,2
"54","RandUCB",200,0.3,0.3,0.2,0.5,-0.0743500311045043,-0.0748298169832498,2
"55","RandUCB",200,0.3,0.3,0.3,0,-0.0748443310486114,-0.0731983395615172,2
"56","RandUCB",200,0.3,0.3,0.3,0.1,-0.0751814970045961,-0.0733495172528134,2
"57","RandUCB",200,0.3,0.3,0.3,0.2,-0.0750504814608423,-0.0758268184478082,2
"58","RandUCB",200,0.3,0.3,0.3,0.3,-0.0741264662899415,-0.0735128477686736,2
"59","RandUCB",200,0.3,0.3,0.3,0.4,-0.0735107458786158,-0.0758541626257956,2
"60","RandUCB",200,0.3,0.3,0.3,0.5,-0.07388558826563,-0.077144932850943,2
"61","RandUCB",200,0.3,0.3,0.4,0,-0.0746891023168449,-0.0740317025387465,2
"62","RandUCB",200,0.3,0.3,0.4,0.1,-0.0748629077524849,-0.0757151536884512,2
"63","RandUCB",200,0.3,0.3,0.4,0.2,-0.0760235317910606,-0.0730726304985412,2
"64","RandUCB",200,0.3,0.3,0.4,0.3,-0.0746543521203535,-0.0758817288892443,2
"65","RandUCB",200,0.3,0.3,0.4,0.4,-0.0774606027779691,-0.0739850023035006,2
"66","RandUCB",200,0.3,0.3,0.4,0.5,-0.0725406446870868,-0.0767789117171422,2
"67","RandUCB",200,0.3,0.3,0.5,0,-0.078140672041907,-0.0711310480808859,2
