"","method","Nt","p0","p1","miss0","miss1","bias0","bias1","scenario"
"1","TS",200,0.1,0.1,0,0,-0.00319465737923667,-0.002943972718017,1
"2","TS",200,0.1,0.1,0,0.1,-0.00359578683708583,-0.00667722072589647,1
"3","TS",200,0.1,0.1,0,0.2,-0.00490799397627611,-0.00264783290874553,1
"4","TS",200,0.1,0.1,0,0.3,-0.0024189857588119,-0.00345221734682614,1
"5","TS",200,0.1,0.1,0,0.4,-0.00583333689538003,-0.00550428119453865,1
"6","TS",200,0.1,0.1,0,0.5,-0.00580949533246228,-0.00275738731725063,1
"7","TS",200,0.1,0.1,0.1,0,-0.00239262524282123,-0.00312624484600231,1
"8","TS",200,0.1,0.1,0.1,0.1,-0.00549008685332406,-0.00322751512487772,1
"9","TS",200,0.1,0.1,0.1,0.2,-0.00461996096744467,-0.00376765527077721,1
"10","TS",200,0.1,0.1,0.1,0.3,-0.00426481610630436,-0.00593860444075139,1
"11","TS",200,0.1,0.1,0.1,0.4,-0.00279265962722346,-0.0046442005864045,1
"12","TS",200,0.1,0.1,0.1,0.5,-0.00391400735712892,-0.0050463241590029,1
"13","TS",200,0.1,0.1,0.2,0,-0.00317390943535409,-0.00547296067676308,1
"14","TS",200,0.1,0.1,0.2,0.1,-0.00682197478126022,-0.00206312547430428,1
"15","TS",200,0.1,0.1,0.2,0.2,-0.00462572386569265,-0.00196266547786846,1
"16","TS",200,0.1,0.1,0.2,0.3,-0.00556875066248083,-0.00454679897741188,1
"17","TS",200,0.1,0.1,0.2,0.4,-0.00448784356739358,-0.00453286879114265,1
"18","TS",200,0.1,0.1,0.2,0.5,-0.00466361118581433,-0.00210465682120671,1
"19","TS",200,0.1,0.1,0.3,0,-0.00260239885570673,-0.00355658411504305,1
"20","TS",200,0.1,0.1,0.3,0.1,-0.00411869176925785,-0.00430046609300141,1
"21","TS",200,0.1,0.1,0.3,0.2,-0.005057008259594,-0.00148164641633526,1
"22","TS",200,0.1,0.1,0.3,0.3,-0.00513771650468167,-0.00549500447222093,1
"23","TS",200,0.1,0.1,0.3,0.4,-0.00364186463453785,-0.00366418027928463,1
"24","TS",200,0.1,0.1,0.3,0.5,-0.00495599526239367,-0.00402796696726955,1
"25","TS",200,0.1,0.1,0.4,0,-0.00572878317369027,-0.00275687570895888,1
"26","TS",200,0.1,0.1,0.4,0.1,-0.00597756257034421,-0.00448579266030864,1
"27","TS",200,0.1,0.1,0.4,0.2,-0.00510238665199561,-0.0019082709081483,1
"28","TS",200,0.1,0.1,0.4,0.3,-0.00425735039334192,-0.00362909193061878,1
"29","TS",200,0.1,0.1,0.4,0.4,-0.00778333362264758,-0.00301663506215546,1
"30","TS",200,0.1,0.1,0.4,0.5,-0.00612364773243505,-0.00522744446961591,1
"31","TS",200,0.1,0.1,0.5,0,-0.00494700029615984,-0.00195250039830991,1
"32","TS",200,0.1,0.1,0.5,0.1,-0.00590019584598887,-0.00513859284922205,1
"33","TS",200,0.1,0.1,0.5,0.2,-0.00611696840404241,-0.00350064868514167,1
"34","TS",200,0.1,0.1,0.5,0.3,-0.00535346351014726,-0.0031699017572651,1
"35","TS",200,0.1,0.1,0.5,0.4,-0.00276241004608307,-0.00501679123769661,1
"36","TS",200,0.1,0.1,0.5,0.5,-0.00430504135399261,-0.00646249390132145,1
"37","TS",200,0.3,0.3,0,0,-0.00683811688692987,-0.00957469532210647,2
"38","TS",200,0.3,0.3,0,0.1,-0.00772634086797164,-0.00621514590146044,2
"39","TS",200,0.3,0.3,0,0.2,-0.005805920890884,-0.00546548081543269,2
"40","TS",200,0.3,0.3,0,0.3,-0.00524241705095663,-0.00592692633353048,2
"41","TS",200,0.3,0.3,0,0.4,-0.00592632866874959,-0.00789232299063747,2
"42","TS",200,0.3,0.3,0,0.5,-0.004624109400795,-0.00847013989759243,2
"43","TS",200,0.3,0.3,0.1,0,-0.00695761751469981,-0.00910627366498984,2
"44","TS",200,0.3,0.3,0.1,0.1,-0.00541623013826714,-0.0103314802850443,2
"45","TS",200,0.3,0.3,0.1,0.2,-0.00656671560597505,-0.00563675356997384,2
"46","TS",200,0.3,0.3,0.1,0.3,-0.00584517725173739,-0.00782953999485153,2
"47","TS",200,0.3,0.3,0.1,0.4,-0.00531986345033675,-0.00809907873058541,2
"48","TS",200,0.3,0.3,0.1,0.5,-0.00618014704023517,-0.0107984225833622,2
"49","TS",200,0.3,0.3,0.2,0,-0.00264467438349503,-0.00735722528106747,2
"50","TS",200,0.3,0.3,0.2,0.1,-0.00561707305863357,-0.00299233016811457,2
"51","TS",200,0.3,0.3,0.2,0.2,-0.00870548620977118,-0.0067309897406021,2
"52","TS",200,0.3,0.3,0.2,0.3,-0.00747000313442792,-0.00952230012125271,2
"53","TS",200,0.3,0.3,0.2,0.4,-0.00484010689875525,-0.0066867448529021,2
"54","TS",200,0.3,0.3,0.2,0.5,-0.00584427246756047,-0.00851135147197535,2
"55","TS",200,0.3,0.3,0.3,0,-0.00953888247979828,-0.0052479577025491,2
"56","TS",200,0.3,0.3,0.3,0.1,-0.0083503151499687,-0.00382723430933252,2
"57","TS",200,0.3,0.3,0.3,0.2,-0.00911538207047691,-0.00361613048964821,2
"58","TS",200,0.3,0.3,0.3,0.3,-0.0079285837539354,-0.00703481816663254,2
"59","TS",200,0.3,0.3,0.3,0.4,-0.00594435595735965,-0.00768808962278655,2
"60","TS",200,0.3,0.3,0.3,0.5,-0.00613757080079547,-0.00492495478374949,2
"61","TS",200,0.3,0.3,0.4,0,-0.00776848699996524,-0.00388403595928738,2
"62","TS",200,0.3,0.3,0.4,0.1,-0.00957799804147091,-0.00767897098673387,2
"63","TS",200,0.3,0.3,0.4,0.2,-0.00863318609583941,-0.00859371514960328,2
"64","TS",200,0.3,0.3,0.4,0.3,-0.00872094291428777,-0.00603542545084812,2
"65","TS",200,0.3,0.3,0.4,0.4,-0.00548911757400372,-0.0089693162099721,2
"66","TS",200,0.3,0.3,0.4,0.5,-0.00158316109334145,-0.00611538093136998,2
"67","TS",200,0.3,0.3,0.5,0,-0.0101676896062574,-0.00596901746179945,2
"68","TS",200,0.3,0.3,0.5,0.1,-0.00836268193693646,-0.00470009770793639,2
"69","TS",200,0.3,0.3,0.5,0.2,-0.0116428857284104,-0.00567124059351409,2
"70","TS",200,0.3,0.3,0.5,0.3,-0.00959949034361096,-0.00540015923734327,2
"71","TS",200,0.3,0.3,0.5,0.4,-0.0118567563314505,-0.00876346148528645,2
"72","TS",200,0.3,0.3,0.5,0.5,-0.00551324180445478,-0.00841682039717662,2
"73","TS",200,0.5,0.5,0,0,-0.00808972334208402,-0.00657545352552052,3
"74","TS",200,0.5,0.5,0,0.1,-0.00729830135053328,-0.00696680824267454,3
"75","TS",200,0.5,0.5,0,0.2,-0.00619486335326946,-0.0081169502815609,3
"76","TS",200,0.5,0.5,0,0.3,-0.00458163378138982,-0.00842557026053414,3
"77","TS",200,0.5,0.5,0,0.4,-0.0090333734040548,-0.0115756928604225,3
"78","TS",200,0.5,0.5,0,0.5,-0.00507128687988118,-0.0109407379425035,3
"79","TS",200,0.5,0.5,0.1,0,-0.00714897931268416,-0.00611499259055709,3
"80","TS",200,0.5,0.5,0.1,0.1,-0.00956076709879056,-0.00470659793059808,3
"81","TS",200,0.5,0.5,0.1,0.2,-0.0102468735158974,-0.0121058256907893,3
"82","TS",200,0.5,0.5,0.1,0.3,-0.00574988435744961,-0.00869276282612014,3
"83","TS",200,0.5,0.5,0.1,0.4,-0.00795212735102135,-0.00778490528131442,3
"84","TS",200,0.5,0.5,0.1,0.5,-0.00527826594109571,-0.0139247213909719,3
"85","TS",200,0.5,0.5,0.2,0,-0.011001755973546,-0.00516801474779599,3
"86","TS",200,0.5,0.5,0.2,0.1,-0.00366142141155856,-0.00727267202198706,3
"87","TS",200,0.5,0.5,0.2,0.2,-0.00803839833152598,-0.00716967381833056,3
"88","TS",200,0.5,0.5,0.2,0.3,-0.00884401849889155,-0.00935836916921418,3
"89","TS",200,0.5,0.5,0.2,0.4,-0.00912060344913518,-0.0108158895513145,3
"90","TS",200,0.5,0.5,0.2,0.5,-0.00841921487011915,-0.0106019472676188,3
"91","TS",200,0.5,0.5,0.3,0,-0.00852782493074333,-0.00401104999858498,3
"92","TS",200,0.5,0.5,0.3,0.1,-0.00984545903779355,-0.00784713287085392,3
"93","TS",200,0.5,0.5,0.3,0.2,-0.00870791560251727,-0.00626876914406188,3
"94","TS",200,0.5,0.5,0.3,0.3,-0.00662851237295442,-0.00902182026703136,3
"95","TS",200,0.5,0.5,0.3,0.4,-0.0103568141777703,-0.00889884645160155,3
"96","TS",200,0.5,0.5,0.3,0.5,-0.00889403435603814,-0.00723568415227044,3
"97","TS",200,0.5,0.5,0.4,0,-0.0147693512139614,-0.00357832343867837,3
"98","TS",200,0.5,0.5,0.4,0.1,-0.0147621957319395,-0.00857623176172267,3
"99","TS",200,0.5,0.5,0.4,0.2,-0.0100819126103421,-0.00761189315576388,3
"100","TS",200,0.5,0.5,0.4,0.3,-0.00827520049006714,-0.00690445560505765,3
"101","TS",200,0.5,0.5,0.4,0.4,-0.00933584838672097,-0.00985054544693015,3
"102","TS",200,0.5,0.5,0.4,0.5,-0.00677674060285083,-0.0127968887565286,3
"103","TS",200,0.5,0.5,0.5,0,-0.0109864501617537,-0.0040091845600706,3
"104","TS",200,0.5,0.5,0.5,0.1,-0.00964082557211948,-0.00721462330271927,3
"105","TS",200,0.5,0.5,0.5,0.2,-0.00869626971947712,-0.00499336748427426,3
"106","TS",200,0.5,0.5,0.5,0.3,-0.0102975566232011,-0.0062502301854484,3
"107","TS",200,0.5,0.5,0.5,0.4,-0.0128957171758831,-0.0107730936975786,3
"108","TS",200,0.5,0.5,0.5,0.5,-0.00851127437767379,-0.0111763894078158,3
"109","TS",200,0.7,0.7,0,0,-0.00625850672436268,-0.00967182733635064,4
"110","TS",200,0.7,0.7,0,0.1,-0.00517543434147194,-0.00608607883016588,4
"111","TS",200,0.7,0.7,0,0.2,-0.00567753044142649,-0.00218793855378263,4
"112","TS",200,0.7,0.7,0,0.3,-0.00547054114325973,-0.00651932812182843,4
