"","method","Nt","p0","p1","miss0","miss1","bias0","bias1","scenario"
"1","CB",200,0.1,0.1,0,0,-0.0315075871827088,-0.0312615057226064,1
"2","CB",200,0.1,0.1,0,0.1,-0.0317885054249197,-0.0309211352953527,1
"3","CB",200,0.1,0.1,0,0.2,-0.0315197808444713,-0.0303229485547844,1
"4","CB",200,0.1,0.1,0,0.3,-0.0316930599221734,-0.0300886158404853,1
"5","CB",200,0.1,0.1,0,0.4,-0.0317318259225301,-0.0289181382928529,1
"6","CB",200,0.1,0.1,0,0.5,-0.0328295192860885,-0.0274395650930392,1
"7","CB",200,0.1,0.1,0.1,0,-0.0308667427917189,-0.0304872509725764,1
"8","CB",200,0.1,0.1,0.1,0.1,-0.0313846889696057,-0.0305601061769687,1
"9","CB",200,0.1,0.1,0.1,0.2,-0.0313205571964103,-0.0300357023713553,1
"10","CB",200,0.1,0.1,0.1,0.3,-0.0319096985000893,-0.0301073784422083,1
"11","CB",200,0.1,0.1,0.1,0.4,-0.0319947381337127,-0.0286273731807682,1
"12","CB",200,0.1,0.1,0.1,0.5,-0.030565030321259,-0.0292827311720427,1
"13","CB",200,0.1,0.1,0.2,0,-0.0306844907674907,-0.030756946608461,1
"14","CB",200,0.1,0.1,0.2,0.1,-0.0300462116598686,-0.0314545193016517,1
"15","CB",200,0.1,0.1,0.2,0.2,-0.0302099787908032,-0.0303924985501121,1
"16","CB",200,0.1,0.1,0.2,0.3,-0.0308291215969213,-0.0300257561617152,1
"17","CB",200,0.1,0.1,0.2,0.4,-0.0309292489100563,-0.0293614443641583,1
"18","CB",200,0.1,0.1,0.2,0.5,-0.0309350405389107,-0.0281067069312962,1
"19","CB",200,0.1,0.1,0.3,0,-0.0297253819973738,-0.0306506632656132,1
"20","CB",200,0.1,0.1,0.3,0.1,-0.0297594609575124,-0.0309515799377589,1
"21","CB",200,0.1,0.1,0.3,0.2,-0.0299520742912023,-0.0304483092379409,1
"22","CB",200,0.1,0.1,0.3,0.3,-0.0302580802336676,-0.0301391062273285,1
