"","method","Nt","p0","p1","miss0","miss1","pstar1","pstar1_se","scenario"
"1","RPW",200,0.1,0.1,0,0,0.4994445,0.0260660097336808,1
"2","RPW",200,0.1,0.1,0,0.1,0.511705,0.0264520877492615,1
"3","RPW",200,0.1,0.1,0,0.2,0.524291,0.0272938054177394,1
"4","RPW",200,0.1,0.1,0,0.3,0.5391995,0.0278062766053254,1
"5","RPW",200,0.1,0.1,0,0.4,0.55615,0.0287602193145585,1
"6","RPW",200,0.1,0.1,0,0.5,0.575311,0.0293882569398832,1
"7","RPW",200,0.1,0.1,0.1,0,0.4884635,0.0264306928759462,1
"8","RPW",200,0.1,0.1,0.1,0.1,0.500262,0.0268072419100116,1
"9","RPW",200,0.1,0.1,0.1,0.2,0.512667,0.027655625003956,1
"10","RPW",200,0.1,0.1,0.1,0.3,0.527959,0.0285388466055753,1
"11","RPW",200,0.1,0.1,0.1,0.4,0.5443455,0.0292887335462166,1
"12","RPW",200,0.1,0.1,0.1,0.5,0.564251,0.0300930151024419,1
"13","RPW",200,0.1,0.1,0.2,0,0.4757195,0.0270791090615027,1
"14","RPW",200,0.1,0.1,0.2,0.1,0.48755,0.027649393282582,1
"15","RPW",200,0.1,0.1,0.2,0.2,0.5006245,0.0284003196736543,1
"16","RPW",200,0.1,0.1,0.2,0.3,0.5148725,0.0291968575260924,1
"17","RPW",200,0.1,0.1,0.2,0.4,0.5312515,0.03062931705501,1
"18","RPW",200,0.1,0.1,0.2,0.5,0.5513315,0.0310990566236709,1
"19","RPW",200,0.1,0.1,0.3,0,0.4613795,0.027918675201243,1
"20","RPW",200,0.1,0.1,0.3,0.1,0.472987,0.028565616227259,1
"21","RPW",200,0.1,0.1,0.3,0.2,0.484999,0.0291273040115954,1
"22","RPW",200,0.1,0.1,0.3,0.3,0.499705,0.0302212558877149,1
"23","RPW",200,0.1,0.1,0.3,0.4,0.516869,0.0309229277680199,1
"24","RPW",200,0.1,0.1,0.3,0.5,0.5369445,0.0322274771084874,1
"25","RPW",200,0.1,0.1,0.4,0,0.444759,0.0287842799541216,1
"26","RPW",200,0.1,0.1,0.4,0.1,0.4561275,0.0291648984719695,1
"27","RPW",200,0.1,0.1,0.4,0.2,0.4682995,0.029725395870635,1
"28","RPW",200,0.1,0.1,0.4,0.3,0.4834675,0.0306612614718557,1
"29","RPW",200,0.1,0.1,0.4,0.4,0.499851,0.0320071124052835,1
"30","RPW",200,0.1,0.1,0.4,0.5,0.520148,0.033242346508033,1
"31","RPW",200,0.1,0.1,0.5,0,0.425378,0.0293269180585393,1
"32","RPW",200,0.1,0.1,0.5,0.1,0.436056,0.0305188139317435,1
"33","RPW",200,0.1,0.1,0.5,0.2,0.4485245,0.031232001913812,1
"34","RPW",200,0.1,0.1,0.5,0.3,0.4637675,0.0324230407134635,1
"35","RPW",200,0.1,0.1,0.5,0.4,0.4804805,0.0327042593037614,1
"36","RPW",200,0.1,0.1,0.5,0.5,0.499654,0.0343519037220491,1
"37","RPW",200,0.3,0.3,0,0,0.5004925,0.0387978152838157,2
"38","RPW",200,0.3,0.3,0,0.1,0.507503,0.0393532699910173,2
"39","RPW",200,0.3,0.3,0,0.2,0.516032,0.0401963499668199,2
"40","RPW",200,0.3,0.3,0,0.3,0.5252145,0.0408562530476218,2
"41","RPW",200,0.3,0.3,0,0.4,0.535705,0.0426473311531384,2
"42","RPW",200,0.3,0.3,0,0.5,0.5479695,0.0432502789402894,2
"43","RPW",200,0.3,0.3,0.1,0,0.492708,0.0395363509735639,2
"44","RPW",200,0.3,0.3,0.1,0.1,0.499676,0.039609114004118,2
"45","RPW",200,0.3,0.3,0.1,0.2,0.5080415,0.0403825439111415,2
"46","RPW",200,0.3,0.3,0.1,0.3,0.5178445,0.0415467078436218,2
"47","RPW",200,0.3,0.3,0.1,0.4,0.528387,0.0426327337382744,2
"48","RPW",200,0.3,0.3,0.1,0.5,0.5409995,0.0439057658101659,2
"49","RPW",200,0.3,0.3,0.2,0,0.484459,0.0400579303356811,2
"50","RPW",200,0.3,0.3,0.2,0.1,0.491637,0.0406754923826136,2
"51","RPW",200,0.3,0.3,0.2,0.2,0.499761,0.0410675849503397,2
"52","RPW",200,0.3,0.3,0.2,0.3,0.508844,0.0428407772714236,2
"53","RPW",200,0.3,0.3,0.2,0.4,0.520174,0.0441793493104024,2
"54","RPW",200,0.3,0.3,0.2,0.5,0.532617,0.0449501208267145,2
"55","RPW",200,0.3,0.3,0.3,0,0.475067,0.0409366961577169,2
"56","RPW",200,0.3,0.3,0.3,0.1,0.481699,0.0419867799190269,2
"57","RPW",200,0.3,0.3,0.3,0.2,0.4907985,0.0424839426876629,2
"58","RPW",200,0.3,0.3,0.3,0.3,0.499895,0.0431462644386916,2
"59","RPW",200,0.3,0.3,0.3,0.4,0.511729,0.0444914992818947,2
"60","RPW",200,0.3,0.3,0.3,0.5,0.523327,0.0465578439608561,2
"61","RPW",200,0.3,0.3,0.4,0,0.4651575,0.0419229465459515,2
"62","RPW",200,0.3,0.3,0.4,0.1,0.4718055,0.0422691535032793,2
"63","RPW",200,0.3,0.3,0.4,0.2,0.479963,0.0433204489488476,2
"64","RPW",200,0.3,0.3,0.4,0.3,0.488949,0.0448183697564599,2
"65","RPW",200,0.3,0.3,0.4,0.4,0.500713,0.0454799238494012,2
"66","RPW",200,0.3,0.3,0.4,0.5,0.5118855,0.0465789582288502,2
"67","RPW",200,0.3,0.3,0.5,0,0.4517065,0.0431813828047701,2
"68","RPW",200,0.3,0.3,0.5,0.1,0.4599795,0.0441253530799295,2
"69","RPW",200,0.3,0.3,0.5,0.2,0.467588,0.0449387828653663,2
"70","RPW",200,0.3,0.3,0.5,0.3,0.4761755,0.0460105139776731,2
"71","RPW",200,0.3,0.3,0.5,0.4,0.487065,0.0471989252934311,2
"72","RPW",200,0.3,0.3,0.5,0.5,0.50076,0.0483274347973841,2
"73","RPW",200,0.5,0.5,0,0,0.499313,0.0577823235141256,3
"74","RPW",200,0.5,0.5,0,0.1,0.5010415,0.0586263719063212,3
"75","RPW",200,0.5,0.5,0,0.2,0.50091,0.0600022243478745,3
"76","RPW",200,0.5,0.5,0,0.3,0.5004785,0.060846230484118,3
"77","RPW",200,0.5,0.5,0,0.4,0.5026015,0.061788724557141,3
"78","RPW",200,0.5,0.5,0,0.5,0.502398,0.0637589689111396,3
"79","RPW",200,0.5,0.5,0.1,0,0.4996575,0.0592425620805362,3
"80","RPW",200,0.5,0.5,0.1,0.1,0.500646,0.0591495355075175,3
"81","RPW",200,0.5,0.5,0.1,0.2,0.500492,0.0605204032366011,3
"82","RPW",200,0.5,0.5,0.1,0.3,0.5009685,0.061922717560238,3
"83","RPW",200,0.5,0.5,0.1,0.4,0.5005965,0.0628708753115959,3
"84","RPW",200,0.5,0.5,0.1,0.5,0.502459,0.0640916850567165,3
"85","RPW",200,0.5,0.5,0.2,0,0.500365,0.059096116709146,3
"86","RPW",200,0.5,0.5,0.2,0.1,0.5004025,0.0609190578301297,3
"87","RPW",200,0.5,0.5,0.2,0.2,0.500899,0.061762798376744,3
"88","RPW",200,0.5,0.5,0.2,0.3,0.5006845,0.0623479565544746,3
"89","RPW",200,0.5,0.5,0.2,0.4,0.502236,0.0638390777407121,3
"90","RPW",200,0.5,0.5,0.2,0.5,0.5027005,0.0654854077914566,3
"91","RPW",200,0.5,0.5,0.3,0,0.4987825,0.0603285516746815,3
"92","RPW",200,0.5,0.5,0.3,0.1,0.4994,0.0610002631405006,3
"93","RPW",200,0.5,0.5,0.3,0.2,0.4978805,0.0628003551599099,3
"94","RPW",200,0.5,0.5,0.3,0.3,0.4996525,0.0641421325266514,3
"95","RPW",200,0.5,0.5,0.3,0.4,0.5005205,0.0648607529364033,3
"96","RPW",200,0.5,0.5,0.3,0.5,0.5015295,0.0673778680833755,3
"97","RPW",200,0.5,0.5,0.4,0,0.4996085,0.0612030130682376,3
"98","RPW",200,0.5,0.5,0.4,0.1,0.498379,0.0635034694175271,3
"99","RPW",200,0.5,0.5,0.4,0.2,0.4987765,0.0639820671613681,3
"100","RPW",200,0.5,0.5,0.4,0.3,0.499285,0.0654790999193836,3
"101","RPW",200,0.5,0.5,0.4,0.4,0.5005065,0.0677399795411308,3
"102","RPW",200,0.5,0.5,0.4,0.5,0.50128,0.0675160902470235,3
"103","RPW",200,0.5,0.5,0.5,0,0.497045,0.0639628962775297,3
"104","RPW",200,0.5,0.5,0.5,0.1,0.4978375,0.0639729266743732,3
"105","RPW",200,0.5,0.5,0.5,0.2,0.4987825,0.0645463152815995,3
"106","RPW",200,0.5,0.5,0.5,0.3,0.498543,0.0679433129923618,3
"107","RPW",200,0.5,0.5,0.5,0.4,0.498805,0.0689507969224405,3
"108","RPW",200,0.5,0.5,0.5,0.5,0.49978,0.071001800861475,3
"109","RPW",200,0.7,0.7,0,0,0.4988175,0.0953555633515749,4
"110","RPW",200,0.7,0.7,0,0.1,0.4872795,0.096261846097254,4
"111","RPW",200,0.7,0.7,0,0.2,0.4742405,0.0962580501619064,4
"112","RPW",200,0.7,0.7,0,0.3,0.4570135,0.0966798997623177,4
"113","RPW",200,0.7,0.7,0,0.4,0.439045,0.0948411169205945,4
"114","RPW",200,0.7,0.7,0,0.5,0.4228385,0.0940146493541263,4
"115","RPW",200,0.7,0.7,0.1,0,0.51246,0.0969740882781567,4
"116","RPW",200,0.7,0.7,0.1,0.1,0.5002235,0.0975150935347791,4
"117","RPW",200,0.7,0.7,0.1,0.2,0.487847,0.0995722654889677,4
"118","RPW",200,0.7,0.7,0.1,0.3,0.470169,0.0995843770067091,4
"119","RPW",200,0.7,0.7,0.1,0.4,0.4528755,0.0989092124272572,4
"120","RPW",200,0.7,0.7,0.1,0.5,0.433492,0.0974400861711406,4
"121","RPW",200,0.7,0.7,0.2,0,0.5283925,0.0961994484242904,4
"122","RPW",200,0.7,0.7,0.2,0.1,0.514537,0.0987698647342293,4
"123","RPW",200,0.7,0.7,0.2,0.2,0.5036805,0.101307145520557,4
"124","RPW",200,0.7,0.7,0.2,0.3,0.4820025,0.101889870194808,4
"125","RPW",200,0.7,0.7,0.2,0.4,0.464906,0.102149447453041,4
"126","RPW",200,0.7,0.7,0.2,0.5,0.445625,0.100119687225725,4
"127","RPW",200,0.7,0.7,0.3,0,0.5458395,0.0955727532033345,4
"128","RPW",200,0.7,0.7,0.3,0.1,0.531834,0.0996589415680472,4
"129","RPW",200,0.7,0.7,0.3,0.2,0.5169005,0.100268943276812,4
"130","RPW",200,0.7,0.7,0.3,0.3,0.4992055,0.104031190123933,4
"131","RPW",200,0.7,0.7,0.3,0.4,0.4805845,0.10607125421549,4
"132","RPW",200,0.7,0.7,0.3,0.5,0.4616895,0.105576075512031,4
"133","RPW",200,0.7,0.7,0.4,0,0.560696,0.0948074334055241,4
"134","RPW",200,0.7,0.7,0.4,0.1,0.5481285,0.0978977189932861,4
"135","RPW",200,0.7,0.7,0.4,0.2,0.533227,0.103441536561232,4
"136","RPW",200,0.7,0.7,0.4,0.3,0.5176165,0.105620651389536,4
"137","RPW",200,0.7,0.7,0.4,0.4,0.4998185,0.108102905518622,4
"138","RPW",200,0.7,0.7,0.4,0.5,0.478876,0.10902777320267,4
"139","RPW",200,0.7,0.7,0.5,0,0.5773985,0.0937770980152469,4
"140","RPW",200,0.7,0.7,0.5,0.1,0.566489,0.096563866622219,4
"141","RPW",200,0.7,0.7,0.5,0.2,0.5542945,0.101457228065144,4
"142","RPW",200,0.7,0.7,0.5,0.3,0.5394265,0.105818019935568,4
"143","RPW",200,0.7,0.7,0.5,0.4,0.5215315,0.107936425894846,4
"144","RPW",200,0.7,0.7,0.5,0.5,0.498835,0.11229093329548,4
