"","method","Nt","p0","p1","miss0","miss1","pstar1","pstar1_se","scenario"
"1","RandUCB",200,0.1,0.1,0,0,0.502024,0.298804805609256,1
"2","RandUCB",200,0.1,0.1,0,0.1,0.5088115,0.296128002977031,1
"3","RandUCB",200,0.1,0.1,0,0.2,0.5217075,0.292865308550954,1
"4","RandUCB",200,0.1,0.1,0,0.3,0.533608,0.287109013258988,1
"5","RandUCB",200,0.1,0.1,0,0.4,0.545913,0.284936616317615,1
"6","RandUCB",200,0.1,0.1,0,0.5,0.5665195,0.2786957584039,1
"7","RandUCB",200,0.1,0.1,0.1,0,0.490108,0.296558785146056,1
"8","RandUCB",200,0.1,0.1,0.1,0.1,0.499512,0.292206177725643,1
"9","RandUCB",200,0.1,0.1,0.1,0.2,0.508839,0.290638485324836,1
"10","RandUCB",200,0.1,0.1,0.1,0.3,0.522831,0.286859598552895,1
"11","RandUCB",200,0.1,0.1,0.1,0.4,0.5410605,0.282223117105125,1
"12","RandUCB",200,0.1,0.1,0.1,0.5,0.563133,0.277076183444451,1
"13","RandUCB",200,0.1,0.1,0.2,0,0.482937,0.292691930000792,1
"14","RandUCB",200,0.1,0.1,0.2,0.1,0.492045,0.287886298435828,1
"15","RandUCB",200,0.1,0.1,0.2,0.2,0.501312,0.289584425634317,1
"16","RandUCB",200,0.1,0.1,0.2,0.3,0.5127165,0.285728450110363,1
"17","RandUCB",200,0.1,0.1,0.2,0.4,0.5270185,0.280945272575226,1
"18","RandUCB",200,0.1,0.1,0.2,0.5,0.544293,0.275435440020274,1
"19","RandUCB",200,0.1,0.1,0.3,0,0.470393,0.287908804483242,1
"20","RandUCB",200,0.1,0.1,0.3,0.1,0.481764,0.28685789521853,1
"21","RandUCB",200,0.1,0.1,0.3,0.2,0.491296,0.285862802998596,1
"22","RandUCB",200,0.1,0.1,0.3,0.3,0.501059,0.281966308304559,1
"23","RandUCB",200,0.1,0.1,0.3,0.4,0.518443,0.277047317750285,1
"24","RandUCB",200,0.1,0.1,0.3,0.5,0.53445,0.272141320989406,1
"25","RandUCB",200,0.1,0.1,0.4,0,0.454767,0.286286275769848,1
"26","RandUCB",200,0.1,0.1,0.4,0.1,0.4625105,0.285463244247191,1
"27","RandUCB",200,0.1,0.1,0.4,0.2,0.4734585,0.281017185139244,1
"28","RandUCB",200,0.1,0.1,0.4,0.3,0.485899,0.276740736687851,1
"29","RandUCB",200,0.1,0.1,0.4,0.4,0.4996315,0.2774726667905,1
"30","RandUCB",200,0.1,0.1,0.4,0.5,0.5192255,0.272012309867443,1
"31","RandUCB",200,0.1,0.1,0.5,0,0.4375085,0.280748209047606,1
"32","RandUCB",200,0.1,0.1,0.5,0.1,0.4446565,0.27639353980626,1
"33","RandUCB",200,0.1,0.1,0.5,0.2,0.4498265,0.274738567598003,1
"34","RandUCB",200,0.1,0.1,0.5,0.3,0.4688375,0.272793699952956,1
