"","method","Nt","p0","p1","miss0","miss1","pstar1","pstar1_se","scenario"
"1","TS",200,0.1,0.1,0,0,0.501335,0.0918565751887441,1
"2","TS",200,0.1,0.1,0,0.1,0.497615,0.0964605692312481,1
"3","TS",200,0.1,0.1,0,0.2,0.50878,0.0951220784561072,1
"4","TS",200,0.1,0.1,0,0.3,0.5053,0.0978418777059856,1
"5","TS",200,0.1,0.1,0,0.4,0.50963,0.0917059053336974,1
"6","TS",200,0.1,0.1,0,0.5,0.51516,0.0906205632651138,1
"7","TS",200,0.1,0.1,0.1,0,0.50183,0.0939501342613608,1
"8","TS",200,0.1,0.1,0.1,0.1,0.50296,0.0947484335789551,1
"9","TS",200,0.1,0.1,0.1,0.2,0.504625,0.0915268350623823,1
"10","TS",200,0.1,0.1,0.1,0.3,0.5013,0.0945266909147638,1
"11","TS",200,0.1,0.1,0.1,0.4,0.505375,0.0939793407696154,1
"12","TS",200,0.1,0.1,0.1,0.5,0.508185,0.0920576198930886,1
"13","TS",200,0.1,0.1,0.2,0,0.49155,0.093588494518858,1
"14","TS",200,0.1,0.1,0.2,0.1,0.50726,0.0936531543158762,1
"15","TS",200,0.1,0.1,0.2,0.2,0.50228,0.0951735762153005,1
"16","TS",200,0.1,0.1,0.2,0.3,0.50383,0.0905274893406767,1
"17","TS",200,0.1,0.1,0.2,0.4,0.50596,0.0901673918806492,1
"18","TS",200,0.1,0.1,0.2,0.5,0.513275,0.0887466920530019,1
"19","TS",200,0.1,0.1,0.3,0,0.492015,0.0932207320282344,1
"20","TS",200,0.1,0.1,0.3,0.1,0.495465,0.0939776067239721,1
"21","TS",200,0.1,0.1,0.3,0.2,0.5018,0.0923137683762928,1
"22","TS",200,0.1,0.1,0.3,0.3,0.500325,0.093288917869151,1
"23","TS",200,0.1,0.1,0.3,0.4,0.505755,0.0896467596543038,1
"24","TS",200,0.1,0.1,0.3,0.5,0.50621,0.0916241282680544,1
"25","TS",200,0.1,0.1,0.4,0,0.496385,0.0889073185192664,1
"26","TS",200,0.1,0.1,0.4,0.1,0.49591,0.0925104322770145,1
"27","TS",200,0.1,0.1,0.4,0.2,0.4994,0.0891994761562339,1
"28","TS",200,0.1,0.1,0.4,0.3,0.498345,0.0907754160064891,1
"29","TS",200,0.1,0.1,0.4,0.4,0.50781,0.088405426413877,1
"30","TS",200,0.1,0.1,0.4,0.5,0.50513,0.0863457508432736,1
"31","TS",200,0.1,0.1,0.5,0,0.48998,0.0898608623070944,1
"32","TS",200,0.1,0.1,0.5,0.1,0.49061,0.0919101483807712,1
"33","TS",200,0.1,0.1,0.5,0.2,0.49575,0.0908473485619737,1
"34","TS",200,0.1,0.1,0.5,0.3,0.49234,0.0902788716958441,1
"35","TS",200,0.1,0.1,0.5,0.4,0.49534,0.0882840782841305,1
"36","TS",200,0.1,0.1,0.5,0.5,0.4981,0.0850574792406569,1
"37","TS",200,0.3,0.3,0,0,0.49528,0.102832855625992,2
"38","TS",200,0.3,0.3,0,0.1,0.503165,0.104688669360597,2
"39","TS",200,0.3,0.3,0,0.2,0.504865,0.104865884007282,2
"40","TS",200,0.3,0.3,0,0.3,0.50189,0.0979919911540241,2
"41","TS",200,0.3,0.3,0,0.4,0.500605,0.100554563273852,2
"42","TS",200,0.3,0.3,0,0.5,0.502535,0.0983242922244622,2
"43","TS",200,0.3,0.3,0.1,0,0.493275,0.104332807446698,2
"44","TS",200,0.3,0.3,0.1,0.1,0.493875,0.103548450768984,2
"45","TS",200,0.3,0.3,0.1,0.2,0.502685,0.0964845845202748,2
"46","TS",200,0.3,0.3,0.1,0.3,0.498555,0.0999493714430053,2
"47","TS",200,0.3,0.3,0.1,0.4,0.50128,0.101207977228352,2
"48","TS",200,0.3,0.3,0.1,0.5,0.500655,0.0996753788864439,2
"49","TS",200,0.3,0.3,0.2,0,0.495355,0.0994172156005073,2
"50","TS",200,0.3,0.3,0.2,0.1,0.50254,0.100686076922711,2
"51","TS",200,0.3,0.3,0.2,0.2,0.50163,0.101814828779306,2
"52","TS",200,0.3,0.3,0.2,0.3,0.49871,0.103086675971062,2
"53","TS",200,0.3,0.3,0.2,0.4,0.501385,0.102992544580854,2
"54","TS",200,0.3,0.3,0.2,0.5,0.50305,0.100745208804673,2
"55","TS",200,0.3,0.3,0.3,0,0.503085,0.0974338294748088,2
"56","TS",200,0.3,0.3,0.3,0.1,0.502155,0.100209145529976,2
"57","TS",200,0.3,0.3,0.3,0.2,0.50375,0.100290306837927,2
"58","TS",200,0.3,0.3,0.3,0.3,0.50306,0.100705401930472,2
