"","method","Nt","p0","p1","miss0","miss1","pstar1","pstar1_se","scenario"
"1","CB",200,0.1,0.1,0,0,0.5000225,0.387871539851653,1
"2","CB",200,0.1,0.1,0,0.1,0.5105615,0.386256128232821,1
"3","CB",200,0.1,0.1,0,0.2,0.517881,0.381032352175429,1
"4","CB",200,0.1,0.1,0,0.3,0.5268745,0.375765417134975,1
"5","CB",200,0.1,0.1,0,0.4,0.5414865,0.368619452617242,1
"6","CB",200,0.1,0.1,0,0.5,0.567632,0.361379948423695,1
"7","CB",200,0.1,0.1,0.1,0,0.4972815,0.384451112007109,1
"8","CB",200,0.1,0.1,0.1,0.1,0.5027315,0.381820841656479,1
"9","CB",200,0.1,0.1,0.1,0.2,0.5119745,0.376792742932853,1
"10","CB",200,0.1,0.1,0.1,0.3,0.5258695,0.374651228243059,1
"11","CB",200,0.1,0.1,0.1,0.4,0.5382005,0.367363634432888,1
"12","CB",200,0.1,0.1,0.1,0.5,0.5459795,0.358934480756443,1
"13","CB",200,0.1,0.1,0.2,0,0.4873435,0.379681631530789,1
"14","CB",200,0.1,0.1,0.2,0.1,0.4873925,0.37852118338658,1
"15","CB",200,0.1,0.1,0.2,0.2,0.4991915,0.372804911687021,1
"16","CB",200,0.1,0.1,0.2,0.3,0.510235,0.369199228848136,1
"17","CB",200,0.1,0.1,0.2,0.4,0.5240055,0.363532170562185,1
"18","CB",200,0.1,0.1,0.2,0.5,0.5436325,0.354896509699672,1
"19","CB",200,0.1,0.1,0.3,0,0.471498,0.374543013875475,1
"20","CB",200,0.1,0.1,0.3,0.1,0.4786925,0.373430425878834,1
"21","CB",200,0.1,0.1,0.3,0.2,0.490277,0.369275303392969,1
"22","CB",200,0.1,0.1,0.3,0.3,0.502569,0.36561201765498,1
"23","CB",200,0.1,0.1,0.3,0.4,0.511573,0.358146635572997,1
"24","CB",200,0.1,0.1,0.3,0.5,0.529258,0.351361323873291,1
"25","CB",200,0.1,0.1,0.4,0,0.4622755,0.370207245931578,1
"26","CB",200,0.1,0.1,0.4,0.1,0.462964,0.365397826021346,1
"27","CB",200,0.1,0.1,0.4,0.2,0.4755835,0.363196858774374,1
"28","CB",200,0.1,0.1,0.4,0.3,0.4895185,0.358280535547168,1
"29","CB",200,0.1,0.1,0.4,0.4,0.5021725,0.355159670546795,1
"30","CB",200,0.1,0.1,0.4,0.5,0.5172485,0.348192038273855,1
"31","CB",200,0.1,0.1,0.5,0,0.444154,0.361268571539344,1
"32","CB",200,0.1,0.1,0.5,0.1,0.4456535,0.357943882221825,1
"33","CB",200,0.1,0.1,0.5,0.2,0.4549815,0.357462424733369,1
"34","CB",200,0.1,0.1,0.5,0.3,0.467013,0.351775670624397,1
"35","CB",200,0.1,0.1,0.5,0.4,0.485126,0.348311658181466,1
"36","CB",200,0.1,0.1,0.5,0.5,0.5006335,0.34135072610084,1
"37","CB",200,0.3,0.3,0,0,0.497925,0.456430046352912,2
"38","CB",200,0.3,0.3,0,0.1,0.4988945,0.456234298736169,2
"39","CB",200,0.3,0.3,0,0.2,0.50764,0.453759986350186,2
"40","CB",200,0.3,0.3,0,0.3,0.5133385,0.452147316300024,2
"41","CB",200,0.3,0.3,0,0.4,0.509147,0.449238281866527,2
"42","CB",200,0.3,0.3,0,0.5,0.5122455,0.444304980752346,2
"43","CB",200,0.3,0.3,0.1,0,0.497616,0.45453851549699,2
"44","CB",200,0.3,0.3,0.1,0.1,0.496219,0.453949497250085,2
"45","CB",200,0.3,0.3,0.1,0.2,0.5021295,0.451551661075465,2
"46","CB",200,0.3,0.3,0.1,0.3,0.503842,0.450123622090106,2
"47","CB",200,0.3,0.3,0.1,0.4,0.5052815,0.447003713060304,2
"48","CB",200,0.3,0.3,0.1,0.5,0.517094,0.443676419297334,2
"49","CB",200,0.3,0.3,0.2,0,0.4971615,0.454499898166648,2
"50","CB",200,0.3,0.3,0.2,0.1,0.4960595,0.452099186381907,2
"51","CB",200,0.3,0.3,0.2,0.2,0.4955955,0.449492427326615,2
"52","CB",200,0.3,0.3,0.2,0.3,0.5021135,0.447778914435876,2
"53","CB",200,0.3,0.3,0.2,0.4,0.501039,0.442707939290624,2
"54","CB",200,0.3,0.3,0.2,0.5,0.517563,0.440696292647482,2
"55","CB",200,0.3,0.3,0.3,0,0.4964585,0.451539548737602,2
"56","CB",200,0.3,0.3,0.3,0.1,0.4869215,0.450186319327855,2
"57","CB",200,0.3,0.3,0.3,0.2,0.501757,0.446786492374128,2
"58","CB",200,0.3,0.3,0.3,0.3,0.505817,0.445446343295661,2
"59","CB",200,0.3,0.3,0.3,0.4,0.499494,0.443152239478416,2
"60","CB",200,0.3,0.3,0.3,0.5,0.5142605,0.438845370450306,2
"61","CB",200,0.3,0.3,0.4,0,0.48795,0.448415281994841,2
"62","CB",200,0.3,0.3,0.4,0.1,0.4939305,0.446602389200006,2
"63","CB",200,0.3,0.3,0.4,0.2,0.491849,0.445340267654295,2
"64","CB",200,0.3,0.3,0.4,0.3,0.497134,0.442051520751484,2
"65","CB",200,0.3,0.3,0.4,0.4,0.49728,0.439408784172507,2
"66","CB",200,0.3,0.3,0.4,0.5,0.501113,0.43578337731744,2
"67","CB",200,0.3,0.3,0.5,0,0.485886,0.445275501269948,2
"68","CB",200,0.3,0.3,0.5,0.1,0.494159,0.442504055012912,2
"69","CB",200,0.3,0.3,0.5,0.2,0.4909335,0.441417416977798,2
"70","CB",200,0.3,0.3,0.5,0.3,0.4909245,0.437504272891854,2
"71","CB",200,0.3,0.3,0.5,0.4,0.4924575,0.436489227219066,2
"72","CB",200,0.3,0.3,0.5,0.5,0.500223,0.431449469967821,2
"73","CB",200,0.5,0.5,0,0,0.516136,0.47938050656134,3
"74","CB",200,0.5,0.5,0,0.1,0.498716,0.478338417972267,3
"75","CB",200,0.5,0.5,0,0.2,0.5040095,0.477633813517983,3
"76","CB",200,0.5,0.5,0,0.3,0.4987275,0.477004467033493,3
"77","CB",200,0.5,0.5,0,0.4,0.4900075,0.47552231240049,3
"78","CB",200,0.5,0.5,0,0.5,0.498531,0.473184892439777,3
"79","CB",200,0.5,0.5,0.1,0,0.503536,0.479001989551817,3
"80","CB",200,0.5,0.5,0.1,0.1,0.4996725,0.478592107419542,3
