"","method","Nt","p0","p1","miss0","miss1"
"1","CB",200,0.1,0.1,0,0
"2","CB",200,0.1,0.1,0,0.1
"3","CB",200,0.1,0.1,0,0.2
"4","CB",200,0.1,0.1,0,0.3
"5","CB",200,0.1,0.1,0,0.4
"6","CB",200,0.1,0.1,0,0.5
"7","CB",200,0.1,0.1,0.1,0
"8","CB",200,0.1,0.1,0.1,0.1
"9","CB",200,0.1,0.1,0.1,0.2
"10","CB",200,0.1,0.1,0.1,0.3
"11","CB",200,0.1,0.1,0.1,0.4
"12","CB",200,0.1,0.1,0.1,0.5
"13","CB",200,0.1,0.1,0.2,0
"14","CB",200,0.1,0.1,0.2,0.1
"15","CB",200,0.1,0.1,0.2,0.2
"16","CB",200,0.1,0.1,0.2,0.3
"17","CB",200,0.1,0.1,0.2,0.4
"18","CB",200,0.1,0.1,0.2,0.5
"19","CB",200,0.1,0.1,0.3,0
"20","CB",200,0.1,0.1,0.3,0.1
"21","CB",200,0.1,0.1,0.3,0.2
"22","CB",200,0.1,0.1,0.3,0.3
"23","CB",200,0.1,0.1,0.3,0.4
"24","CB",200,0.1,0.1,0.3,0.5
"25","CB",200,0.1,0.1,0.4,0
"26","CB",200,0.1,0.1,0.4,0.1
"27","CB",200,0.1,0.1,0.4,0.2
"28","CB",200,0.1,0.1,0.4,0.3
"29","CB",200,0.1,0.1,0.4,0.4
"30","CB",200,0.1,0.1,0.4,0.5
"31","CB",200,0.1,0.1,0.5,0
"32","CB",200,0.1,0.1,0.5,0.1
"33","CB",200,0.1,0.1,0.5,0.2
"34","CB",200,0.1,0.1,0.5,0.3
"35","CB",200,0.1,0.1,0.5,0.4
"36","CB",200,0.1,0.1,0.5,0.5
"37","CB",200,0.3,0.3,0,0
"38","CB",200,0.3,0.3,0,0.1
"39","CB",200,0.3,0.3,0,0.2
"40","CB",200,0.3,0.3,0,0.3
"41","CB",200,0.3,0.3,0,0.4
"42","CB",200,0.3,0.3,0,0.5
"43","CB",200,0.3,0.3,0.1,0
"44","CB",200,0.3,0.3,0.1,0.1
"45","CB",200,0.3,0.3,0.1,0.2
"46","CB",200,0.3,0.3,0.1,0.3
"47","CB",200,0.3,0.3,0.1,0.4
"48","CB",200,0.3,0.3,0.1,0.5
"49","CB",200,0.3,0.3,0.2,0
"50","CB",200,0.3,0.3,0.2,0.1
"51","CB",200,0.3,0.3,0.2,0.2
"52","CB",200,0.3,0.3,0.2,0.3
"53","CB",200,0.3,0.3,0.2,0.4
"54","CB",200,0.3,0.3,0.2,0.5
"55","CB",200,0.3,0.3,0.3,0
"56","CB",200,0.3,0.3,0.3,0.1
"57","CB",200,0.3,0.3,0.3,0.2
"58","CB",200,0.3,0.3,0.3,0.3
"59","CB",200,0.3,0.3,0.3,0.4
"60","CB",200,0.3,0.3,0.3,0.5
"61","CB",200,0.3,0.3,0.4,0
"62","CB",200,0.3,0.3,0.4,0.1
"63","CB",200,0.3,0.3,0.4,0.2
"64","CB",200,0.3,0.3,0.4,0.3
"65","CB",200,0.3,0.3,0.4,0.4
"66","CB",200,0.3,0.3,0.4,0.5
"67","CB",200,0.3,0.3,0.5,0
"68","CB",200,0.3,0.3,0.5,0.1
"69","CB",200,0.3,0.3,0.5,0.2
"70","CB",200,0.3,0.3,0.5,0.3
"71","CB",200,0.3,0.3,0.5,0.4
"72","CB",200,0.3,0.3,0.5,0.5
"73","CB",200,0.5,0.5,0,0
"74","CB",200,0.5,0.5,0,0.1
"75","CB",200,0.5,0.5,0,0.2
"76","CB",200,0.5,0.5,0,0.3
"77","CB",200,0.5,0.5,0,0.4
"78","CB",200,0.5,0.5,0,0.5
"79","CB",200,0.5,0.5,0.1,0
"80","CB",200,0.5,0.5,0.1,0.1
"81","CB",200,0.5,0.5,0.1,0.2
"82","CB",200,0.5,0.5,0.1,0.3
"83","CB",200,0.5,0.5,0.1,0.4
"84","CB",200,0.5,0.5,0.1,0.5
"85","CB",200,0.5,0.5,0.2,0
"86","CB",200,0.5,0.5,0.2,0.1
"87","CB",200,0.5,0.5,0.2,0.2
"88","CB",200,0.5,0.5,0.2,0.3
"89","CB",200,0.5,0.5,0.2,0.4
"90","CB",200,0.5,0.5,0.2,0.5
"91","CB",200,0.5,0.5,0.3,0
"92","CB",200,0.5,0.5,0.3,0.1
"93","CB",200,0.5,0.5,0.3,0.2
"94","CB",200,0.5,0.5,0.3,0.3
"95","CB",200,0.5,0.5,0.3,0.4
"96","CB",200,0.5,0.5,0.3,0.5
"97","CB",200,0.5,0.5,0.4,0
"98","CB",200,0.5,0.5,0.4,0.1
"99","CB",200,0.5,0.5,0.4,0.2
"100","CB",200,0.5,0.5,0.4,0.3
"101","CB",200,0.5,0.5,0.4,0.4
"102","CB",200,0.5,0.5,0.4,0.5
"103","CB",200,0.5,0.5,0.5,0
"104","CB",200,0.5,0.5,0.5,0.1
"105","CB",200,0.5,0.5,0.5,0.2
"106","CB",200,0.5,0.5,0.5,0.3
"107","CB",200,0.5,0.5,0.5,0.4
"108","CB",200,0.5,0.5,0.5,0.5
"109","CB",200,0.7,0.7,0,0
"110","CB",200,0.7,0.7,0,0.1
"111","CB",200,0.7,0.7,0,0.2
"112","CB",200,0.7,0.7,0,0.3
"113","CB",200,0.7,0.7,0,0.4
"114","CB",200,0.7,0.7,0,0.5
"115","CB",200,0.7,0.7,0.1,0
"116","CB",200,0.7,0.7,0.1,0.1
"117","CB",200,0.7,0.7,0.1,0.2
"118","CB",200,0.7,0.7,0.1,0.3
"119","CB",200,0.7,0.7,0.1,0.4
"120","CB",200,0.7,0.7,0.1,0.5
"121","CB",200,0.7,0.7,0.2,0
"122","CB",200,0.7,0.7,0.2,0.1
"123","CB",200,0.7,0.7,0.2,0.2
"124","CB",200,0.7,0.7,0.2,0.3
"125","CB",200,0.7,0.7,0.2,0.4
"126","CB",200,0.7,0.7,0.2,0.5
"127","CB",200,0.7,0.7,0.3,0
"128","CB",200,0.7,0.7,0.3,0.1
"129","CB",200,0.7,0.7,0.3,0.2
"130","CB",200,0.7,0.7,0.3,0.3
"131","CB",200,0.7,0.7,0.3,0.4
"132","CB",200,0.7,0.7,0.3,0.5
"133","CB",200,0.7,0.7,0.4,0
"134","CB",200,0.7,0.7,0.4,0.1
"135","CB",200,0.7,0.7,0.4,0.2
"136","CB",200,0.7,0.7,0.4,0.3
"137","CB",200,0.7,0.7,0.4,0.4
"138","CB",200,0.7,0.7,0.4,0.5
"139","CB",200,0.7,0.7,0.5,0
"140","CB",200,0.7,0.7,0.5,0.1
"141","CB",200,0.7,0.7,0.5,0.2
"142","CB",200,0.7,0.7,0.5,0.3
