"","method","Nt","p0","p1","miss0","miss1"
"1","TS",200,0.1,0.1,0,0
"2","TS",200,0.1,0.1,0,0.1
"3","TS",200,0.1,0.1,0,0.2
"4","TS",200,0.1,0.1,0,0.3
"5","TS",200,0.1,0.1,0,0.4
"6","TS",200,0.1,0.1,0,0.5
"7","TS",200,0.1,0.1,0.1,0
"8","TS",200,0.1,0.1,0.1,0.1
"9","TS",200,0.1,0.1,0.1,0.2
"10","TS",200,0.1,0.1,0.1,0.3
"11","TS",200,0.1,0.1,0.1,0.4
"12","TS",200,0.1,0.1,0.1,0.5
"13","TS",200,0.1,0.1,0.2,0
"14","TS",200,0.1,0.1,0.2,0.1
"15","TS",200,0.1,0.1,0.2,0.2
"16","TS",200,0.1,0.1,0.2,0.3
"17","TS",200,0.1,0.1,0.2,0.4
"18","TS",200,0.1,0.1,0.2,0.5
"19","TS",200,0.1,0.1,0.3,0
"20","TS",200,0.1,0.1,0.3,0.1
"21","TS",200,0.1,0.1,0.3,0.2
"22","TS",200,0.1,0.1,0.3,0.3
"23","TS",200,0.1,0.1,0.3,0.4
"24","TS",200,0.1,0.1,0.3,0.5
"25","TS",200,0.1,0.1,0.4,0
"26","TS",200,0.1,0.1,0.4,0.1
"27","TS",200,0.1,0.1,0.4,0.2
"28","TS",200,0.1,0.1,0.4,0.3
"29","TS",200,0.1,0.1,0.4,0.4
"30","TS",200,0.1,0.1,0.4,0.5
"31","TS",200,0.1,0.1,0.5,0
"32","TS",200,0.1,0.1,0.5,0.1
"33","TS",200,0.1,0.1,0.5,0.2
"34","TS",200,0.1,0.1,0.5,0.3
"35","TS",200,0.1,0.1,0.5,0.4
"36","TS",200,0.1,0.1,0.5,0.5
"37","TS",200,0.3,0.3,0,0
"38","TS",200,0.3,0.3,0,0.1
"39","TS",200,0.3,0.3,0,0.2
"40","TS",200,0.3,0.3,0,0.3
"41","TS",200,0.3,0.3,0,0.4
"42","TS",200,0.3,0.3,0,0.5
"43","TS",200,0.3,0.3,0.1,0
"44","TS",200,0.3,0.3,0.1,0.1
"45","TS",200,0.3,0.3,0.1,0.2
"46","TS",200,0.3,0.3,0.1,0.3
"47","TS",200,0.3,0.3,0.1,0.4
"48","TS",200,0.3,0.3,0.1,0.5
"49","TS",200,0.3,0.3,0.2,0
"50","TS",200,0.3,0.3,0.2,0.1
"51","TS",200,0.3,0.3,0.2,0.2
"52","TS",200,0.3,0.3,0.2,0.3
"53","TS",200,0.3,0.3,0.2,0.4
"54","TS",200,0.3,0.3,0.2,0.5
"55","TS",200,0.3,0.3,0.3,0
"56","TS",200,0.3,0.3,0.3,0.1
"57","TS",200,0.3,0.3,0.3,0.2
"58","TS",200,0.3,0.3,0.3,0.3
"59","TS",200,0.3,0.3,0.3,0.4
"60","TS",200,0.3,0.3,0.3,0.5
"61","TS",200,0.3,0.3,0.4,0
"62","TS",200,0.3,0.3,0.4,0.1
"63","TS",200,0.3,0.3,0.4,0.2
"64","TS",200,0.3,0.3,0.4,0.3
"65","TS",200,0.3,0.3,0.4,0.4
"66","TS",200,0.3,0.3,0.4,0.5
"67","TS",200,0.3,0.3,0.5,0
"68","TS",200,0.3,0.3,0.5,0.1
"69","TS",200,0.3,0.3,0.5,0.2
"70","TS",200,0.3,0.3,0.5,0.3
"71","TS",200,0.3,0.3,0.5,0.4
"72","TS",200,0.3,0.3,0.5,0.5
"73","TS",200,0.5,0.5,0,0
"74","TS",200,0.5,0.5,0,0.1
"75","TS",200,0.5,0.5,0,0.2
"76","TS",200,0.5,0.5,0,0.3
"77","TS",200,0.5,0.5,0,0.4
"78","TS",200,0.5,0.5,0,0.5
"79","TS",200,0.5,0.5,0.1,0
"80","TS",200,0.5,0.5,0.1,0.1
"81","TS",200,0.5,0.5,0.1,0.2
"82","TS",200,0.5,0.5,0.1,0.3
"83","TS",200,0.5,0.5,0.1,0.4
"84","TS",200,0.5,0.5,0.1,0.5
"85","TS",200,0.5,0.5,0.2,0
"86","TS",200,0.5,0.5,0.2,0.1
"87","TS",200,0.5,0.5,0.2,0.2
"88","TS",200,0.5,0.5,0.2,0.3
"89","TS",200,0.5,0.5,0.2,0.4
"90","TS",200,0.5,0.5,0.2,0.5
"91","TS",200,0.5,0.5,0.3,0
"92","TS",200,0.5,0.5,0.3,0.1
"93","TS",200,0.5,0.5,0.3,0.2
"94","TS",200,0.5,0.5,0.3,0.3
"95","TS",200,0.5,0.5,0.3,0.4
"96","TS",200,0.5,0.5,0.3,0.5
"97","TS",200,0.5,0.5,0.4,0
"98","TS",200,0.5,0.5,0.4,0.1
"99","TS",200,0.5,0.5,0.4,0.2
"100","TS",200,0.5,0.5,0.4,0.3
"101","TS",200,0.5,0.5,0.4,0.4
"102","TS",200,0.5,0.5,0.4,0.5
"103","TS",200,0.5,0.5,0.5,0
"104","TS",200,0.5,0.5,0.5,0.1
"105","TS",200,0.5,0.5,0.5,0.2
"106","TS",200,0.5,0.5,0.5,0.3
"107","TS",200,0.5,0.5,0.5,0.4
"108","TS",200,0.5,0.5,0.5,0.5
"109","TS",200,0.7,0.7,0,0
"110","TS",200,0.7,0.7,0,0.1
"111","TS",200,0.7,0.7,0,0.2
"112","TS",200,0.7,0.7,0,0.3
"113","TS",200,0.7,0.7,0,0.4
"114","TS",200,0.7,0.7,0,0.5
"115","TS",200,0.7,0.7,0.1,0
"116","TS",200,0.7,0.7,0.1,0.1
"117","TS",200,0.7,0.7,0.1,0.2
"118","TS",200,0.7,0.7,0.1,0.3
"119","TS",200,0.7,0.7,0.1,0.4
"120","TS",200,0.7,0.7,0.1,0.5
"121","TS",200,0.7,0.7,0.2,0
"122","TS",200,0.7,0.7,0.2,0.1
"123","TS",200,0.7,0.7,0.2,0.2
"124","TS",200,0.7,0.7,0.2,0.3
"125","TS",200,0.7,0.7,0.2,0.4
"126","TS",200,0.7,0.7,0.2,0.5
"127","TS",200,0.7,0.7,0.3,0
"128","TS",200,0.7,0.7,0.3,0.1
"129","TS",200,0.7,0.7,0.3,0.2
"130","TS",200,0.7,0.7,0.3,0.3
"131","TS",200,0.7,0.7,0.3,0.4
"132","TS",200,0.7,0.7,0.3,0.5
"133","TS",200,0.7,0.7,0.4,0
"134","TS",200,0.7,0.7,0.4,0.1
"135","TS",200,0.7,0.7,0.4,0.2
"136","TS",200,0.7,0.7,0.4,0.3
"137","TS",200,0.7,0.7,0.4,0.4
"138","TS",200,0.7,0.7,0.4,0.5
"139","TS",200,0.7,0.7,0.5,0
"140","TS",200,0.7,0.7,0.5,0.1
"141","TS",200,0.7,0.7,0.5,0.2
"142","TS",200,0.7,0.7,0.5,0.3
"143","TS",200,0.7,0.7,0.5,0.4
"144","TS",200,0.7,0.7,0.5,0.5
"145","TS",200,0.9,0.9,0,0
"146","TS",200,0.9,0.9,0,0.1
"147","TS",200,0.9,0.9,0,0.2
"148","TS",200,0.9,0.9,0,0.3
"149","TS",200,0.9,0.9,0,0.4
"150","TS",200,0.9,0.9,0,0.5
